harness,paired_outcome,n,SE,PD,CV,IC,UN,RR,reason
openclaw,both_correct,123,0.0075,0.519,0.0,0.0524,0.0172,0.0181,0.3858
openclaw,both_wrong,31,0.0,0.5676,0.0,0.0242,0.0672,0.0161,0.3249
openclaw,regression,36,0.0417,0.6432,0.0,0.0278,0.0218,0.0046,0.2609
openclaw,rescue,8,0.0,0.8312,0.0,0.0041,0.0041,0.0,0.1607
opencode,both_correct,135,0.0062,0.3348,0.0,0.027,0.0102,0.0204,0.6014
opencode,both_wrong,29,0.0,0.4708,0.0,0.0005,0.0409,0.0016,0.4861
opencode,regression,24,0.0,0.5303,0.0,0.0,0.0417,0.0208,0.4072
opencode,rescue,10,0.0,0.6,0.0,0.0143,0.0,0.0,0.3857
zeroclaw,both_correct,141,0.0008,0.2705,0.0,0.0234,0.0104,0.0204,0.6744
zeroclaw,both_wrong,22,0.0053,0.3915,0.0,0.0187,0.0423,0.0439,0.4982
zeroclaw,nonvalid_or_missing,7,0.0,0.5714,0.0,0.0,0.0,0.0,0.4286
zeroclaw,regression,15,0.0,0.4265,0.0,0.0,0.0162,0.0443,0.513
zeroclaw,rescue,13,0.0045,0.3801,0.0,0.0136,0.0136,0.0317,0.5566
