cause_bucket,harness,n,paired_outcome,share_within_outcome
both_correct,openclaw,123,both_correct,1.0
both_wrong,openclaw,31,both_wrong,1.0
answer_changed_valid,openclaw,1,regression,0.027777777777777776
answer_format_or_extraction,openclaw,32,regression,0.8888888888888888
long_low_entropy_or_overrun,openclaw,1,regression,0.027777777777777776
tool_use_not_integrated,openclaw,1,regression,0.027777777777777776
verification_without_conversion,openclaw,1,regression,0.027777777777777776
rescue,openclaw,8,rescue,1.0
both_correct,opencode,135,both_correct,1.0
both_wrong,opencode,29,both_wrong,1.0
operational_error,opencode,1,nonvalid_or_missing,1.0
answer_format_or_extraction,opencode,14,regression,0.6086956521739131
premature_answer,opencode,5,regression,0.21739130434782608
tool_use_not_integrated,opencode,1,regression,0.043478260869565216
verification_without_conversion,opencode,3,regression,0.13043478260869565
rescue,opencode,10,rescue,1.0
both_correct,zeroclaw,139,both_correct,1.0
both_wrong,zeroclaw,22,both_wrong,1.0
operational_error,zeroclaw,10,nonvalid_or_missing,1.0
answer_changed_valid,zeroclaw,2,regression,0.14285714285714285
answer_format_or_extraction,zeroclaw,3,regression,0.21428571428571427
planning_recovery_churn,zeroclaw,2,regression,0.14285714285714285
premature_answer,zeroclaw,5,regression,0.35714285714285715
verification_without_conversion,zeroclaw,2,regression,0.14285714285714285
rescue,zeroclaw,13,rescue,1.0
