harness,correct,action_pattern,mean_entropy,std_entropy,n_trajectories,min_entropy,max_entropy
openclaw,False,has_plan,0.1153,0.1687,21,0.0,0.499
openclaw,False,has_recover,0.1694,0.1106,7,0.0405,0.3394
openclaw,False,has_tool_use,0.2637,0.1775,5,0.0842,0.4913
openclaw,False,has_verify,0.1233,0.1436,39,0.0,0.4913
openclaw,False,recover_cycle,0.1956,0.1155,5,0.0947,0.3394
openclaw,False,verify_after_answer,0.1476,0.1502,31,0.0102,0.4913
openclaw,True,has_plan,0.2638,0.1068,21,0.1,0.4351
openclaw,True,has_recover,0.2011,0.104,30,0.0,0.4973
openclaw,True,has_tool_use,0.2164,0.0874,29,0.0643,0.4973
openclaw,True,has_verify,0.2434,0.1006,74,0.0,0.4973
openclaw,True,recover_cycle,0.1975,0.071,9,0.0643,0.2813
openclaw,True,verify_after_answer,0.2418,0.1005,73,0.0,0.4973
opencode,,has_plan,0.0453,0.0,1,0.0453,0.0453
opencode,False,has_plan,0.2649,0.143,16,0.0648,0.5214
opencode,False,has_tool_use,0.3779,0.0978,8,0.2663,0.5429
opencode,False,has_verify,0.2795,0.126,26,0.0992,0.5429
opencode,False,verify_after_answer,0.2795,0.126,26,0.0992,0.5429
opencode,True,has_plan,0.2891,0.1161,44,0.0949,0.6016
opencode,True,has_tool_use,0.2507,0.0823,80,0.0949,0.5152
opencode,True,has_verify,0.2925,0.1098,86,0.1229,0.6016
opencode,True,plan_tool_use,0.2425,0.0732,22,0.0949,0.4322
opencode,True,sustained_reason,0.3895,0.1734,4,0.1999,0.5989
opencode,True,verify_after_answer,0.2925,0.1098,86,0.1229,0.6016
zeroclaw,,has_plan,0.0,0.0,1,0.0,0.0
zeroclaw,False,has_plan,0.3516,0.1149,27,0.0531,0.5595
zeroclaw,False,has_verify,0.3503,0.125,21,0.0531,0.5595
zeroclaw,False,sustained_reason,0.3593,0.1101,34,0.0531,0.5595
zeroclaw,False,verify_after_answer,0.3503,0.125,21,0.0531,0.5595
zeroclaw,True,has_plan,0.2391,0.111,122,0.0813,0.5344
zeroclaw,True,has_verify,0.245,0.1139,90,0.0813,0.5344
zeroclaw,True,sustained_reason,0.2447,0.11,147,0.0813,0.5344
zeroclaw,True,verify_after_answer,0.245,0.1139,90,0.0813,0.5344
directllm,False,contains_answer,0.2946,0.1643,39,0.0196,0.6209
directllm,False,contains_reason,0.2946,0.1643,39,0.0196,0.6209
directllm,True,contains_answer,0.3222,0.0981,159,0.1131,0.6102
directllm,True,contains_reason,0.3222,0.0981,159,0.1131,0.6102
openclaw,False,contains_answer,0.1371,0.1525,57,0.0,0.499
openclaw,False,contains_plan,0.1153,0.1687,21,0.0,0.499
openclaw,False,contains_reason,0.0352,0.0654,13,0.0,0.1863
openclaw,False,contains_recover,0.1694,0.1106,7,0.0405,0.3394
openclaw,False,contains_tool_use,0.2637,0.1775,5,0.0842,0.4913
openclaw,False,contains_verify,0.1233,0.1436,39,0.0,0.4913
openclaw,True,contains_answer,0.2472,0.0983,129,0.0,0.4973
openclaw,True,contains_plan,0.2638,0.1068,21,0.1,0.4351
openclaw,True,contains_reason,0.2693,0.0702,16,0.1237,0.4018
openclaw,True,contains_recover,0.2011,0.104,30,0.0,0.4973
openclaw,True,contains_tool_use,0.2164,0.0874,29,0.0643,0.4973
openclaw,True,contains_verify,0.2434,0.1006,74,0.0,0.4973
opencode,,contains_answer,0.0453,0.0,1,0.0453,0.0453
opencode,,contains_plan,0.0453,0.0,1,0.0453,0.0453
opencode,,contains_reason,0.0453,0.0,1,0.0453,0.0453
opencode,False,contains_answer,0.2765,0.1574,52,0.0,0.5429
opencode,False,contains_plan,0.2649,0.143,16,0.0648,0.5214
opencode,False,contains_reason,0.2727,0.1573,48,0.0,0.5429
opencode,False,contains_tool_use,0.3779,0.0978,8,0.2663,0.5429
opencode,False,contains_verify,0.2795,0.126,26,0.0992,0.5429
opencode,True,contains_answer,0.3014,0.109,145,0.0949,0.6016
opencode,True,contains_plan,0.2891,0.1161,44,0.0949,0.6016
opencode,True,contains_reason,0.2954,0.1065,135,0.0949,0.5989
opencode,True,contains_tool_use,0.2507,0.0823,80,0.0949,0.5152
opencode,True,contains_verify,0.2925,0.1098,86,0.1229,0.6016
zeroclaw,,contains_answer,0.1789,0.1915,15,0.0,0.4695
zeroclaw,,contains_plan,0.0,0.0,1,0.0,0.0
zeroclaw,,contains_reason,0.1917,0.192,14,0.0,0.4695
zeroclaw,False,contains_answer,0.3593,0.1101,34,0.0531,0.5595
zeroclaw,False,contains_plan,0.3516,0.1149,27,0.0531,0.5595
zeroclaw,False,contains_reason,0.3593,0.1101,34,0.0531,0.5595
zeroclaw,False,contains_verify,0.3503,0.125,21,0.0531,0.5595
zeroclaw,True,contains_answer,0.2459,0.1098,149,0.0813,0.5344
zeroclaw,True,contains_plan,0.2391,0.111,122,0.0813,0.5344
zeroclaw,True,contains_reason,0.2459,0.1098,149,0.0813,0.5344
zeroclaw,True,contains_verify,0.245,0.1139,90,0.0813,0.5344
