harness,correct,type,motif,ngram,n,total_trajectories,rate_per_trajectory,correct_vs_wrong_delta,context,action,fraction,total_verify_events
directllm,False,motif,reason->answer,2,39,39,1.0,0.0,,,,
directllm,True,motif,reason->answer,2,159,159,1.0,0.0,,,,
openclaw,False,motif,answer->answer,2,3,67,0.0448,-0.1706,,,,
openclaw,True,motif,answer->answer,2,28,130,0.2154,-0.1706,,,,
openclaw,True,motif,answer->answer->answer,3,4,130,0.0308,-0.0308,,,,
openclaw,True,motif,answer->answer->recover,3,3,130,0.0231,-0.0231,,,,
openclaw,True,motif,answer->answer->verify,3,1,130,0.0077,-0.0077,,,,
openclaw,False,motif,answer->plan,2,18,67,0.2687,0.1533,,,,
openclaw,True,motif,answer->plan,2,15,130,0.1154,0.1533,,,,
openclaw,False,motif,answer->reason,2,3,67,0.0448,-0.0014,,,,
openclaw,True,motif,answer->reason,2,6,130,0.0462,-0.0014,,,,
openclaw,True,motif,answer->recover,2,3,130,0.0231,-0.0231,,,,
openclaw,True,motif,answer->recover->plan,3,2,130,0.0154,-0.0154,,,,
openclaw,True,motif,answer->recover->tool_use,3,1,130,0.0077,-0.0077,,,,
openclaw,False,motif,answer->tool_use,2,3,67,0.0448,-0.1167,,,,
openclaw,True,motif,answer->tool_use,2,21,130,0.1615,-0.1167,,,,
openclaw,False,motif,answer->tool_use->answer,3,1,67,0.0149,-0.0466,,,,
openclaw,True,motif,answer->tool_use->answer,3,8,130,0.0615,-0.0466,,,,
openclaw,True,motif,answer->tool_use->plan,3,1,130,0.0077,-0.0077,,,,
openclaw,True,motif,answer->tool_use->reason,3,2,130,0.0154,-0.0154,,,,
openclaw,True,motif,answer->tool_use->recover,3,6,130,0.0462,-0.0462,,,,
openclaw,True,motif,answer->tool_use->tool_use,3,1,130,0.0077,-0.0077,,,,
openclaw,False,motif,answer->tool_use->verify,3,1,67,0.0149,-0.0082,,,,
openclaw,True,motif,answer->tool_use->verify,3,3,130,0.0231,-0.0082,,,,
openclaw,False,motif,answer->verify,2,30,67,0.4478,-0.083,,,,
openclaw,True,motif,answer->verify,2,69,130,0.5308,-0.083,,,,
openclaw,True,motif,answer->verify->answer,3,12,130,0.0923,-0.0923,,,,
openclaw,True,motif,answer->verify->plan,3,1,130,0.0077,-0.0077,,,,
openclaw,False,motif,answer->verify->reason,3,1,67,0.0149,-0.0159,,,,
openclaw,True,motif,answer->verify->reason,3,4,130,0.0308,-0.0159,,,,
openclaw,False,motif,answer->verify->recover,3,6,67,0.0896,-0.0642,,,,
openclaw,True,motif,answer->verify->recover,3,20,130,0.1538,-0.0642,,,,
openclaw,False,motif,answer->verify->tool_use,3,1,67,0.0149,-0.0082,,,,
openclaw,True,motif,answer->verify->tool_use,3,3,130,0.0231,-0.0082,,,,
openclaw,False,motif,answer->verify->verify,3,1,67,0.0149,-0.0236,,,,
openclaw,True,motif,answer->verify->verify,3,5,130,0.0385,-0.0236,,,,
openclaw,False,motif,plan->verify,2,1,67,0.0149,0.0149,,,,
openclaw,False,motif,reason->plan,2,2,67,0.0299,0.0299,,,,
openclaw,False,motif,reason->verify,2,6,67,0.0896,0.0819,,,,
openclaw,True,motif,reason->verify,2,1,130,0.0077,0.0819,,,,
openclaw,False,motif,recover->answer,2,1,67,0.0149,-0.1005,,,,
openclaw,True,motif,recover->answer,2,15,130,0.1154,-0.1005,,,,
openclaw,True,motif,recover->plan,2,4,130,0.0308,-0.0308,,,,
openclaw,False,motif,recover->reason,2,1,67,0.0149,-0.0005,,,,
openclaw,True,motif,recover->reason,2,2,130,0.0154,-0.0005,,,,
openclaw,False,motif,recover->recover,2,13,67,0.194,0.0863,,,,
openclaw,True,motif,recover->recover,2,14,130,0.1077,0.0863,,,,
openclaw,False,motif,recover->recover->answer,3,1,67,0.0149,0.0072,,,,
openclaw,True,motif,recover->recover->answer,3,1,130,0.0077,0.0072,,,,
openclaw,True,motif,recover->recover->plan,3,2,130,0.0154,-0.0154,,,,
openclaw,False,motif,recover->recover->recover,3,6,67,0.0896,0.0511,,,,
openclaw,True,motif,recover->recover->recover,3,5,130,0.0385,0.0511,,,,
openclaw,False,motif,recover->recover->tool_use,3,2,67,0.0299,-0.0009,,,,
openclaw,True,motif,recover->recover->tool_use,3,4,130,0.0308,-0.0009,,,,
openclaw,False,motif,recover->recover->verify,3,1,67,0.0149,0.0072,,,,
openclaw,True,motif,recover->recover->verify,3,1,130,0.0077,0.0072,,,,
openclaw,False,motif,recover->tool_use,2,2,67,0.0299,-0.047,,,,
openclaw,True,motif,recover->tool_use,2,10,130,0.0769,-0.047,,,,
openclaw,True,motif,recover->tool_use->answer,3,3,130,0.0231,-0.0231,,,,
openclaw,False,motif,recover->tool_use->recover,3,2,67,0.0299,0.0068,,,,
openclaw,True,motif,recover->tool_use->recover,3,3,130,0.0231,0.0068,,,,
openclaw,True,motif,recover->tool_use->tool_use,3,3,130,0.0231,-0.0231,,,,
openclaw,True,motif,recover->tool_use->verify,3,1,130,0.0077,-0.0077,,,,
openclaw,False,motif,recover->verify,2,1,67,0.0149,-0.0005,,,,
openclaw,True,motif,recover->verify,2,2,130,0.0154,-0.0005,,,,
openclaw,False,motif,tool_use->answer,2,2,67,0.0299,-0.0701,,,,
openclaw,True,motif,tool_use->answer,2,13,130,0.1,-0.0701,,,,
openclaw,True,motif,tool_use->answer->answer,3,1,130,0.0077,-0.0077,,,,
openclaw,True,motif,tool_use->answer->reason,3,1,130,0.0077,-0.0077,,,,
openclaw,True,motif,tool_use->plan,2,1,130,0.0077,-0.0077,,,,
openclaw,True,motif,tool_use->reason,2,2,130,0.0154,-0.0154,,,,
openclaw,False,motif,tool_use->recover,2,2,67,0.0299,-0.0624,,,,
openclaw,True,motif,tool_use->recover,2,12,130,0.0923,-0.0624,,,,
openclaw,True,motif,tool_use->recover->answer,3,3,130,0.0231,-0.0231,,,,
openclaw,False,motif,tool_use->recover->recover,3,2,67,0.0299,-0.0086,,,,
