harness,correct,from_action,to_action,n_transitions,probability,total_from_source
all,,__START__,answer,16,1.0,16
all,,answer,plan,1,0.0625,16
all,,answer,reason,15,0.9375,16
all,,plan,__END__,2,1.0,2
all,,reason,__END__,14,0.875,16
all,,reason,plan,1,0.0625,16
all,,reason,reason,1,0.0625,16
all,False,__START__,answer,143,0.7448,192
all,False,__START__,plan,1,0.0052,192
all,False,__START__,reason,47,0.2448,192
all,False,__START__,verify,1,0.0052,192
all,False,answer,__END__,59,0.2744,215
all,False,answer,answer,12,0.0558,215
all,False,answer,plan,22,0.1023,215
all,False,answer,reason,84,0.3907,215
all,False,answer,tool_use,5,0.0233,215
all,False,answer,verify,33,0.1535,215
all,False,plan,__END__,42,0.4286,98
all,False,plan,answer,1,0.0102,98
all,False,plan,plan,10,0.102,98
all,False,plan,reason,41,0.4184,98
all,False,plan,verify,4,0.0408,98
all,False,reason,__END__,18,0.0316,570
all,False,reason,answer,52,0.0912,570
all,False,reason,plan,63,0.1105,570
all,False,reason,reason,372,0.6526,570
all,False,reason,tool_use,5,0.0088,570
all,False,reason,verify,60,0.1053,570
all,False,recover,__END__,4,0.1818,22
all,False,recover,answer,1,0.0455,22
all,False,recover,reason,1,0.0455,22
all,False,recover,recover,13,0.5909,22
all,False,recover,tool_use,2,0.0909,22
all,False,recover,verify,1,0.0455,22
all,False,tool_use,__END__,1,0.0435,23
all,False,tool_use,answer,6,0.2609,23
all,False,tool_use,plan,1,0.0435,23
all,False,tool_use,reason,6,0.2609,23
all,False,tool_use,recover,2,0.087,23
all,False,tool_use,tool_use,1,0.0435,23
all,False,tool_use,verify,6,0.2609,23
all,False,verify,__END__,68,0.5812,117
all,False,verify,plan,1,0.0085,117
all,False,verify,reason,19,0.1624,117
all,False,verify,recover,7,0.0598,117
all,False,verify,tool_use,10,0.0855,117
all,False,verify,verify,12,0.1026,117
all,True,__START__,answer,423,0.7256,583
all,True,__START__,reason,160,0.2744,583
all,True,answer,__END__,325,0.3869,840
all,True,answer,answer,83,0.0988,840
all,True,answer,plan,44,0.0524,840
all,True,answer,reason,273,0.325,840
all,True,answer,recover,3,0.0036,840
all,True,answer,tool_use,27,0.0321,840
all,True,answer,verify,85,0.1012,840
all,True,plan,__END__,62,0.1873,331
all,True,plan,answer,3,0.0091,331
all,True,plan,plan,52,0.1571,331
all,True,plan,reason,184,0.5559,331
all,True,plan,tool_use,22,0.0665,331
all,True,plan,verify,8,0.0242,331
all,True,reason,__END__,57,0.023,2479
all,True,reason,answer,247,0.0996,2479
all,True,reason,plan,217,0.0875,2479
all,True,reason,reason,1725,0.6958,2479
all,True,reason,tool_use,48,0.0194,2479
all,True,reason,verify,185,0.0746,2479
all,True,recover,__END__,2,0.0408,49
all,True,recover,answer,15,0.3061,49
all,True,recover,plan,4,0.0816,49
all,True,recover,reason,2,0.0408,49
all,True,recover,recover,14,0.2857,49
all,True,recover,tool_use,10,0.2041,49
all,True,recover,verify,2,0.0408,49
all,True,tool_use,answer,46,0.2421,190
all,True,tool_use,plan,2,0.0105,190
all,True,tool_use,reason,63,0.3316,190
all,True,tool_use,recover,12,0.0632,190
all,True,tool_use,tool_use,20,0.1053,190
all,True,tool_use,verify,47,0.2474,190
all,True,verify,__END__,137,0.3486,393
all,True,verify,answer,23,0.0585,393
all,True,verify,plan,12,0.0305,393
all,True,verify,reason,72,0.1832,393
all,True,verify,recover,20,0.0509,393
all,True,verify,tool_use,63,0.1603,393
all,True,verify,verify,66,0.1679,393
directllm,False,__START__,reason,39,1.0,39
directllm,False,answer,__END__,39,1.0,39
directllm,False,reason,answer,39,1.0,39
directllm,True,__START__,reason,159,1.0,159
directllm,True,answer,__END__,159,1.0,159
directllm,True,reason,answer,159,1.0,159
openclaw,False,__START__,answer,57,0.8507,67
openclaw,False,__START__,plan,1,0.0149,67
openclaw,False,__START__,reason,8,0.1194,67
openclaw,False,__START__,verify,1,0.0149,67
openclaw,False,answer,__END__,6,0.0952,63
openclaw,False,answer,answer,3,0.0476,63
openclaw,False,answer,plan,18,0.2857,63
openclaw,False,answer,reason,3,0.0476,63
openclaw,False,answer,tool_use,3,0.0476,63
openclaw,False,answer,verify,30,0.4762,63
openclaw,False,plan,__END__,20,0.9524,21
openclaw,False,plan,verify,1,0.0476,21
openclaw,False,reason,__END__,5,0.3846,13
openclaw,False,reason,plan,2,0.1538,13
openclaw,False,reason,verify,6,0.4615,13
openclaw,False,recover,__END__,4,0.1818,22
openclaw,False,recover,answer,1,0.0455,22
openclaw,False,recover,reason,1,0.0455,22
openclaw,False,recover,recover,13,0.5909,22
openclaw,False,recover,tool_use,2,0.0909,22
openclaw,False,recover,verify,1,0.0455,22
openclaw,False,tool_use,__END__,1,0.1667,6
openclaw,False,tool_use,answer,2,0.3333,6
openclaw,False,tool_use,recover,2,0.3333,6
openclaw,False,tool_use,verify,1,0.1667,6
openclaw,False,verify,__END__,31,0.7381,42
openclaw,False,verify,reason,1,0.0238,42
openclaw,False,verify,recover,7,0.1667,42
openclaw,False,verify,tool_use,1,0.0238,42
openclaw,False,verify,verify,2,0.0476,42
openclaw,True,__START__,answer,129,0.9923,130
openclaw,True,__START__,reason,1,0.0077,130
openclaw,True,answer,__END__,60,0.297,202
openclaw,True,answer,answer,28,0.1386,202
openclaw,True,answer,plan,15,0.0743,202
openclaw,True,answer,reason,6,0.0297,202
openclaw,True,answer,recover,3,0.0149,202
openclaw,True,answer,tool_use,21,0.104,202
openclaw,True,answer,verify,69,0.3416,202
openclaw,True,plan,__END__,21,1.0,21
openclaw,True,reason,__END__,15,0.9375,16
openclaw,True,reason,verify,1,0.0625,16
openclaw,True,recover,__END__,2,0.0408,49
openclaw,True,recover,answer,15,0.3061,49
openclaw,True,recover,plan,4,0.0816,49
