task_id,correct,score,ground_truth,predicted,mean_entropy,n_tokens,wall_time_sec,traj_length
aime_1,1,1.0,277,277,0.23985824535692576,12025,570.1542325019836,3
aime_10,0,0,156,96,0.3041492247496514,74559,3921.504316329956,3
aime_11,1,1.0,896,896,0.33605999494683403,26829,1255.0670611858368,3
aime_12,1,1.0,161,161,0.29957737090444925,21765,1061.2764914035797,3
aime_13,1,1.0,39,39,0.2990849204166473,25065,1042.6345624923706,3
aime_14,1,1.0,681,681,0.25392376051018967,20327,1160.757027387619,3
aime_15,0,0,83,133,0.2903057952234215,80364,3653.7781541347504,3
aime_16,1,1.0,178,178,0.31450849505833556,12156,593.9770658016205,3
aime_17,1,1.0,243,243,0.3132581172223996,34124,1507.309962272644,3
aime_18,1,1.0,503,503,0.3238846506024569,37411,1371.6566286087036,3
aime_19,1,1.0,279,279,0.2804615421891252,18476,479.9251968860626,3
aime_2,1,1.0,62,62,0.23768275879659104,17497,880.0126824378967,3
aime_20,1,1.0,190,190,0.25737250935280886,15728,401.9157817363739,3
aime_21,1,1.0,50,50,0.38711477501947067,25188,671.4997961521149,3
aime_22,1,1.0,754,754,0.28438418236296337,16739,480.395667552948,3
aime_23,1,1.0,245,245,0.22298558888391942,50250,1509.5228004455566,3
