task_id,harness,benchmark,outcome,n_segments,arm_entropy,dominant_mode,dominant_rate,rate_PD,rate_SE,rate_IC,rate_UN,rate_RR,rate_reason,head_entropy,tail_entropy,delta_entropy,PD_IC_ratio,commit_gap,mode_collapse,top1_prob,tool_intent_marker_count,tool_use_count,low_ent_share,paired_outcome,PD->PD,reason->PD,reason->IC,PD->reason,arm_sequence,harness_correct,n_tokens,ngram_repeat,looping_marker_count,self_correction_marker_count,uncertainty_marker_count,mean_entropy,PDIC_q,arm_ent_d,risk_zone,rate_PD_norm,mode_collapse_norm,commit_gap_norm,risk_score
gpqa_0,openclaw,GPQA,correct,6,0.8676,reason,0.6666666666666666,0.1667,0.0,0.1667,0.0,0.0,0.6667,0.3353967873702573,0.4118356108762031,0.0764388235059457,1.0,0.0,0.41763995167136525,0.8868384122163241,4.0,0.0,0.527117031398668,both_correct,,0.2,,,reason|reason|reason|reason|PD|IC,True,,,,,,,Q2,D8,confident_commit,0.1667,0.41763995167136525,0.5,0.3614466505571217
gpqa_1,openclaw,GPQA,correct,6,0.6931,reason,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.2942353012176813,0.184142248501112,-0.1100930527165692,0.0,-0.5,0.5347697677540609,0.8798178015795486,1.0,0.0,0.5313496280552603,both_correct,,,0.6,,reason|IC|reason|IC|reason|IC,True,,,,,,,Q1_lowest,D7,healthy,0.0,0.5347697677540609,0.25,0.261589922584687
gpqa_10,openclaw,GPQA,correct,61,0.4802,reason,0.8852459016393442,0.0492,0.0,0.0328,0.0328,0.0,0.8852,0.3303865021574639,0.1227824540546037,-0.2076040481028602,1.5,0.016399999999999998,0.6776748556853269,0.9014567390067132,30.0,21.0,0.6087333718912666,rescue,,0.05,0.0333,0.05,reason|reason|reason|reason|PD|reason|UN|reason|reason|UN|reason|reason|PD|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|PD|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|IC|reason|IC|reason,True,,,,,,,Q3,D5,healthy,0.0492,0.6776748556853269,0.5082,0.41169161856177566
gpqa_100,openclaw,GPQA,wrong,2,0.6931,reason,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.1727625541252605,0.0022134042972728,-0.1705491498279877,0.0,0.0,0.5347697677540609,0.991586342932526,0.0,0.0,0.9617775855544144,both_wrong,,,,,reason|UN,False,,,,,,,Q1_lowest,D7,healthy,0.0,0.5347697677540609,0.5,0.34492325591802037
gpqa_101,openclaw,GPQA,wrong,2,-0.0,PD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1626887387779235,0.001060414224327,-0.1616283245535965,1000.0,1.0,1.0,0.9917221869421184,0.0,0.0,0.9638349055328812,both_wrong,1.0,,,,PD|PD,False,,,,,,,Q4_highest,D1,collapse,1.0,1.0,1.0,1.0
gpqa_102,openclaw,GPQA,wrong,2,-0.0,PD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1753915078469602,0.0014174091515222,-0.1739740986954379,1000.0,1.0,1.0,0.9957371275445835,0.0,0.0,0.9682676973808688,regression,1.0,,,,PD|PD,False,,,,,,,Q4_highest,D1,collapse,1.0,1.0,1.0,1.0
gpqa_103,openclaw,GPQA,wrong,2,-0.0,PD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2474242261880651,0.1496480699144119,-0.0977761562736531,1000.0,1.0,1.0,0.9037370348578946,3.0,0.0,0.6046511627906976,both_wrong,1.0,,,,PD|PD,False,,,,,,,Q4_highest,D1,collapse,1.0,1.0,1.0,1.0
gpqa_104,openclaw,GPQA,correct,2,-0.0,PD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1743306079427237,0.3040073904991227,0.1296767825563989,1000.0,1.0,1.0,0.855512367708716,0.0,0.0,0.5083152566883586,both_correct,1.0,,,,PD|PD,True,,,,,,,Q4_highest,D1,collapse,1.0,1.0,1.0,1.0
gpqa_105,openclaw,GPQA,correct,2,0.6931,reason,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.3003844914840277,0.2602274947195406,-0.040156996764487,500.0,0.5,0.5347697677540609,0.8844556142973962,0.0,0.0,0.5833900612661674,both_correct,,1.0,,,reason|PD,True,,,,,,,Q4_highest,D7,pd_elevated,0.5,0.5347697677540609,0.75,0.5949232559180203
gpqa_106,openclaw,GPQA,wrong,2,-0.0,PD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1744288999338159,0.0003990505303146,-0.1740298494035013,1000.0,1.0,1.0,0.9939470088553132,378.0,0.0,0.9742655572193836,both_wrong,1.0,,,,PD|PD,False,,,,,,,Q4_highest,D1,collapse,1.0,1.0,1.0,1.0
