task_id,harness,paired_outcome,harness_correct,n_segments,arm_sequence,dominant_mode,dominant_rate,arm_entropy,rate_SE,rate_PD,rate_CV,rate_IC,rate_UN,rate_RR,rate_reason,reason->reason,reason->PD,PD->IC,looping_marker_count,self_correction_marker_count,uncertainty_marker_count,harness_repeated_ngram_rate,harness_mean_entropy,harness_n_tokens,harness_malformed_prediction,harness_missing_boxed_answer,reason->IC,IC->reason,PD->reason,reason->UN,UN->reason,PD->PD,IC->PD,reason->SE,PD->UN,IC->IC,reason->RR,RR->reason,PD->SE,SE->reason,SE->PD,UN->UN,UN->PD,UN->IC,IC->UN,RR->PD,PD->RR,RR->UN,RR->RR,UN->RR,IC->RR,SE->IC
gpqa_0,openclaw,both_correct,True,6,reason|reason|reason|reason|PD|IC,reason,0.6666666666666666,0.8676,0.0,0.1667,0.0,0.1667,0.0,0.0,0.6667,0.6,0.2,0.2,1,5,0,0.1381692573402418,0.3139365549458475,1051,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_1,openclaw,both_correct,True,6,reason|IC|reason|IC|reason|IC,reason,0.5,0.6931,0.0,0.0,0.0,0.5,0.0,0.0,0.5,,,,4,2,0,0.1345238095238095,0.3299891855972895,1882,False,False,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_10,openclaw,rescue,True,61,reason|reason|reason|reason|PD|reason|UN|reason|reason|UN|reason|reason|PD|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|PD|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|IC|reason|IC|reason,reason,0.8852459016393442,0.4802,0.0,0.0492,0.0,0.0328,0.0328,0.0,0.8852,0.7667,0.05,,32,13,0,0.2732558139534883,0.2793447835890891,3458,False,False,0.0333,0.0333,0.05,0.0333,0.0333,,,,,,,,,,,,,,,,,,,,,
gpqa_100,openclaw,both_wrong,False,2,reason|UN,reason,0.5,0.6931,0.0,0.0,0.0,0.0,0.5,0.0,0.5,,,,5,480,4,0.96234369759977,0.0265833231274897,36994,True,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
gpqa_101,openclaw,both_wrong,False,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,152,304,77,0.9683943849156906,0.0264267748561478,36997,True,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_102,openclaw,regression,False,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1,5,3,0.9866374589266156,0.0149082473185111,36997,True,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_103,openclaw,both_wrong,False,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1,54,8,0.0820476858345021,0.2694338188423879,3870,False,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_104,openclaw,both_correct,True,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,6,2,7,0.0997566909975669,0.4262714785931303,2766,False,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_105,openclaw,both_correct,True,2,reason|PD,reason,0.5,0.6931,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,1.0,,1,0,1,0.086342229199372,0.3354918154758119,1469,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_106,openclaw,both_wrong,False,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,755,1,1,0.978904282115869,0.0190701474314163,64777,True,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_107,openclaw,both_wrong,False,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0,3,0,0.036144578313253,0.4106245093774393,511,True,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_108,openclaw,both_wrong,False,2,reason|reason,reason,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,0,0,0,0.0,0.0,0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_109,openclaw,both_wrong,False,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,16,29,4,0.1444249341527655,0.3402734132873805,11309,False,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
