task_id,harness,n_segments,arm_sequence,dominant_mode,dominant_rate,arm_entropy,PD->PD,reason->PD,reason->IC,PD->reason,reason->UN,UN->reason,RR->reason,PD->IC,rate_SE,rate_PD,rate_IC,rate_UN,rate_RR,rate_reason,correct,score,outcome
gpqa_0,directllm,7,IC|PD|reason|UN|PD|PD|reason,PD,0.4286,1.277,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,True,1.0,correct
gpqa_1,directllm,7,RR|reason|PD|PD|reason|PD|reason,reason,0.4286,1.0042,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285,0.42857142857142855,True,1.0,correct
gpqa_10,directllm,6,PD|reason|PD|PD|UN|reason,PD,0.5,1.0114,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.16666666666666666,0.0,0.3333333333333333,True,1.0,correct
gpqa_100,directllm,4,RR|reason|PD|reason,reason,0.5,1.0397,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.25,0.0,0.0,0.25,0.5,False,0.0,wrong
gpqa_101,directllm,5,RR|reason|reason|reason|PD,reason,0.6,0.9503,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.2,0.0,0.0,0.2,0.6,True,1.0,correct
gpqa_102,directllm,7,RR|reason|PD|PD|PD|PD|reason,PD,0.5714,0.9557,0.5,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.5714285714285714,0.0,0.0,0.14285714285714285,0.2857142857142857,False,0.0,wrong
gpqa_103,directllm,5,RR|reason|reason|reason|reason,reason,0.8,0.5004,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.8,False,0.0,wrong
gpqa_104,directllm,6,RR|reason|reason|reason|reason|reason,reason,0.8333,0.4506,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,True,1.0,correct
gpqa_105,directllm,8,RR|reason|PD|PD|PD|PD|PD|reason,PD,0.625,0.9003,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.625,0.0,0.0,0.125,0.25,True,1.0,correct
gpqa_106,directllm,1,RR,RR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,wrong
gpqa_107,directllm,8,RR|reason|reason|reason|reason|reason|PD|PD,reason,0.625,0.9003,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.25,0.0,0.0,0.125,0.625,True,1.0,correct
gpqa_108,directllm,8,RR|reason|reason|reason|reason|PD|reason|reason,reason,0.75,0.7356,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.125,0.0,0.0,0.125,0.75,False,0.0,wrong
gpqa_109,directllm,8,RR|PD|PD|PD|PD|PD|reason|reason,PD,0.625,0.9003,0.5714285714285714,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.125,0.25,False,0.0,wrong
gpqa_11,directllm,8,RR|reason|reason|reason|reason|reason|reason|reason,reason,0.875,0.3768,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.125,0.875,True,1.0,correct
gpqa_110,directllm,6,RR|PD|reason|PD|reason|reason,reason,0.5,1.0114,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.5,False,0.0,wrong
gpqa_111,directllm,5,RR|reason|reason|PD|reason,reason,0.6,0.9503,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.2,0.0,0.0,0.2,0.6,True,1.0,correct
gpqa_112,directllm,8,RR|reason|PD|PD|PD|reason|UN|reason,reason,0.375,1.2555,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.375,0.0,0.125,0.125,0.375,False,0.0,wrong
gpqa_113,directllm,8,RR|PD|reason|reason|reason|reason|reason|reason,reason,0.75,0.7356,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.75,True,1.0,correct
gpqa_114,directllm,4,RR|PD|reason|reason,reason,0.5,1.0397,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,True,1.0,correct
