harness,paired_outcome,reason->reason,reason->PD,PD->IC,reason->IC,IC->reason,PD->reason,reason->UN,UN->reason,PD->PD,IC->PD,reason->SE,PD->UN,IC->IC,reason->RR,RR->reason,PD->SE,SE->reason,SE->PD,UN->UN,UN->PD,UN->IC,IC->UN,RR->PD,PD->RR,RR->UN,RR->RR,UN->RR,IC->RR,SE->IC
openclaw,both_correct,0.4778694444444444,0.5205857142857143,0.6,0.37227,0.24024,0.24773333333333333,0.426375,0.16565,0.7088960784313726,0.17145,0.3333,0.1,0.2,0.24210000000000004,0.1801111111111111,0.2,0.2,1.0,0.2,0.6,0.0667,0.0667,0.0667,0.3333,,,,,
openclaw,both_wrong,0.75875,0.78411,0.6,0.0909,0.0909,0.493575,0.772725,,0.8828384615384616,0.2,,1.0,,1.0,,,,,,,,,,,,,,,
openclaw,regression,0.63175,0.7481909090909091,1.0,,,0.2600857142857143,0.26665,0.2,0.850735,,1.0,0.037,,0.2,,,,,0.2,0.037,,,,,0.2,,,,
openclaw,rescue,0.7667,0.2472,,0.0333,0.0333,0.2472,0.0333,0.0333,0.8730142857142857,,,,,,,,,,,,,,,,,,,,
opencode,both_correct,0.5700769230769231,0.28967589285714285,0.3333,0.2000235294117647,0.13597058823529412,0.21313565217391303,0.16185,0.13214285714285715,0.24702045454545454,0.3333,0.3333,0.1429,0.1667,0.18546875,0.10957647058823529,0.3333,0.18333333333333335,,,0.3333,,,,,,,,,
opencode,both_wrong,0.6967454545454546,0.4660052631578947,,0.0161,0.0161,0.24675,0.6111,0.20834999999999998,0.6040272727272726,,,,,0.05,0.05,,,,,,,,,,,,,,
opencode,regression,0.735125,0.6394428571428571,,,,0.30354000000000003,1.0,,0.45235555555555557,,,,,0.6667,0.3333,,,,,,,,,,,,,,
opencode,rescue,0.17779999999999999,0.42333,,0.1667,0.1667,0.32331,,,0.27776666666666666,,,,,,,,,,,,,,,,,,,,
zeroclaw,both_correct,0.5296035971223022,0.164890625,0.06917,0.08064516129032258,0.08146,0.16211403508771932,0.0703125,0.075,0.20738823529411765,0.06818181818181818,0.0625,0.0625,0.0625,0.07407407407407407,0.075,,0.0625,,0.125,0.08333333333333333,,,0.0625,0.0625,0.0625,0.0625,,0.0625,
zeroclaw,both_wrong,0.3327904761904762,0.15938947368421053,0.0625,0.08333333333333333,0.078125,0.16267894736842106,0.10085,0.10226666666666666,0.29583333333333334,0.0625,,0.0625,,0.08806666666666667,0.1875,0.0625,,0.0625,,0.075,,,0.0625,0.0625,0.125,,0.125,,0.0625
zeroclaw,nonvalid_or_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zeroclaw,regression,0.3248285714285714,0.21170666666666668,,,,0.20754,0.0625,0.06695000000000001,0.1821857142857143,,,0.0625,,0.075,0.0625,,,,,,,,0.083325,0.07289999999999999,0.0625,0.0625,0.0625,,
zeroclaw,rescue,0.4166666666666667,0.16666666666666666,,0.0625,0.0625,0.17613636363636365,0.0625,0.0625,0.2708333333333333,0.0625,0.0625,0.0625,,0.0625,0.0625,,,0.0625,,0.0625,,,,,,0.0625,,,
