task_id,harness,arm_mode,n_segments,mean_arm_score,mean_text_len,harness_entropy,repeated_ngram_rate
gpqa_0,openclaw,IC,1,4.0,1752.0,0.3139365549458475,0.1381692573402418
gpqa_0,openclaw,PD,1,3.0,649.0,0.3139365549458475,0.1381692573402418
gpqa_0,openclaw,reason,4,0.0,888.0,0.3139365549458475,0.1381692573402418
gpqa_0,opencode,SE,2,2.0,1681.5,0.327966237093093,0.4788583509513742
gpqa_0,opencode,reason,5,0.0,621.4,0.327966237093093,0.4788583509513742
gpqa_0,zeroclaw,UN,1,1.0,3392.0,0.176317605987249,0.2012048192771084
gpqa_0,zeroclaw,reason,16,0.0,112.25,0.176317605987249,0.2012048192771084
gpqa_1,openclaw,IC,3,2.3333333333333335,1951.6666666666667,0.3299891855972895,0.1345238095238095
gpqa_1,openclaw,reason,3,0.0,771.6666666666666,0.3299891855972895,0.1345238095238095
gpqa_1,opencode,RR,2,7.0,3901.5,0.3838656452610808,0.4906511927788523
gpqa_1,opencode,reason,5,0.0,595.4,0.3838656452610808,0.4906511927788523
gpqa_1,zeroclaw,IC,1,4.0,4666.0,0.2942403229696091,0.0878438331854481
gpqa_1,zeroclaw,PD,2,1.0,198.5,0.2942403229696091,0.0878438331854481
gpqa_1,zeroclaw,RR,1,2.0,80.0,0.2942403229696091,0.0878438331854481
gpqa_1,zeroclaw,reason,13,0.0,138.92307692307693,0.2942403229696091,0.0878438331854481
gpqa_10,openclaw,IC,2,2.0,3176.5,0.2793447835890891,0.2732558139534883
gpqa_10,openclaw,PD,3,2.6666666666666665,7697.666666666667,0.2793447835890891,0.2732558139534883
gpqa_10,openclaw,UN,2,2.0,1744.0,0.2793447835890891,0.2732558139534883
gpqa_10,openclaw,reason,54,0.0,1138.3148148148148,0.2793447835890891,0.2732558139534883
gpqa_10,opencode,IC,1,2.0,2859.0,0.3092497697762995,0.5052970981114694
gpqa_10,opencode,PD,2,4.0,4595.0,0.3092497697762995,0.5052970981114694
gpqa_10,opencode,reason,60,0.0,394.1,0.3092497697762995,0.5052970981114694
gpqa_10,zeroclaw,IC,1,2.0,303.0,0.313620458027403,0.1290566037735849
gpqa_10,zeroclaw,RR,1,2.0,5618.0,0.313620458027403,0.1290566037735849
gpqa_10,zeroclaw,reason,15,0.0,175.93333333333334,0.313620458027403,0.1290566037735849
gpqa_100,openclaw,UN,1,934.0,138347.0,0.0265833231274897,0.96234369759977
gpqa_100,openclaw,reason,1,0.0,1189.0,0.0265833231274897,0.96234369759977
gpqa_100,opencode,PD,1,138.0,20170.0,0.0920069503722644,0.8166010498687664
gpqa_100,opencode,reason,1,0.0,410.0,0.0920069503722644,0.8166010498687664
gpqa_100,zeroclaw,PD,6,7.666666666666667,1132.6666666666667,0.400804708940784,0.1063348416289592
gpqa_100,zeroclaw,RR,2,2.5,327.0,0.400804708940784,0.1063348416289592
gpqa_100,zeroclaw,reason,9,0.0,141.11111111111111,0.400804708940784,0.1063348416289592
gpqa_101,openclaw,PD,2,1076.0,83753.5,0.0264267748561478,0.9683943849156906
gpqa_101,opencode,PD,3,82.66666666666667,4468.666666666667,0.4620103281671663,0.5038240917782026
gpqa_101,opencode,reason,1,0.0,404.0,0.4620103281671663,0.5038240917782026
gpqa_101,zeroclaw,PD,15,10.133333333333333,502.26666666666665,0.4229663683773598,0.1274809160305343
gpqa_101,zeroclaw,UN,1,2.0,235.0,0.4229663683773598,0.1274809160305343
gpqa_101,zeroclaw,reason,1,0.0,283.0,0.4229663683773598,0.1274809160305343
gpqa_102,openclaw,PD,2,1633.0,114420.0,0.0149082473185111,0.9866374589266156
gpqa_102,opencode,PD,3,50.0,4274.333333333333,0.5641916362697069,0.4822469528351881
gpqa_102,opencode,reason,1,0.0,404.0,0.5641916362697069,0.4822469528351881
gpqa_102,zeroclaw,PD,10,5.2,500.6,0.5056891414288549,0.0457589285714285
gpqa_102,zeroclaw,RR,2,2.0,170.0,0.5056891414288549,0.0457589285714285
gpqa_102,zeroclaw,UN,1,2.0,109.0,0.5056891414288549,0.0457589285714285
gpqa_102,zeroclaw,reason,4,0.0,60.5,0.5056891414288549,0.0457589285714285
gpqa_103,openclaw,PD,2,55.0,6174.0,0.2694338188423879,0.0820476858345021
gpqa_103,opencode,PD,3,76.0,7027.666666666667,0.254169911500983,0.5470867208672087
gpqa_103,opencode,reason,1,0.0,404.0,0.254169911500983,0.5470867208672087
gpqa_103,zeroclaw,PD,9,10.88888888888889,978.1111111111111,0.4265125566894891,0.1641577060931899
gpqa_103,zeroclaw,reason,8,0.0,74.75,0.4265125566894891,0.1641577060931899
gpqa_104,openclaw,PD,2,46.0,5255.5,0.4262714785931303,0.0997566909975669
gpqa_104,opencode,PD,4,51.5,4219.0,0.4656578220983285,0.4967689822294022
gpqa_104,opencode,reason,59,0.0,378.3220338983051,0.4656578220983285,0.4967689822294022
gpqa_104,zeroclaw,PD,15,7.733333333333333,591.9333333333333,0.4267351366549499,0.0788141720896601
gpqa_104,zeroclaw,reason,2,0.0,62.5,0.4267351366549499,0.0788141720896601
gpqa_105,openclaw,PD,1,46.0,4826.0,0.3354918154758119,0.086342229199372
