task_id,harness,benchmark,n_tokens,head_entropy,tail_entropy,delta_entropy,low_ent_share,top1_prob_mean
hle_1,directllm,HLE,32768,0.370316,0.00033,-0.369986,0.2257,0.9666
hle_1008,directllm,HLE,12789,0.421739,0.341789,-0.07995,0.2497,0.8552
hle_1009,directllm,HLE,7341,0.728738,0.449278,-0.27946,0.25,0.7874
hle_1012,directllm,HLE,10228,0.373381,0.331907,-0.041474,0.2493,0.8557
hle_1019,directllm,HLE,7261,0.602269,0.40842,-0.193848,0.25,0.8099
hle_1021,directllm,HLE,7392,0.337409,0.27005,-0.067359,0.2489,0.8949
hle_1022,directllm,HLE,7934,0.45212,0.413065,-0.039055,0.2497,0.8503
hle_1023,directllm,HLE,32768,0.304061,4.8e-05,-0.304013,0.2337,0.9725
hle_1024,directllm,HLE,4956,0.541522,0.425534,-0.115988,0.25,0.8302
hle_1031,directllm,HLE,8864,0.462912,0.330575,-0.132337,0.2492,0.8526
hle_1038,directllm,HLE,10183,0.522196,0.418817,-0.103379,0.2499,0.8278
hle_1045,directllm,HLE,17571,0.188119,0.179134,-0.008985,0.2472,0.9272
hle_1046,directllm,HLE,14632,0.340643,0.205655,-0.134988,0.2487,0.9125
hle_1047,directllm,HLE,5754,0.198932,0.137379,-0.061554,0.2461,0.9225
hle_1048,directllm,HLE,17230,0.47295,0.237059,-0.235891,0.2495,0.8932
hle_1049,directllm,HLE,15579,0.282625,0.263065,-0.01956,0.2488,0.9025
hle_1050,directllm,HLE,11161,0.419781,0.161637,-0.258144,0.2495,0.9172
hle_1051,directllm,HLE,10861,0.16345,0.146903,-0.016548,0.2443,0.9328
hle_1052,directllm,HLE,22869,0.355883,0.213067,-0.142816,0.25,0.9061
hle_1054,directllm,HLE,13185,0.411343,0.287118,-0.124225,0.2493,0.8691
hle_1055,directllm,HLE,7500,0.53429,0.467834,-0.066456,0.2496,0.8118
hle_1056,directllm,HLE,8923,0.306688,0.33317,0.026482,0.248,0.8888
hle_1057,directllm,HLE,11669,0.407735,0.198225,-0.209509,0.2472,0.9034
hle_1058,directllm,HLE,32768,0.304645,4.2e-05,-0.304603,0.2394,0.9729
hle_1066,directllm,HLE,6630,0.656297,0.47455,-0.181747,0.2501,0.7981
hle_1067,directllm,HLE,19599,0.412104,0.249328,-0.162776,0.2498,0.8758
hle_1070,directllm,HLE,9962,0.556391,0.4057,-0.150691,0.2498,0.8353
hle_1071,directllm,HLE,13008,0.324591,0.210609,-0.113982,0.2498,0.9004
hle_1073,directllm,HLE,32768,0.108202,5.1e-05,-0.108151,0.2371,0.9909
hle_1074,directllm,HLE,2092,0.495167,0.312705,-0.182462,0.25,0.8466
hle_1077,directllm,HLE,15628,0.3552,0.179334,-0.175865,0.2478,0.9151
hle_1079,directllm,HLE,32768,0.297433,2.5e-05,-0.297408,0.1555,0.974
hle_108,directllm,HLE,17977,0.272996,0.154587,-0.118409,0.2398,0.9293
hle_1080,directllm,HLE,6532,0.535211,0.422594,-0.112617,0.25,0.8194
hle_1081,directllm,HLE,20068,0.167246,0.220559,0.053313,0.2499,0.9224
hle_1083,directllm,HLE,32768,0.087659,6.9e-05,-0.08759,0.2239,0.9924
hle_1084,directllm,HLE,5946,0.616981,0.450824,-0.166157,0.2501,0.8065
hle_1088,directllm,HLE,32768,0.484149,0.000323,-0.483826,0.2276,0.9525
hle_1089,directllm,HLE,3787,0.666665,0.430903,-0.235762,0.2501,0.8013
hle_109,directllm,HLE,2964,0.635658,0.476269,-0.159389,0.25,0.794
hle_1098,directllm,HLE,12475,0.580243,0.214429,-0.365813,0.2491,0.8646
hle_11,directllm,HLE,11559,0.259062,0.222184,-0.036878,0.2498,0.8951
hle_1108,directllm,HLE,17697,0.212253,0.22642,0.014167,0.247,0.9247
hle_1109,directllm,HLE,21541,0.196675,0.233451,0.036776,0.2435,0.9248
hle_111,directllm,HLE,18060,0.279401,0.112134,-0.167267,0.2472,0.9326
hle_1116,directllm,HLE,14167,0.338094,0.281453,-0.056641,0.2487,0.8891
hle_1119,directllm,HLE,32768,0.32408,0.000194,-0.323885,0.2221,0.9713
hle_112,directllm,HLE,8975,0.275658,0.293387,0.017729,0.2495,0.8822
hle_1120,directllm,HLE,32768,0.126183,5.4e-05,-0.126128,0.1763,0.9892
hle_1126,directllm,HLE,11624,0.328755,0.185429,-0.143326,0.2466,0.9252
hle_1127,directllm,HLE,10262,0.17277,0.159894,-0.012876,0.2433,0.9436
