task_id,harness,benchmark,n_segments,arm_sequence,dominant_mode,dominant_rate,arm_entropy,rate_SE,rate_PD,rate_IC,rate_UN,rate_RR,rate_reason
hle_1,directllm,HLE,153,reason|reason|reason|reason|reason|RR|RR|RR|RR|RR|RR|UN|RR|RR|UN|RR|UN|RR|UN|RR|IC|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR,RR,0.9346,0.3031,0.0,0.0,0.0065,0.0261,0.9346,0.0327
hle_1008,directllm,HLE,19,PD|PD|RR|UN|RR|UN|UN|RR|UN|IC|UN|RR|UN|RR|reason|reason|reason|reason|IC,UN,0.3158,1.5173,0.0,0.1053,0.1053,0.3158,0.2632,0.2105
hle_1009,directllm,HLE,49,reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|UN|RR|RR|RR|reason|reason|RR|RR|PD|RR|RR|RR|RR|reason|RR|reason|RR|UN|RR|reason|UN|RR|UN|RR|reason|reason|RR|reason|RR|RR|UN|RR|reason|reason|reason|PD,reason,0.4898,1.0809,0.0,0.0408,0.0,0.102,0.3673,0.4898
hle_1012,directllm,HLE,24,reason|UN|PD|IC|reason|reason|reason|reason|reason|reason|reason|UN|RR|UN|UN|reason|RR|UN|RR|UN|reason|reason|reason|reason,reason,0.5417,1.2034,0.0,0.0417,0.0417,0.25,0.125,0.5417
hle_1019,directllm,HLE,33,reason|reason|reason|PD|reason|reason|reason|reason|reason|PD|RR|RR|UN|PD|RR|reason|reason|reason|UN|UN|reason|reason|UN|RR|UN|RR|RR|UN|RR|reason|reason|reason|reason,reason,0.5152,1.1986,0.0,0.0909,0.0,0.1818,0.2121,0.5152
hle_1021,directllm,HLE,58,PD|reason|reason|reason|reason|reason|reason|reason|reason|reason|PD|reason|UN|UN|reason|reason|reason|reason|reason|reason|UN|UN|UN|RR|reason|reason|PD|PD|PD|reason|reason|PD|reason|PD|UN|RR|reason|reason|reason|PD|reason|reason|UN|RR|reason|UN|UN|UN|UN|reason|reason|PD|reason|reason|reason|reason|PD|reason,reason,0.5862,1.0847,0.0,0.1724,0.0,0.1897,0.0517,0.5862
hle_1022,directllm,HLE,36,reason|reason|reason|reason|reason|reason|reason|reason|reason|UN|RR|RR|reason|reason|UN|PD|UN|reason|UN|UN|reason|reason|UN|SE|reason|reason|reason|UN|reason|UN|IC|RR|reason|reason|reason|PD,reason,0.5833,1.2154,0.0278,0.0556,0.0278,0.2222,0.0833,0.5833
hle_1023,directllm,HLE,16,reason|IC|reason|reason|reason|reason|PD|PD|PD|PD|PD|reason|PD|PD|PD|PD,PD,0.5625,0.8647,0.0,0.5625,0.0625,0.0,0.0,0.375
hle_1024,directllm,HLE,38,reason|UN|UN|UN|reason|reason|reason|reason|IC|reason|IC|reason|UN|RR|reason|reason|RR|RR|RR|reason|RR|reason|reason|UN|RR|IC|reason|RR|reason|reason|RR|reason|RR|reason|reason|reason|reason|reason,reason,0.5526,1.1362,0.0,0.0,0.0789,0.1316,0.2368,0.5526
hle_1031,directllm,HLE,37,reason|reason|PD|reason|PD|PD|IC|RR|PD|reason|PD|RR|reason|PD|RR|RR|reason|reason|UN|reason|reason|RR|reason|reason|reason|reason|UN|reason|RR|reason|UN|reason|reason|reason|PD|RR|reason,reason,0.5135,1.2735,0.0,0.1892,0.027,0.0811,0.1892,0.5135
hle_1038,directllm,HLE,36,reason|RR|reason|UN|RR|reason|RR|UN|reason|UN|reason|PD|reason|PD|RR|reason|UN|UN|UN|reason|RR|RR|reason|reason|reason|reason|reason|UN|IC|RR|reason|RR|reason|PD|reason|PD,reason,0.4444,1.3568,0.0,0.1111,0.0278,0.1944,0.2222,0.4444
hle_1045,directllm,HLE,40,PD|reason|reason|PD|PD|PD|RR|PD|PD|PD|reason|PD|reason|RR|PD|IC|PD|PD|reason|RR|PD|RR|IC|RR|reason|reason|RR|UN|RR|RR|PD|IC|RR|reason|reason|reason|reason|PD|reason|reason,PD,0.35,1.3548,0.0,0.35,0.075,0.025,0.225,0.325
hle_1046,directllm,HLE,22,reason|RR|reason|reason|UN|UN|RR|UN|IC|PD|UN|reason|UN|IC|UN|reason|PD|reason|reason|PD|PD|reason,reason,0.3636,1.4681,0.0,0.1818,0.0909,0.2727,0.0909,0.3636
hle_1047,directllm,HLE,30,reason|reason|IC|PD|reason|reason|reason|reason|PD|reason|reason|reason|reason|reason|RR|PD|reason|reason|PD|IC|PD|PD|PD|reason|IC|PD|reason|PD|reason|reason,reason,0.5667,1.0267,0.0,0.3,0.1,0.0,0.0333,0.5667
hle_1048,directllm,HLE,14,PD|UN|reason|RR|reason|PD|PD|reason|reason|reason|reason|PD|reason|reason,reason,0.5714,1.0547,0.0,0.2857,0.0,0.0714,0.0714,0.5714
hle_1049,directllm,HLE,26,PD|RR|RR|RR|UN|RR|reason|PD|RR|PD|PD|IC|reason|reason|reason|reason|UN|UN|reason|IC|reason|reason|IC|PD|reason|reason,reason,0.3846,1.4999,0.0,0.1923,0.1154,0.1154,0.1923,0.3846
hle_1050,directllm,HLE,33,PD|RR|PD|RR|reason|reason|reason|reason|reason|RR|reason|reason|reason|reason|RR|reason|reason|UN|UN|PD|PD|PD|reason|reason|reason|PD|reason|PD|reason|reason|reason|reason|reason,reason,0.6061,1.0581,0.0,0.2121,0.0,0.0606,0.1212,0.6061
hle_1051,directllm,HLE,39,reason|reason|reason|reason|IC|reason|reason|reason|reason|PD|PD|PD|reason|RR|reason|PD|PD|reason|IC|reason|reason|RR|IC|IC|PD|reason|reason|IC|IC|IC|IC|RR|reason|reason|reason|reason|PD|reason|reason,reason,0.5385,1.1639,0.0,0.1795,0.2051,0.0,0.0769,0.5385
hle_1052,directllm,HLE,23,reason|RR|PD|RR|UN|UN|UN|UN|UN|UN|IC|reason|UN|UN|UN|RR|reason|PD|reason|PD|reason|reason|reason,UN,0.3913,1.3969,0.0,0.1304,0.0435,0.3913,0.1304,0.3043
hle_1054,directllm,HLE,17,reason|reason|UN|RR|RR|RR|reason|reason|UN|RR|RR|RR|reason|reason|reason|PD|reason,reason,0.4706,1.1407,0.0,0.0588,0.0,0.1176,0.3529,0.4706
hle_1055,directllm,HLE,42,reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|UN|UN|UN|PD|reason|UN|reason|UN|UN|UN|RR|reason|UN|PD|reason|IC|RR|reason|UN|UN|RR|RR|UN|RR|reason|PD|reason|reason|reason|reason|reason|reason,reason,0.5238,1.2205,0.0,0.0714,0.0238,0.2619,0.119,0.5238
hle_1056,directllm,HLE,36,PD|PD|UN|reason|reason|RR|reason|PD|PD|reason|PD|reason|reason|PD|reason|PD|IC|PD|PD|PD|reason|PD|reason|PD|reason|reason|reason|reason|IC|PD|PD|reason|reason|reason|reason|PD,reason,0.4722,1.0788,0.0,0.4167,0.0556,0.0278,0.0278,0.4722
hle_1057,directllm,HLE,29,reason|PD|PD|PD|reason|reason|reason|RR|IC|reason|reason|RR|PD|PD|RR|reason|reason|PD|PD|PD|reason|IC|reason|reason|reason|PD|reason|PD|reason,reason,0.4828,1.1378,0.0,0.3448,0.069,0.0,0.1034,0.4828
hle_1058,directllm,HLE,44,reason|reason|reason|reason|reason|IC|IC|IC|reason|RR|reason|PD|reason|reason|RR|IC|RR|PD|RR|RR|PD|reason|RR|IC|reason|RR|RR|IC|RR|RR|IC|reason|RR|IC|RR|RR|RR|RR|reason|RR|RR|RR|RR|RR,RR,0.4545,1.2117,0.0,0.0682,0.1818,0.0,0.4545,0.2955
hle_1066,directllm,HLE,70,reason|reason|UN|reason|reason|UN|UN|reason|PD|reason|reason|reason|reason|reason|reason|PD|reason|reason|reason|reason|reason|reason|reason|RR|reason|reason|reason|reason|PD|reason|RR|IC|reason|RR|UN|reason|reason|reason|PD|reason|reason|RR|reason|RR|reason|RR|UN|PD|reason|RR|reason|reason|reason|reason|reason|RR|RR|RR|RR|PD|reason|reason|RR|reason|RR|reason|PD|PD|reason|reason,reason,0.6143,1.1091,0.0,0.1143,0.0143,0.0714,0.1857,0.6143
hle_1067,directllm,HLE,17,reason|reason|reason|RR|RR|RR|RR|IC|reason|RR|IC|RR|UN|RR|reason|reason|PD,RR,0.4118,1.318,0.0,0.0588,0.1176,0.0588,0.4118,0.3529
