cause_bucket,harness,n,paired_outcome,share_within_outcome
both_correct,openclaw,123,both_correct,1.0
both_wrong,openclaw,31,both_wrong,1.0
answer_changed_valid,openclaw,1,regression,0.027777777777777776
answer_format_or_extraction,openclaw,32,regression,0.8888888888888888
long_low_entropy_or_overrun,openclaw,1,regression,0.027777777777777776
tool_use_not_integrated,openclaw,1,regression,0.027777777777777776
verification_without_conversion,openclaw,1,regression,0.027777777777777776
rescue,openclaw,8,rescue,1.0
both_correct,opencode,135,both_correct,1.0
both_wrong,opencode,29,both_wrong,1.0
answer_format_or_extraction,opencode,15,regression,0.625
premature_answer,opencode,5,regression,0.20833333333333334
tool_use_not_integrated,opencode,1,regression,0.041666666666666664
verification_without_conversion,opencode,3,regression,0.125
rescue,opencode,10,rescue,1.0
both_correct,zeroclaw,141,both_correct,1.0
both_wrong,zeroclaw,22,both_wrong,1.0
operational_error,zeroclaw,7,nonvalid_or_missing,1.0
answer_changed_valid,zeroclaw,3,regression,0.2
answer_format_or_extraction,zeroclaw,3,regression,0.2
planning_recovery_churn,zeroclaw,2,regression,0.13333333333333333
premature_answer,zeroclaw,5,regression,0.3333333333333333
verification_without_conversion,zeroclaw,2,regression,0.13333333333333333
rescue,zeroclaw,13,rescue,1.0
