model,harness,benchmark,task_id,sample,correct,mean_entropy,n_tokens
Gemma4-31B,directllm,AIME,aime_1,0,1,0.10170904353682564,1671
Gemma4-31B,directllm,AIME,aime_1,1,1,0.07881094575044251,1967
Gemma4-31B,directllm,AIME,aime_1,2,1,0.0858597116345408,2056
Gemma4-31B,directllm,AIME,aime_1,3,1,0.11530051157607461,2197
Gemma4-31B,directllm,AIME,aime_10,0,1,0.1395730279521512,10912
Gemma4-31B,directllm,AIME,aime_10,1,0,0.11298110880176963,11215
Gemma4-31B,directllm,AIME,aime_10,2,1,0.1335248086394446,11609
Gemma4-31B,directllm,AIME,aime_10,3,1,0.1226901627121214,12551
Gemma4-31B,directllm,AIME,aime_11,0,1,0.14621534648906545,7420
Gemma4-31B,directllm,AIME,aime_11,1,1,0.1434018903617168,9396
Gemma4-31B,directllm,AIME,aime_11,2,1,0.15198704474514974,10115
Gemma4-31B,directllm,AIME,aime_11,3,1,0.14249629360228536,11175
Gemma4-31B,directllm,AIME,aime_12,0,1,0.10899740102539386,6782
Gemma4-31B,directllm,AIME,aime_12,1,1,0.13224836648258956,7769
Gemma4-31B,directllm,AIME,aime_12,2,1,0.1484024419794898,8314
Gemma4-31B,directllm,AIME,aime_12,3,1,0.13663365467374627,9421
Gemma4-31B,directllm,AIME,aime_13,0,1,0.14287094029021769,8986
Gemma4-31B,directllm,AIME,aime_13,1,1,0.15021504131890198,10070
Gemma4-31B,directllm,AIME,aime_13,2,1,0.13080448868694436,11433
Gemma4-31B,directllm,AIME,aime_13,3,1,0.14076209165850218,10664
Gemma4-31B,directllm,AIME,aime_14,0,1,0.09218041138484884,9002
Gemma4-31B,directllm,AIME,aime_14,1,1,0.08648151771603933,10206
Gemma4-31B,directllm,AIME,aime_14,2,1,0.10021938278226952,15387
Gemma4-31B,directllm,AIME,aime_14,3,1,0.10609872346188057,15099
Gemma4-31B,directllm,AIME,aime_15,0,0,0.1536963428408416,14765
Gemma4-31B,directllm,AIME,aime_15,1,0,0.1582707902542591,14980
Gemma4-31B,directllm,AIME,aime_15,2,0,0.15425785667957848,16941
Gemma4-31B,directllm,AIME,aime_15,3,0,0.1946230899798611,15224
Gemma4-31B,directllm,AIME,aime_16,0,1,0.1565048825423409,3270
Gemma4-31B,directllm,AIME,aime_16,1,1,0.1876716922198734,4915
Gemma4-31B,directllm,AIME,aime_16,2,1,0.15570218969461475,3932
Gemma4-31B,directllm,AIME,aime_16,3,1,0.1583696801371743,3406
Gemma4-31B,directllm,AIME,aime_17,0,1,0.13619090598993186,10107
Gemma4-31B,directllm,AIME,aime_17,1,1,0.143718975356831,9111
Gemma4-31B,directllm,AIME,aime_17,2,1,0.1517343233152334,11704
Gemma4-31B,directllm,AIME,aime_17,3,0,0.13821612323124483,19347
Gemma4-31B,directllm,AIME,aime_18,0,1,0.14908060196438191,9453
Gemma4-31B,directllm,AIME,aime_18,1,1,0.13470548532887935,11251
Gemma4-31B,directllm,AIME,aime_18,2,1,0.13437264553585834,12991
Gemma4-31B,directllm,AIME,aime_18,3,1,0.1581587743394536,11726
Gemma4-31B,directllm,AIME,aime_19,0,1,0.12714359958214433,5673
Gemma4-31B,directllm,AIME,aime_19,1,1,0.14797538309101516,7955
Gemma4-31B,directllm,AIME,aime_19,2,1,0.13405221571925197,8231
Gemma4-31B,directllm,AIME,aime_19,3,1,0.13407411507361236,8034
Gemma4-31B,directllm,AIME,aime_2,0,1,0.11938600805729586,6180
Gemma4-31B,directllm,AIME,aime_2,1,1,0.11241745132342651,6214
