model,harness,benchmark,failure_mode,n,share_of_failed
Qwen3.5-27B,directllm,GPQA-Diamond,Reasoning,39,1.0
Qwen3.5-27B,directllm,GPQA-Diamond,Tool Selection,0,0.0
Qwen3.5-27B,directllm,GPQA-Diamond,Execution,0,0.0
Qwen3.5-27B,directllm,GPQA-Diamond,Observation,0,0.0
Qwen3.5-27B,directllm,GPQA-Diamond,Recovery,0,0.0
Qwen3.5-27B,directllm,GPQA-Diamond,Memory/State,0,0.0
Qwen3.5-27B,directllm,GPQA-Diamond,Budget,0,0.0
Qwen3.5-27B,directllm,GPQA-Diamond,Format/Verifier,0,0.0
Qwen3.5-27B,directllm,HLE,Reasoning,247,1.0
Qwen3.5-27B,directllm,HLE,Tool Selection,0,0.0
Qwen3.5-27B,directllm,HLE,Execution,0,0.0
Qwen3.5-27B,directllm,HLE,Observation,0,0.0
Qwen3.5-27B,directllm,HLE,Recovery,0,0.0
Qwen3.5-27B,directllm,HLE,Memory/State,0,0.0
Qwen3.5-27B,directllm,HLE,Budget,0,0.0
Qwen3.5-27B,directllm,HLE,Format/Verifier,0,0.0
Qwen3.5-27B,openclaw,GPQA-Diamond,Reasoning,1,0.0278
Qwen3.5-27B,openclaw,GPQA-Diamond,Tool Selection,1,0.0278
Qwen3.5-27B,openclaw,GPQA-Diamond,Execution,0,0.0
Qwen3.5-27B,openclaw,GPQA-Diamond,Observation,1,0.0278
Qwen3.5-27B,openclaw,GPQA-Diamond,Recovery,0,0.0
Qwen3.5-27B,openclaw,GPQA-Diamond,Memory/State,1,0.0278
Qwen3.5-27B,openclaw,GPQA-Diamond,Budget,0,0.0
Qwen3.5-27B,openclaw,GPQA-Diamond,Format/Verifier,32,0.8889
Qwen3.5-27B,opencode,GPQA-Diamond,Reasoning,5,0.2083
Qwen3.5-27B,opencode,GPQA-Diamond,Tool Selection,1,0.0417
Qwen3.5-27B,opencode,GPQA-Diamond,Execution,0,0.0
Qwen3.5-27B,opencode,GPQA-Diamond,Observation,3,0.125
Qwen3.5-27B,opencode,GPQA-Diamond,Recovery,0,0.0
Qwen3.5-27B,opencode,GPQA-Diamond,Memory/State,0,0.0
Qwen3.5-27B,opencode,GPQA-Diamond,Budget,0,0.0
Qwen3.5-27B,opencode,GPQA-Diamond,Format/Verifier,15,0.625
Qwen3.5-27B,opencode,HLE,Reasoning,72,0.1415
Qwen3.5-27B,opencode,HLE,Tool Selection,287,0.5639
Qwen3.5-27B,opencode,HLE,Execution,0,0.0
Qwen3.5-27B,opencode,HLE,Observation,2,0.0039
Qwen3.5-27B,opencode,HLE,Recovery,0,0.0
Qwen3.5-27B,opencode,HLE,Memory/State,0,0.0
Qwen3.5-27B,opencode,HLE,Budget,148,0.2908
Qwen3.5-27B,opencode,HLE,Format/Verifier,0,0.0
Qwen3.5-27B,zeroclaw,GPQA-Diamond,Reasoning,5,0.2273
Qwen3.5-27B,zeroclaw,GPQA-Diamond,Tool Selection,0,0.0
Qwen3.5-27B,zeroclaw,GPQA-Diamond,Execution,7,0.3182
Qwen3.5-27B,zeroclaw,GPQA-Diamond,Observation,2,0.0909
Qwen3.5-27B,zeroclaw,GPQA-Diamond,Recovery,2,0.0909
Qwen3.5-27B,zeroclaw,GPQA-Diamond,Memory/State,3,0.1364
Qwen3.5-27B,zeroclaw,GPQA-Diamond,Budget,0,0.0
Qwen3.5-27B,zeroclaw,GPQA-Diamond,Format/Verifier,3,0.1364
Qwen3.5-27B,zeroclaw,HLE,Reasoning,451,0.8966
Qwen3.5-27B,zeroclaw,HLE,Tool Selection,0,0.0
Qwen3.5-27B,zeroclaw,HLE,Execution,0,0.0
Qwen3.5-27B,zeroclaw,HLE,Observation,0,0.0
Qwen3.5-27B,zeroclaw,HLE,Recovery,0,0.0
Qwen3.5-27B,zeroclaw,HLE,Memory/State,5,0.0099
Qwen3.5-27B,zeroclaw,HLE,Budget,47,0.0934
Qwen3.5-27B,zeroclaw,HLE,Format/Verifier,0,0.0
