harness,task_id,correct,mean_entropy,n_tokens
openclaw,gpqa_0,1,0.3139365549458475,1051
openclaw,gpqa_1,1,0.3299891855972895,1882
openclaw,gpqa_10,1,0.2793447835890891,3458
openclaw,gpqa_100,0,0.026583323127489736,36994
openclaw,gpqa_101,0,0.026426774856147892,36997
openclaw,gpqa_102,0,0.014908247318511163,36997
openclaw,gpqa_103,0,0.2694338188423879,3870
openclaw,gpqa_104,1,0.4262714785931303,2766
openclaw,gpqa_105,1,0.33549181547581197,1469
openclaw,gpqa_106,0,0.019070147431416395,64777
openclaw,gpqa_107,0,0.4106245093774393,511
openclaw,gpqa_109,0,0.34027341328738053,11309
openclaw,gpqa_11,1,0.21506146907827645,796
openclaw,gpqa_110,0,0.037012256791913514,54424
openclaw,gpqa_111,0,0.3887905119648778,3482
openclaw,gpqa_113,0,0.3502490288728195,1959
openclaw,gpqa_114,1,0.19514877078242543,1497
openclaw,gpqa_115,1,0.40252927644825715,4161
openclaw,gpqa_117,1,0.312496458382379,3412
openclaw,gpqa_118,1,0.3841608817791287,2029
openclaw,gpqa_119,1,0.29603039092461225,4291
openclaw,gpqa_12,0,0.029965770926093486,24937
openclaw,gpqa_121,1,0.23827331724574088,1049
openclaw,gpqa_122,1,0.37929462353930615,1045
openclaw,gpqa_123,0,0.3501531737218936,4749
openclaw,gpqa_124,0,0.06071844252299387,13762
openclaw,gpqa_125,0,0.09290804208296574,66646
openclaw,gpqa_126,1,0.2885125391697404,1981
openclaw,gpqa_127,0,0.032079095820660444,13761
openclaw,gpqa_128,0,0.10246303236351745,17382
openclaw,gpqa_129,0,0.031502480925111785,62536
openclaw,gpqa_13,1,0.13581754307898095,1209
openclaw,gpqa_130,0,0.04057791925417629,17382
openclaw,gpqa_131,0,0.03593573610129342,84104
openclaw,gpqa_132,1,0.10768370066627027,5417
openclaw,gpqa_134,0,0.024560486071507848,52330
openclaw,gpqa_135,0,0.031396646112539964,85143
openclaw,gpqa_136,0,0.058546237258201475,59643
openclaw,gpqa_137,1,0.2569668850448994,5014
openclaw,gpqa_138,1,0.27628244634709853,5489
openclaw,gpqa_139,0,0.032903099374184286,52065
openclaw,gpqa_140,0,0.02840936774881989,79827
openclaw,gpqa_141,1,0.3213225498577078,4573
openclaw,gpqa_142,1,0.3359328634008529,10329
openclaw,gpqa_143,0,0.04299943807823541,53483
openclaw,gpqa_144,1,0.282814263493689,3634
openclaw,gpqa_145,1,0.37065862795328264,5026
openclaw,gpqa_146,1,0.23640419937602142,4008
openclaw,gpqa_147,1,0.14808753188645388,4244
openclaw,gpqa_148,1,0.20383873084746673,3396
openclaw,gpqa_149,0,0.18634232318619065,3795
openclaw,gpqa_15,1,0.37532706009790906,1343
openclaw,gpqa_150,1,0.06432073932177765,5793
openclaw,gpqa_151,1,0.1908739946274325,2867
openclaw,gpqa_152,1,0.17457969603347057,2755
openclaw,gpqa_153,1,0.35747789497971955,2633
openclaw,gpqa_154,1,0.21881136829054357,1553
openclaw,gpqa_155,1,0.23936644755204284,1739
openclaw,gpqa_156,1,0.21937659426371908,1237
openclaw,gpqa_157,1,0.27395586219132256,1012
openclaw,gpqa_158,1,0.25665721170759925,2334
openclaw,gpqa_159,1,0.10001998929683537,2165
openclaw,gpqa_16,1,0.35237752378565107,1260
openclaw,gpqa_160,0,0.01017312035906964,68389
openclaw,gpqa_161,1,0.2794556137110305,1551
openclaw,gpqa_162,0,0.028389973993731093,38972
openclaw,gpqa_163,1,0.16512659211903188,906
openclaw,gpqa_164,1,0.10877287628429647,1415
openclaw,gpqa_167,0,0.14240398472017385,868
openclaw,gpqa_168,1,0.11717474249374989,1484
openclaw,gpqa_169,1,0.3788855937735867,892
openclaw,gpqa_17,1,0.1625081724065001,1578
openclaw,gpqa_170,1,0.1278377672364255,980
openclaw,gpqa_172,0,0.11023920447728076,7542
openclaw,gpqa_173,0,0.0841590140264,7808
openclaw,gpqa_174,1,0.11240188961188567,6670
openclaw,gpqa_175,1,0.047686392243662015,5808
openclaw,gpqa_176,1,0.3563425983624981,1154
openclaw,gpqa_178,1,0.1714360946762902,2459
openclaw,gpqa_179,1,0.2394297879202122,1326
openclaw,gpqa_18,0,0.03721428352270997,27044
openclaw,gpqa_180,1,0.1265123593014251,1176
openclaw,gpqa_181,1,0.13666204104820473,1865
openclaw,gpqa_182,1,0.17052941472751235,1926
openclaw,gpqa_183,1,0.11419027442280509,1590
openclaw,gpqa_184,1,0.21556458878863133,969
openclaw,gpqa_185,1,0.3617763806654615,3847
openclaw,gpqa_186,1,0.10685700434196416,1297
openclaw,gpqa_187,1,0.1737775959882227,784
openclaw,gpqa_19,1,0.13187373484276074,1330
openclaw,gpqa_190,0,0.16712552422893154,589
openclaw,gpqa_191,1,0.21971133826560343,885
openclaw,gpqa_192,0,0.2525162289754785,301
openclaw,gpqa_193,1,0.12372018676740905,1634
openclaw,gpqa_194,1,0.22267480070921408,1259
openclaw,gpqa_195,1,0.21466260431532677,2713
openclaw,gpqa_196,0,0.03797717157259884,44512
openclaw,gpqa_197,1,0.15181979376520502,1392
openclaw,gpqa_2,0,0.02950367118265829,30053
openclaw,gpqa_20,1,0.33099718910225423,2331
openclaw,gpqa_21,1,0.1869822926273388,1932
openclaw,gpqa_22,0,0.02264138193043987,22527
openclaw,gpqa_23,1,0.259749757404111,1360
openclaw,gpqa_24,0,0.047817816627008305,19438
openclaw,gpqa_25,1,0.155375318684138,1044
openclaw,gpqa_26,1,0.3638895952173819,4404
openclaw,gpqa_27,1,0.32870892078862224,1353
openclaw,gpqa_28,0,0.04494823600057965,37677
openclaw,gpqa_29,1,0.3800583120298214,942
openclaw,gpqa_3,1,0.2569250042933508,1203
openclaw,gpqa_30,1,0.2828276007109793,2801
openclaw,gpqa_31,0,0.33940128445873036,3879
openclaw,gpqa_32,1,0.2508239634604101,1463
openclaw,gpqa_33,1,0.30459327577530104,965
openclaw,gpqa_34,1,0.22185628545615316,1137
openclaw,gpqa_35,1,0.2216196987580817,955
openclaw,gpqa_36,1,0.19862484793739515,1205
openclaw,gpqa_37,1,0.23591765074305976,1190
openclaw,gpqa_38,0,0.02019097343873504,31970
openclaw,gpqa_39,1,0.38149198897827086,959
openclaw,gpqa_4,1,0.17824050757929205,1597
