subdomain,n,directllm_rate,openclaw_rate,opencode_rate,zeroclaw_rate
Condensed Matter Physics,1,1.0,1.0,1.0,1.0
Electromagnetism and Photonics,6,1.0,0.8333333333333334,0.8333333333333334,1.0
Optics and Acoustics,1,1.0,1.0,1.0,1.0
Inorganic Chemistry,1,1.0,1.0,0.0,1.0
High-energy particle physics,14,1.0,1.0,1.0,1.0
Quantum Mechanics,25,1.0,0.68,0.84,1.0
Physics (general),19,0.9473684210526315,0.7894736842105263,0.8947368421052632,0.9473684210526315
Relativistic Mechanics,7,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8571428571428571
Chemistry (general),20,0.85,0.75,0.75,0.8
Astrophysics,13,0.8461538461538461,0.7692307692307693,0.9230769230769231,1.0
Molecular Biology,15,0.7333333333333333,0.6666666666666666,0.7333333333333333,0.6
Organic Chemistry,72,0.6388888888888888,0.4861111111111111,0.5694444444444444,0.6615384615384615
Genetics,4,0.5,0.5,0.25,0.25
