harness,task_id,correct,mean_entropy,n_tokens,wall_time_sec,traj_length,logprob_mean_entropy,logprob_n_tokens
directllm,hle_1,0,0.09459844074791345,32768,1327.9259288311005,3,nan,0
directllm,hle_1008,0,0.4029806452933148,12789,438.2504782676697,3,nan,0
directllm,hle_1009,0,0.606697727645359,7341,274.06014919281006,3,nan,0
directllm,hle_1012,0,0.4081061770178632,10228,368.6447608470917,3,nan,0
directllm,hle_1019,0,0.5386050785577389,7261,417.6755075454712,3,nan,0
directllm,hle_1021,1,0.27965070736166303,7392,345.17496943473816,3,nan,0
directllm,hle_1022,0,0.43225852539681936,7934,336.988174200058,3,nan,0
directllm,hle_1023,0,0.07624392371701795,32768,1103.1921577453613,3,nan,0
directllm,hle_1024,0,0.48727228934926575,4956,192.13363409042358,3,nan,0
directllm,hle_1031,0,0.4143507046687594,8864,300.3841989040375,3,nan,0
directllm,hle_1038,0,0.4957168258009891,10183,489.9900677204132,3,nan,0
directllm,hle_1045,0,0.19269722217530064,17571,719.8742799758911,3,nan,0
directllm,hle_1046,0,0.23799191737736466,14632,563.8025228977203,3,nan,0
directllm,hle_1047,0,0.2127517927932093,5754,252.4542269706726,3,nan,0
directllm,hle_1048,0,0.2928489865330748,17230,624.2051379680634,3,nan,0
directllm,hle_1049,0,0.2674753842957824,15579,540.717776298523,3,nan,0
directllm,hle_1050,0,0.2278886795582227,11161,377.49889087677,3,nan,0
directllm,hle_1051,1,0.17972644562260084,10861,362.32794737815857,3,nan,0
directllm,hle_1052,0,0.25657828975190405,22869,760.1431221961975,3,nan,0
directllm,hle_1054,0,0.35973736566047404,13185,440.02514719963074,3,nan,0
directllm,hle_1055,0,0.5396185433051371,7500,251.3480908870697,3,nan,0
directllm,hle_1056,0,0.3091168190831145,8923,297.9053919315338,3,nan,0
directllm,hle_1057,0,0.2647909962626517,11669,389.44656443595886,3,nan,0
directllm,hle_1058,0,0.07619814267755536,32768,1165.5262730121613,3,nan,0
directllm,hle_1066,0,0.5749460450956088,6630,219.688223361969,3,nan,0
directllm,hle_1067,0,0.3394591207555791,19599,686.617253780365,3,nan,0
directllm,hle_1070,1,0.47169439306615724,9962,328.8081340789795,3,nan,0
directllm,hle_1071,0,0.26884008866992415,13008,434.1896724700928,3,nan,0
directllm,hle_1073,0,0.027094409212383184,32768,1056.002647638321,3,nan,0
