benchmark,harness,outcome,action,event_count,event_total,event_pct,low_confidence_event_total
AIMEPass4,DirectLLM,failure,Problem Framing,155,19841,0.78,9506
AIMEPass4,DirectLLM,failure,Plan Formation,3742,19841,18.86,9506
AIMEPass4,DirectLLM,failure,Solution Execution,14033,19841,70.73,9506
AIMEPass4,DirectLLM,failure,Tool Grounding,0,19841,0.00,9506
AIMEPass4,DirectLLM,failure,Result Auditing,1891,19841,9.53,9506
AIMEPass4,DirectLLM,failure,Answer Delivery,20,19841,0.10,9506
AIMEPass4,DirectLLM,success,Problem Framing,369,56098,0.66,20855
AIMEPass4,DirectLLM,success,Plan Formation,7195,56098,12.83,20855
AIMEPass4,DirectLLM,success,Solution Execution,42831,56098,76.35,20855
AIMEPass4,DirectLLM,success,Tool Grounding,0,56098,0.00,20855
AIMEPass4,DirectLLM,success,Result Auditing,5498,56098,9.80,20855
AIMEPass4,DirectLLM,success,Answer Delivery,205,56098,0.37,20855
AIMEPass4,OpenClaw,failure,Problem Framing,886,13431,6.60,4524
AIMEPass4,OpenClaw,failure,Plan Formation,1238,13431,9.22,4524
AIMEPass4,OpenClaw,failure,Solution Execution,11003,13431,81.92,4524
AIMEPass4,OpenClaw,failure,Tool Grounding,14,13431,0.10,4524
AIMEPass4,OpenClaw,failure,Result Auditing,282,13431,2.10,4524
AIMEPass4,OpenClaw,failure,Answer Delivery,8,13431,0.06,4524
AIMEPass4,OpenClaw,success,Problem Framing,42,4433,0.95,987
AIMEPass4,OpenClaw,success,Plan Formation,241,4433,5.44,987
AIMEPass4,OpenClaw,success,Solution Execution,3470,4433,78.28,987
AIMEPass4,OpenClaw,success,Tool Grounding,222,4433,5.01,987
AIMEPass4,OpenClaw,success,Result Auditing,361,4433,8.14,987
AIMEPass4,OpenClaw,success,Answer Delivery,97,4433,2.19,987
AIMEPass4,OpenCode,failure,Problem Framing,423,16345,2.59,2861
AIMEPass4,OpenCode,failure,Plan Formation,636,16345,3.89,2861
AIMEPass4,OpenCode,failure,Solution Execution,12676,16345,77.55,2861
AIMEPass4,OpenCode,failure,Tool Grounding,11,16345,0.07,2861
AIMEPass4,OpenCode,failure,Result Auditing,2523,16345,15.44,2861
AIMEPass4,OpenCode,failure,Answer Delivery,76,16345,0.46,2861
AIMEPass4,OpenCode,success,Problem Framing,211,15816,1.33,1405
AIMEPass4,OpenCode,success,Plan Formation,468,15816,2.96,1405
AIMEPass4,OpenCode,success,Solution Execution,12609,15816,79.72,1405
AIMEPass4,OpenCode,success,Tool Grounding,147,15816,0.93,1405
AIMEPass4,OpenCode,success,Result Auditing,2185,15816,13.82,1405
AIMEPass4,OpenCode,success,Answer Delivery,196,15816,1.24,1405
AIMEPass4,OpenCode,unknown,Problem Framing,209,5937,3.52,753
AIMEPass4,OpenCode,unknown,Plan Formation,70,5937,1.18,753
AIMEPass4,OpenCode,unknown,Solution Execution,4412,5937,74.31,753
AIMEPass4,OpenCode,unknown,Tool Grounding,0,5937,0.00,753
AIMEPass4,OpenCode,unknown,Result Auditing,1246,5937,20.99,753
AIMEPass4,OpenCode,unknown,Answer Delivery,0,5937,0.00,753
AIMEPass4,ZeroClaw,failure,Problem Framing,30,3602,0.83,670
AIMEPass4,ZeroClaw,failure,Plan Formation,124,3602,3.44,670
AIMEPass4,ZeroClaw,failure,Solution Execution,2986,3602,82.90,670
AIMEPass4,ZeroClaw,failure,Tool Grounding,0,3602,0.00,670
AIMEPass4,ZeroClaw,failure,Result Auditing,454,3602,12.60,670
AIMEPass4,ZeroClaw,failure,Answer Delivery,8,3602,0.22,670
AIMEPass4,ZeroClaw,success,Problem Framing,109,7760,1.40,1384
AIMEPass4,ZeroClaw,success,Plan Formation,367,7760,4.73,1384
AIMEPass4,ZeroClaw,success,Solution Execution,6440,7760,82.99,1384
AIMEPass4,ZeroClaw,success,Tool Grounding,0,7760,0.00,1384
AIMEPass4,ZeroClaw,success,Result Auditing,754,7760,9.72,1384
AIMEPass4,ZeroClaw,success,Answer Delivery,90,7760,1.16,1384
GPQA,DirectLLM,failure,Problem Framing,212,33434,0.63,17934
GPQA,DirectLLM,failure,Plan Formation,6778,33434,20.27,17934
GPQA,DirectLLM,failure,Solution Execution,23378,33434,69.92,17934
GPQA,DirectLLM,failure,Tool Grounding,0,33434,0.00,17934
GPQA,DirectLLM,failure,Result Auditing,3036,33434,9.08,17934
GPQA,DirectLLM,failure,Answer Delivery,30,33434,0.09,17934
GPQA,DirectLLM,success,Problem Framing,420,33086,1.27,16388
GPQA,DirectLLM,success,Plan Formation,4977,33086,15.04,16388
GPQA,DirectLLM,success,Solution Execution,24587,33086,74.31,16388
GPQA,DirectLLM,success,Tool Grounding,0,33086,0.00,16388
GPQA,DirectLLM,success,Result Auditing,2917,33086,8.82,16388
GPQA,DirectLLM,success,Answer Delivery,185,33086,0.56,16388
GPQA,OpenClaw,failure,Problem Framing,1872,20575,9.10,5074
GPQA,OpenClaw,failure,Plan Formation,585,20575,2.84,5074
GPQA,OpenClaw,failure,Solution Execution,14158,20575,68.81,5074
GPQA,OpenClaw,failure,Tool Grounding,39,20575,0.19,5074
GPQA,OpenClaw,failure,Result Auditing,3889,20575,18.90,5074
GPQA,OpenClaw,failure,Answer Delivery,32,20575,0.16,5074
GPQA,OpenClaw,success,Problem Framing,67,3446,1.94,1296
GPQA,OpenClaw,success,Plan Formation,394,3446,11.43,1296
GPQA,OpenClaw,success,Solution Execution,2400,3446,69.65,1296
GPQA,OpenClaw,success,Tool Grounding,223,3446,6.47,1296
GPQA,OpenClaw,success,Result Auditing,221,3446,6.41,1296
GPQA,OpenClaw,success,Answer Delivery,141,3446,4.09,1296
GPQA,OpenCode,failure,Problem Framing,149,3413,4.37,1067
GPQA,OpenCode,failure,Plan Formation,223,3413,6.53,1067
GPQA,OpenCode,failure,Solution Execution,2383,3413,69.82,1067
GPQA,OpenCode,failure,Tool Grounding,17,3413,0.50,1067
GPQA,OpenCode,failure,Result Auditing,591,3413,17.32,1067
GPQA,OpenCode,failure,Answer Delivery,50,3413,1.46,1067
GPQA,OpenCode,success,Problem Framing,185,7099,2.61,2003
GPQA,OpenCode,success,Plan Formation,575,7099,8.10,2003
GPQA,OpenCode,success,Solution Execution,5505,7099,77.55,2003
GPQA,OpenCode,success,Tool Grounding,138,7099,1.94,2003
GPQA,OpenCode,success,Result Auditing,398,7099,5.61,2003
GPQA,OpenCode,success,Answer Delivery,298,7099,4.20,2003
GPQA,OpenCode,unknown,Problem Framing,0,273,0.00,10
GPQA,OpenCode,unknown,Plan Formation,2,273,0.73,10
GPQA,OpenCode,unknown,Solution Execution,229,273,83.88,10
GPQA,OpenCode,unknown,Tool Grounding,0,273,0.00,10
GPQA,OpenCode,unknown,Result Auditing,42,273,15.38,10
GPQA,OpenCode,unknown,Answer Delivery,0,273,0.00,10
GPQA,ZeroClaw,failure,Problem Framing,46,1440,3.19,556
GPQA,ZeroClaw,failure,Plan Formation,134,1440,9.31,556
GPQA,ZeroClaw,failure,Solution Execution,1060,1440,73.61,556
GPQA,ZeroClaw,failure,Tool Grounding,0,1440,0.00,556
GPQA,ZeroClaw,failure,Result Auditing,168,1440,11.67,556
GPQA,ZeroClaw,failure,Answer Delivery,32,1440,2.22,556
GPQA,ZeroClaw,success,Problem Framing,137,6073,2.26,1698
GPQA,ZeroClaw,success,Plan Formation,487,6073,8.02,1698
GPQA,ZeroClaw,success,Solution Execution,4859,6073,80.01,1698
GPQA,ZeroClaw,success,Tool Grounding,0,6073,0.00,1698
