benchmark,harness,outcome,action,trajectory_count,trajectories_with_action,trajectory_rate_pct,mean_events_per_trajectory
AIMEPass4,DirectLLM,failure,Problem Framing,11,11,100.00,14.091
AIMEPass4,DirectLLM,failure,Plan Formation,11,11,100.00,340.182
AIMEPass4,DirectLLM,failure,Solution Execution,11,11,100.00,1275.727
AIMEPass4,DirectLLM,failure,Tool Grounding,11,0,0.00,0.000
AIMEPass4,DirectLLM,failure,Result Auditing,11,11,100.00,171.909
AIMEPass4,DirectLLM,failure,Answer Delivery,11,11,100.00,1.818
AIMEPass4,DirectLLM,success,Problem Framing,109,88,80.73,3.385
AIMEPass4,DirectLLM,success,Plan Formation,109,109,100.00,66.009
AIMEPass4,DirectLLM,success,Solution Execution,109,109,100.00,392.945
AIMEPass4,DirectLLM,success,Tool Grounding,109,0,0.00,0.000
AIMEPass4,DirectLLM,success,Result Auditing,109,109,100.00,50.440
AIMEPass4,DirectLLM,success,Answer Delivery,109,109,100.00,1.881
AIMEPass4,OpenClaw,failure,Problem Framing,15,12,80.00,59.067
AIMEPass4,OpenClaw,failure,Plan Formation,15,12,80.00,82.533
AIMEPass4,OpenClaw,failure,Solution Execution,15,15,100.00,733.533
AIMEPass4,OpenClaw,failure,Tool Grounding,15,2,13.33,0.933
AIMEPass4,OpenClaw,failure,Result Auditing,15,14,93.33,18.800
AIMEPass4,OpenClaw,failure,Answer Delivery,15,8,53.33,0.533
AIMEPass4,OpenClaw,success,Problem Framing,77,14,18.18,0.545
AIMEPass4,OpenClaw,success,Plan Formation,77,63,81.82,3.130
AIMEPass4,OpenClaw,success,Solution Execution,77,76,98.70,45.065
AIMEPass4,OpenClaw,success,Tool Grounding,77,55,71.43,2.883
AIMEPass4,OpenClaw,success,Result Auditing,77,33,42.86,4.688
AIMEPass4,OpenClaw,success,Answer Delivery,77,77,100.00,1.260
AIMEPass4,OpenCode,failure,Problem Framing,35,27,77.14,12.086
AIMEPass4,OpenCode,failure,Plan Formation,35,32,91.43,18.171
AIMEPass4,OpenCode,failure,Solution Execution,35,35,100.00,362.171
AIMEPass4,OpenCode,failure,Tool Grounding,35,6,17.14,0.314
