benchmark,harness,outcome,action,count,event_total,event_fraction
AIMEPass4,DirectLLM,failure,Answer Delivery,20,19841,0.00100801
AIMEPass4,DirectLLM,failure,Plan Formation,3742,19841,0.18859936
AIMEPass4,DirectLLM,failure,Problem Framing,155,19841,0.00781211
AIMEPass4,DirectLLM,failure,Result Auditing,1891,19841,0.09530770
AIMEPass4,DirectLLM,failure,Solution Execution,14033,19841,0.70727282
AIMEPass4,DirectLLM,success,Answer Delivery,205,56098,0.00365432
AIMEPass4,DirectLLM,success,Plan Formation,7195,56098,0.12825769
AIMEPass4,DirectLLM,success,Problem Framing,369,56098,0.00657777
AIMEPass4,DirectLLM,success,Result Auditing,5498,56098,0.09800706
AIMEPass4,DirectLLM,success,Solution Execution,42831,56098,0.76350316
AIMEPass4,OpenClaw,failure,Answer Delivery,8,13431,0.00059564
AIMEPass4,OpenClaw,failure,Plan Formation,1238,13431,0.09217482
AIMEPass4,OpenClaw,failure,Problem Framing,886,13431,0.06596679
AIMEPass4,OpenClaw,failure,Result Auditing,282,13431,0.02099620
AIMEPass4,OpenClaw,failure,Solution Execution,11003,13431,0.81922418
AIMEPass4,OpenClaw,failure,Tool Grounding,14,13431,0.00104236
AIMEPass4,OpenClaw,success,Answer Delivery,97,4433,0.02188134
AIMEPass4,OpenClaw,success,Plan Formation,241,4433,0.05436499
AIMEPass4,OpenClaw,success,Problem Framing,42,4433,0.00947440
AIMEPass4,OpenClaw,success,Result Auditing,361,4433,0.08143469
AIMEPass4,OpenClaw,success,Solution Execution,3470,4433,0.78276562
AIMEPass4,OpenClaw,success,Tool Grounding,222,4433,0.05007895
AIMEPass4,OpenCode,failure,Answer Delivery,76,16345,0.00464974
AIMEPass4,OpenCode,failure,Plan Formation,636,16345,0.03891098
AIMEPass4,OpenCode,failure,Problem Framing,423,16345,0.02587947
AIMEPass4,OpenCode,failure,Result Auditing,2523,16345,0.15435913
AIMEPass4,OpenCode,failure,Solution Execution,12676,16345,0.77552768
AIMEPass4,OpenCode,failure,Tool Grounding,11,16345,0.00067299
AIMEPass4,OpenCode,success,Answer Delivery,196,15816,0.01239251
AIMEPass4,OpenCode,success,Plan Formation,468,15816,0.02959029
AIMEPass4,OpenCode,success,Problem Framing,211,15816,0.01334092
AIMEPass4,OpenCode,success,Result Auditing,2185,15816,0.13815124
AIMEPass4,OpenCode,success,Solution Execution,12609,15816,0.79723065
AIMEPass4,OpenCode,success,Tool Grounding,147,15816,0.00929439
AIMEPass4,OpenCode,unknown,Plan Formation,70,5937,0.01179047
AIMEPass4,OpenCode,unknown,Problem Framing,209,5937,0.03520296
AIMEPass4,OpenCode,unknown,Result Auditing,1246,5937,0.20987030
AIMEPass4,OpenCode,unknown,Solution Execution,4412,5937,0.74313626
AIMEPass4,ZeroClaw,failure,Answer Delivery,8,3602,0.00222099
AIMEPass4,ZeroClaw,failure,Plan Formation,124,3602,0.03442532
AIMEPass4,ZeroClaw,failure,Problem Framing,30,3602,0.00832871
AIMEPass4,ZeroClaw,failure,Result Auditing,454,3602,0.12604109
AIMEPass4,ZeroClaw,failure,Solution Execution,2986,3602,0.82898390
AIMEPass4,ZeroClaw,success,Answer Delivery,90,7760,0.01159794
AIMEPass4,ZeroClaw,success,Plan Formation,367,7760,0.04729381
AIMEPass4,ZeroClaw,success,Problem Framing,109,7760,0.01404639
AIMEPass4,ZeroClaw,success,Result Auditing,754,7760,0.09716495
AIMEPass4,ZeroClaw,success,Solution Execution,6440,7760,0.82989691
GPQA,DirectLLM,failure,Answer Delivery,30,33434,0.00089729
GPQA,DirectLLM,failure,Plan Formation,6778,33434,0.20272776
GPQA,DirectLLM,failure,Problem Framing,212,33434,0.00634085
GPQA,DirectLLM,failure,Result Auditing,3036,33434,0.09080577
