benchmark,harness,outcome,metric,trajectory_records,missing,count,mean,median,std,min,p25,p75,max
AIMEPass4,DirectLLM,failure,mean_entropy,11,0,11,0.314394,0.298862,0.048555,0.254946,0.273770,0.360670,0.393469
AIMEPass4,DirectLLM,failure,max_entropy,11,0,11,2.748563,2.758008,0.041523,2.681751,2.715082,2.765975,2.838161
AIMEPass4,DirectLLM,failure,p50_entropy,11,0,11,0.006641,0.002750,0.007922,0.000527,0.001575,0.009117,0.027902
AIMEPass4,DirectLLM,failure,p90_entropy,11,0,11,1.127559,1.096274,0.133323,0.955306,1.011859,1.259938,1.328363
AIMEPass4,DirectLLM,failure,n_tokens,11,0,11,47113.363636,46022.000000,8601.689372,35887.000000,38850.000000,55986.500000,59371.000000
AIMEPass4,DirectLLM,failure,wall_time_sec,11,0,11,1869.924228,1888.223601,376.740823,1186.389437,1754.221959,2012.369898,2704.738380
AIMEPass4,DirectLLM,failure,action_event_count,11,0,11,1803.727273,1780.000000,570.157250,971.000000,1348.000000,2146.500000,2852.000000
AIMEPass4,DirectLLM,failure,tool_call_count,11,0,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AIMEPass4,DirectLLM,success,mean_entropy,109,0,109,0.286259,0.277740,0.047700,0.162976,0.258122,0.312358,0.422140
AIMEPass4,DirectLLM,success,max_entropy,109,0,109,2.706331,2.705747,0.068423,2.478137,2.669736,2.749376,2.889479
AIMEPass4,DirectLLM,success,p50_entropy,109,0,109,0.003913,0.000894,0.008335,0.000056,0.000420,0.002885,0.054781
AIMEPass4,DirectLLM,success,p90_entropy,109,0,109,1.032905,1.017678,0.135233,0.675927,0.954405,1.123291,1.369294
AIMEPass4,DirectLLM,success,n_tokens,109,0,109,20085.027523,19796.000000,6524.624843,6860.000000,16054.000000,23760.000000,52148.000000
AIMEPass4,DirectLLM,success,wall_time_sec,109,0,109,833.277449,760.418785,353.313093,289.965733,573.417423,1001.800168,2292.873356
AIMEPass4,DirectLLM,success,action_event_count,109,0,109,514.660550,467.000000,348.822797,70.000000,255.000000,685.000000,2529.000000
AIMEPass4,DirectLLM,success,tool_call_count,109,0,109,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AIMEPass4,OpenClaw,failure,mean_entropy,15,0,15,0.108959,0.072373,0.135255,0.002669,0.005089,0.138359,0.432303
AIMEPass4,OpenClaw,failure,max_entropy,15,0,15,2.434423,2.460833,0.175000,2.050007,2.360054,2.550572,2.752806
AIMEPass4,OpenClaw,failure,p50_entropy,15,0,15,0.013092,0.000403,0.032663,0.000188,0.000234,0.000785,0.111940
AIMEPass4,OpenClaw,failure,p90_entropy,15,0,15,0.373062,0.192830,0.437785,0.000641,0.001383,0.591910,1.297167
AIMEPass4,OpenClaw,failure,n_tokens,15,0,15,64169.066667,25175.000000,57522.232957,3588.000000,10080.000000,131072.000000,131072.000000
AIMEPass4,OpenClaw,failure,wall_time_sec,15,0,15,4111.434973,6551.281135,3346.518865,163.080574,584.403110,6725.691330,9310.730834
AIMEPass4,OpenClaw,failure,action_event_count,15,0,15,895.400000,404.000000,981.159233,4.000000,103.000000,1289.000000,3281.000000
AIMEPass4,OpenClaw,failure,tool_call_count,15,0,15,0.866667,0.000000,2.985893,0.000000,0.000000,0.000000,12.000000
AIMEPass4,OpenClaw,success,mean_entropy,77,0,77,0.163730,0.159361,0.056519,0.068486,0.115805,0.186678,0.316453
AIMEPass4,OpenClaw,success,max_entropy,77,0,77,2.270531,2.297382,0.198435,1.773266,2.173313,2.409800,2.603014
AIMEPass4,OpenClaw,success,p50_entropy,77,0,77,0.001190,0.000580,0.002159,0.000163,0.000281,0.001075,0.014149
AIMEPass4,OpenClaw,success,p90_entropy,77,0,77,0.654632,0.664020,0.195093,0.159497,0.505939,0.750556,1.120448
AIMEPass4,OpenClaw,success,n_tokens,77,0,77,4127.922078,2308.000000,4137.740028,1245.000000,1789.000000,4209.000000,18926.000000
AIMEPass4,OpenClaw,success,wall_time_sec,77,0,77,310.394728,185.649561,323.249793,67.345566,129.805129,310.023478,1788.895127
AIMEPass4,OpenClaw,success,action_event_count,77,0,77,57.571429,16.000000,102.708442,5.000000,12.000000,34.000000,487.000000
AIMEPass4,OpenClaw,success,tool_call_count,77,0,77,2.571429,2.000000,2.907351,0.000000,0.000000,4.000000,21.000000
AIMEPass4,OpenClaw,unknown,mean_entropy,28,1,27,0.007811,0.006763,0.003738,0.002966,0.005669,0.008493,0.019409
AIMEPass4,OpenClaw,unknown,max_entropy,28,1,27,2.444508,2.481180,0.186939,2.026486,2.334345,2.567416,2.878820
AIMEPass4,OpenClaw,unknown,p50_entropy,28,1,27,0.000515,0.000462,0.000224,0.000208,0.000377,0.000590,0.001093
AIMEPass4,OpenClaw,unknown,p90_entropy,28,1,27,0.001605,0.001509,0.000516,0.000693,0.001297,0.001744,0.003017
AIMEPass4,OpenClaw,unknown,n_tokens,28,1,27,118283.666667,118303.000000,4503.685207,109555.000000,116157.000000,121888.000000,125078.000000
AIMEPass4,OpenClaw,unknown,wall_time_sec,28,0,28,7270.919829,7279.903100,79.256660,6974.241309,7239.480556,7308.056477,7399.119626
AIMEPass4,OpenClaw,unknown,action_event_count,28,0,28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AIMEPass4,OpenClaw,unknown,tool_call_count,28,0,28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AIMEPass4,OpenCode,failure,mean_entropy,35,0,35,0.235899,0.247474,0.136971,0.006236,0.164964,0.315253,0.547561
AIMEPass4,OpenCode,failure,max_entropy,35,0,35,2.614553,2.662748,0.193071,1.956927,2.551731,2.745943,2.876299
AIMEPass4,OpenCode,failure,p50_entropy,35,0,35,0.025864,0.007631,0.054244,0.000313,0.000720,0.019796,0.276261
AIMEPass4,OpenCode,failure,p90_entropy,35,0,35,0.806762,0.881123,0.454512,0.000987,0.668910,1.102706,1.532535
AIMEPass4,OpenCode,failure,n_tokens,35,0,35,31404.914286,13792.000000,40453.370688,336.000000,5807.500000,33153.000000,131072.000000
AIMEPass4,OpenCode,failure,wall_time_sec,35,0,35,2400.610500,499.232507,3311.229988,45.263970,225.150674,3993.766548,9308.851873
AIMEPass4,OpenCode,failure,action_event_count,35,0,35,467.000000,250.000000,494.789421,17.000000,139.000000,671.000000,2296.000000
