benchmark,harness,source_id,source_path,tasks_path,task_records
GPQA,DirectLLM,gpqa_directllm_phase9,results/phase9_directllm_gpqa_diamond_qwen35_27b_logprobs/phase9_directllm_gpqa_diamond_qwen35_27b_logprobs,results/phase9_directllm_gpqa_diamond_qwen35_27b_logprobs/phase9_directllm_gpqa_diamond_qwen35_27b_logprobs/tasks,198
GPQA,OpenClaw,gpqa_openclaw_v2,results/full_gpqa_v2_openclaw_qwen35_27b_logprobs,results/full_gpqa_v2_openclaw_qwen35_27b_logprobs/tasks,198
GPQA,OpenCode,gpqa_opencode_v2,results/full_gpqa_v2_opencode_qwen35_27b_logprobs,results/full_gpqa_v2_opencode_qwen35_27b_logprobs/tasks,198
GPQA,ZeroClaw,gpqa_zeroclaw_v2,results/full_gpqa_v2_zeroclaw_qwen35_27b_logprobs,results/full_gpqa_v2_zeroclaw_qwen35_27b_logprobs/tasks,198
HLE,DirectLLM,hle_directllm_hf_20260423,results/hf-alphadiana-benchmark-results/full_run/20260423-hle-directllm-qwen35_27b-v01/results/20260423-hle-directllm-qwen35_27b-v01,results/hf-alphadiana-benchmark-results/full_run/20260423-hle-directllm-qwen35_27b-v01/results/20260423-hle-directllm-qwen35_27b-v01/tasks,591
HLE,OpenClaw,hle_openclaw_merged,results/quick_260430_hle_openclaw_qwen35_27b_merged,results/quick_260430_hle_openclaw_qwen35_27b_merged/tasks,591
HLE,OpenCode,hle_opencode_20260426,/path/to/xxx/alphadiana-results/20260426-hle-opencode-qwen35_27b-v01,/path/to/xxx/alphadiana-results/20260426-hle-opencode-qwen35_27b-v01/tasks,591
HLE,ZeroClaw,hle_zeroclaw_20260426,/path/to/xxx/alphadiana-results/20260426-hle-zeroclaw-qwen35_27b-v01,/path/to/xxx/alphadiana-results/20260426-hle-zeroclaw-qwen35_27b-v01/tasks,591
AIMEPass4,DirectLLM,aime_pass4_directllm,/path/to/xxx/alphadiana_results/full_20260423_qwen35_27b_aime2026_directllm_r1_pass4,/path/to/xxx/alphadiana_results/full_20260423_qwen35_27b_aime2026_directllm_r1_pass4/tasks,120
AIMEPass4,OpenClaw,aime_pass4_openclaw,/path/to/xxx/alphadiana_offload/422_full/results/repair_20260502_aime2026_openclaw_qwen35_27b_pass4_t9300_from_20260428,/path/to/xxx/alphadiana_offload/422_full/results/repair_20260502_aime2026_openclaw_qwen35_27b_pass4_t9300_from_20260428/tasks,120
AIMEPass4,OpenCode,aime_pass4_opencode,/path/to/xxx/alphadiana_offload/422_full/results/repair_20260502_aime2026_opencode_qwen35_27b_pass4_t9300_from_20260425,/path/to/xxx/alphadiana_offload/422_full/results/repair_20260502_aime2026_opencode_qwen35_27b_pass4_t9300_from_20260425/tasks,120
AIMEPass4,ZeroClaw,aime_pass4_zeroclaw,/path/to/xxx/alphadiana_offload/422_full/results/repair_20260502_aime2026_zeroclaw_qwen35_27b_pass4_t9300_from_20260428,/path/to/xxx/alphadiana_offload/422_full/results/repair_20260502_aime2026_zeroclaw_qwen35_27b_pass4_t9300_from_20260428/tasks,120
