benchmark,harness,outcome,tool_type,count,tool_event_total,tool_event_fraction
AIMEPass4,OpenClaw,failure,python,13,13,1.00000000
AIMEPass4,OpenClaw,success,bash,15,198,0.07575758
AIMEPass4,OpenClaw,success,edit,2,198,0.01010101
AIMEPass4,OpenClaw,success,python,153,198,0.77272727
AIMEPass4,OpenClaw,success,read,1,198,0.00505051
AIMEPass4,OpenClaw,success,search,2,198,0.01010101
AIMEPass4,OpenClaw,success,tool,2,198,0.01010101
AIMEPass4,OpenClaw,success,write,23,198,0.11616162
AIMEPass4,OpenCode,failure,tool,11,11,1.00000000
AIMEPass4,OpenCode,success,tool,147,147,1.00000000
GPQA,OpenClaw,failure,bash,2,47,0.04255319
GPQA,OpenClaw,failure,python,10,47,0.21276596
GPQA,OpenClaw,failure,search,2,47,0.04255319
GPQA,OpenClaw,failure,tool,1,47,0.02127660
GPQA,OpenClaw,failure,web_fetch,29,47,0.61702128
GPQA,OpenClaw,failure,write,3,47,0.06382979
GPQA,OpenClaw,success,bash,20,179,0.11173184
GPQA,OpenClaw,success,python,113,179,0.63128492
GPQA,OpenClaw,success,tool,12,179,0.06703911
GPQA,OpenClaw,success,web_fetch,29,179,0.16201117
GPQA,OpenClaw,success,write,5,179,0.02793296
GPQA,OpenCode,failure,bash,1,19,0.05263158
GPQA,OpenCode,failure,python,10,19,0.52631579
GPQA,OpenCode,failure,web_fetch,8,19,0.42105263
GPQA,OpenCode,success,bash,14,141,0.09929078
GPQA,OpenCode,success,invalid,1,141,0.00709220
GPQA,OpenCode,success,python,121,141,0.85815603
GPQA,OpenCode,success,read,2,141,0.01418440
GPQA,OpenCode,success,web_fetch,2,141,0.01418440
GPQA,OpenCode,success,write,1,141,0.00709220
HLE,OpenClaw,failure,bash,313,5553,0.05636593
HLE,OpenClaw,failure,edit,2,5553,0.00036017
HLE,OpenClaw,failure,python,96,5553,0.01728795
HLE,OpenClaw,failure,read,1,5553,0.00018008
HLE,OpenClaw,failure,search,291,5553,0.05240411
HLE,OpenClaw,failure,tool,86,5553,0.01548712
HLE,OpenClaw,failure,web_fetch,4739,5553,0.85341257
HLE,OpenClaw,failure,write,25,5553,0.00450207
HLE,OpenClaw,success,python,26,252,0.10317460
HLE,OpenClaw,success,read,2,252,0.00793651
HLE,OpenClaw,success,search,31,252,0.12301587
HLE,OpenClaw,success,tool,4,252,0.01587302
HLE,OpenClaw,success,web_fetch,183,252,0.72619048
HLE,OpenClaw,success,write,6,252,0.02380952
HLE,OpenClaw,unknown,bash,1,65,0.01538462
HLE,OpenClaw,unknown,read,1,65,0.01538462
HLE,OpenClaw,unknown,search,2,65,0.03076923
HLE,OpenClaw,unknown,tool,2,65,0.03076923
HLE,OpenClaw,unknown,web_fetch,59,65,0.90769231
HLE,OpenCode,failure,bash,697,1866,0.37352626
HLE,OpenCode,failure,image,2,1866,0.00107181
HLE,OpenCode,failure,invalid,7,1866,0.00375134
HLE,OpenCode,failure,python,106,1866,0.05680600
HLE,OpenCode,failure,read,7,1866,0.00375134
HLE,OpenCode,failure,search,144,1866,0.07717042
HLE,OpenCode,failure,web_fetch,898,1866,0.48124330
HLE,OpenCode,failure,write,5,1866,0.00267953
HLE,OpenCode,success,bash,17,131,0.12977099
HLE,OpenCode,success,invalid,1,131,0.00763359
HLE,OpenCode,success,python,36,131,0.27480916
HLE,OpenCode,success,search,43,131,0.32824427
HLE,OpenCode,success,web_fetch,33,131,0.25190840
HLE,OpenCode,success,write,1,131,0.00763359
HLE,OpenCode,unknown,bash,1,4,0.25000000
HLE,OpenCode,unknown,image,1,4,0.25000000
HLE,OpenCode,unknown,python,1,4,0.25000000
HLE,OpenCode,unknown,read,1,4,0.25000000
