benchmark,harness,outcome,from_tool_type,to_tool_type,transition_count,transition_total,transition_fraction
AIMEPass4,OpenClaw,failure,__START__,python,2,15,0.13333333
AIMEPass4,OpenClaw,failure,python,__END__,2,15,0.13333333
AIMEPass4,OpenClaw,failure,python,python,11,15,0.73333333
AIMEPass4,OpenClaw,success,__START__,bash,12,253,0.04743083
AIMEPass4,OpenClaw,success,__START__,python,39,253,0.15415020
AIMEPass4,OpenClaw,success,__START__,search,1,253,0.00395257
AIMEPass4,OpenClaw,success,__START__,tool,1,253,0.00395257
AIMEPass4,OpenClaw,success,__START__,write,2,253,0.00790514
AIMEPass4,OpenClaw,success,bash,bash,1,253,0.00395257
AIMEPass4,OpenClaw,success,bash,python,8,253,0.03162055
AIMEPass4,OpenClaw,success,bash,write,6,253,0.02371542
AIMEPass4,OpenClaw,success,edit,python,1,253,0.00395257
AIMEPass4,OpenClaw,success,edit,write,1,253,0.00395257
AIMEPass4,OpenClaw,success,python,__END__,53,253,0.20948617
AIMEPass4,OpenClaw,success,python,bash,2,253,0.00790514
AIMEPass4,OpenClaw,success,python,edit,1,253,0.00395257
AIMEPass4,OpenClaw,success,python,python,82,253,0.32411067
AIMEPass4,OpenClaw,success,python,read,1,253,0.00395257
AIMEPass4,OpenClaw,success,python,tool,1,253,0.00395257
AIMEPass4,OpenClaw,success,python,write,13,253,0.05138340
AIMEPass4,OpenClaw,success,read,edit,1,253,0.00395257
AIMEPass4,OpenClaw,success,search,python,1,253,0.00395257
AIMEPass4,OpenClaw,success,search,search,1,253,0.00395257
AIMEPass4,OpenClaw,success,tool,__END__,1,253,0.00395257
AIMEPass4,OpenClaw,success,tool,python,1,253,0.00395257
AIMEPass4,OpenClaw,success,write,__END__,1,253,0.00395257
AIMEPass4,OpenClaw,success,write,python,21,253,0.08300395
AIMEPass4,OpenClaw,success,write,write,1,253,0.00395257
AIMEPass4,OpenCode,failure,__START__,tool,6,17,0.35294118
AIMEPass4,OpenCode,failure,tool,__END__,6,17,0.35294118
AIMEPass4,OpenCode,failure,tool,tool,5,17,0.29411765
AIMEPass4,OpenCode,success,__START__,tool,54,201,0.26865672
AIMEPass4,OpenCode,success,tool,__END__,54,201,0.26865672
AIMEPass4,OpenCode,success,tool,tool,93,201,0.46268657
GPQA,OpenClaw,failure,__START__,bash,1,60,0.01666667
GPQA,OpenClaw,failure,__START__,python,7,60,0.11666667
GPQA,OpenClaw,failure,__START__,search,1,60,0.01666667
GPQA,OpenClaw,failure,__START__,web_fetch,3,60,0.05000000
GPQA,OpenClaw,failure,__START__,write,1,60,0.01666667
GPQA,OpenClaw,failure,bash,__END__,1,60,0.01666667
GPQA,OpenClaw,failure,bash,bash,1,60,0.01666667
GPQA,OpenClaw,failure,python,__END__,6,60,0.10000000
GPQA,OpenClaw,failure,python,python,3,60,0.05000000
GPQA,OpenClaw,failure,python,tool,1,60,0.01666667
GPQA,OpenClaw,failure,search,search,1,60,0.01666667
GPQA,OpenClaw,failure,search,web_fetch,1,60,0.01666667
GPQA,OpenClaw,failure,tool,__END__,1,60,0.01666667
GPQA,OpenClaw,failure,web_fetch,__END__,4,60,0.06666667
GPQA,OpenClaw,failure,web_fetch,web_fetch,25,60,0.41666667
GPQA,OpenClaw,failure,write,__END__,1,60,0.01666667
GPQA,OpenClaw,failure,write,write,2,60,0.03333333
GPQA,OpenClaw,success,__START__,bash,3,252,0.01190476
GPQA,OpenClaw,success,__START__,python,55,252,0.21825397
GPQA,OpenClaw,success,__START__,tool,8,252,0.03174603
GPQA,OpenClaw,success,__START__,web_fetch,5,252,0.01984127
GPQA,OpenClaw,success,__START__,write,2,252,0.00793651
GPQA,OpenClaw,success,bash,__END__,2,252,0.00793651
GPQA,OpenClaw,success,bash,bash,10,252,0.03968254
GPQA,OpenClaw,success,bash,python,3,252,0.01190476
GPQA,OpenClaw,success,bash,tool,2,252,0.00793651
GPQA,OpenClaw,success,bash,web_fetch,2,252,0.00793651
GPQA,OpenClaw,success,bash,write,1,252,0.00396825
GPQA,OpenClaw,success,python,__END__,66,252,0.26190476
GPQA,OpenClaw,success,python,bash,2,252,0.00793651
GPQA,OpenClaw,success,python,python,45,252,0.17857143
GPQA,OpenClaw,success,tool,__END__,1,252,0.00396825
GPQA,OpenClaw,success,tool,bash,1,252,0.00396825
GPQA,OpenClaw,success,tool,python,8,252,0.03174603
GPQA,OpenClaw,success,tool,tool,1,252,0.00396825
GPQA,OpenClaw,success,tool,web_fetch,1,252,0.00396825
GPQA,OpenClaw,success,web_fetch,__END__,3,252,0.01190476
GPQA,OpenClaw,success,web_fetch,bash,4,252,0.01587302
GPQA,OpenClaw,success,web_fetch,tool,1,252,0.00396825
GPQA,OpenClaw,success,web_fetch,web_fetch,21,252,0.08333333
GPQA,OpenClaw,success,write,__END__,1,252,0.00396825
GPQA,OpenClaw,success,write,python,2,252,0.00793651
GPQA,OpenClaw,success,write,write,2,252,0.00793651
GPQA,OpenCode,failure,__START__,python,5,27,0.18518519
GPQA,OpenCode,failure,__START__,web_fetch,3,27,0.11111111
GPQA,OpenCode,failure,bash,__END__,1,27,0.03703704
GPQA,OpenCode,failure,python,__END__,5,27,0.18518519
GPQA,OpenCode,failure,python,bash,1,27,0.03703704
GPQA,OpenCode,failure,python,python,4,27,0.14814815
GPQA,OpenCode,failure,web_fetch,__END__,2,27,0.07407407
GPQA,OpenCode,failure,web_fetch,python,1,27,0.03703704
GPQA,OpenCode,failure,web_fetch,web_fetch,5,27,0.18518519
GPQA,OpenCode,success,__START__,bash,7,221,0.03167421
GPQA,OpenCode,success,__START__,python,70,221,0.31674208
GPQA,OpenCode,success,__START__,read,2,221,0.00904977
GPQA,OpenCode,success,__START__,web_fetch,1,221,0.00452489
GPQA,OpenCode,success,bash,__END__,2,221,0.00904977
GPQA,OpenCode,success,bash,bash,4,221,0.01809955
GPQA,OpenCode,success,bash,python,8,221,0.03619910
GPQA,OpenCode,success,invalid,write,1,221,0.00452489
GPQA,OpenCode,success,python,__END__,76,221,0.34389140
GPQA,OpenCode,success,python,bash,3,221,0.01357466
GPQA,OpenCode,success,python,invalid,1,221,0.00452489
GPQA,OpenCode,success,python,python,41,221,0.18552036
GPQA,OpenCode,success,read,__END__,2,221,0.00904977
GPQA,OpenCode,success,web_fetch,python,1,221,0.00452489
GPQA,OpenCode,success,web_fetch,web_fetch,1,221,0.00452489
GPQA,OpenCode,success,write,python,1,221,0.00452489
HLE,OpenClaw,failure,__START__,bash,10,5718,0.00174886
HLE,OpenClaw,failure,__START__,python,20,5718,0.00349773
HLE,OpenClaw,failure,__START__,search,9,5718,0.00157398
HLE,OpenClaw,failure,__START__,web_fetch,118,5718,0.02063659
HLE,OpenClaw,failure,__START__,write,8,5718,0.00139909
HLE,OpenClaw,failure,bash,__END__,11,5718,0.00192375
HLE,OpenClaw,failure,bash,bash,246,5718,0.04302204
HLE,OpenClaw,failure,bash,python,10,5718,0.00174886
HLE,OpenClaw,failure,bash,tool,40,5718,0.00699545
HLE,OpenClaw,failure,bash,web_fetch,3,5718,0.00052466
HLE,OpenClaw,failure,bash,write,3,5718,0.00052466
HLE,OpenClaw,failure,edit,edit,1,5718,0.00017489
HLE,OpenClaw,failure,edit,write,1,5718,0.00017489
HLE,OpenClaw,failure,python,__END__,25,5718,0.00437216
HLE,OpenClaw,failure,python,bash,7,5718,0.00122420
HLE,OpenClaw,failure,python,edit,1,5718,0.00017489
HLE,OpenClaw,failure,python,python,48,5718,0.00839454
HLE,OpenClaw,failure,python,search,1,5718,0.00017489
HLE,OpenClaw,failure,python,tool,6,5718,0.00104932
HLE,OpenClaw,failure,python,web_fetch,1,5718,0.00017489
HLE,OpenClaw,failure,python,write,7,5718,0.00122420
HLE,OpenClaw,failure,read,bash,1,5718,0.00017489
HLE,OpenClaw,failure,search,__END__,4,5718,0.00069955
HLE,OpenClaw,failure,search,python,2,5718,0.00034977
HLE,OpenClaw,failure,search,search,216,5718,0.03777545
HLE,OpenClaw,failure,search,web_fetch,69,5718,0.01206716
HLE,OpenClaw,failure,tool,__END__,6,5718,0.00104932
HLE,OpenClaw,failure,tool,bash,31,5718,0.00542148
HLE,OpenClaw,failure,tool,python,1,5718,0.00017489
HLE,OpenClaw,failure,tool,read,1,5718,0.00017489
HLE,OpenClaw,failure,tool,search,1,5718,0.00017489
HLE,OpenClaw,failure,tool,tool,40,5718,0.00699545
HLE,OpenClaw,failure,tool,web_fetch,5,5718,0.00087443
HLE,OpenClaw,failure,tool,write,1,5718,0.00017489
HLE,OpenClaw,failure,web_fetch,__END__,114,5718,0.01993704
HLE,OpenClaw,failure,web_fetch,bash,17,5718,0.00297307
HLE,OpenClaw,failure,web_fetch,python,1,5718,0.00017489
HLE,OpenClaw,failure,web_fetch,search,64,5718,0.01119272
HLE,OpenClaw,failure,web_fetch,web_fetch,4543,5718,0.79450857
HLE,OpenClaw,failure,write,__END__,5,5718,0.00087443
HLE,OpenClaw,failure,write,bash,1,5718,0.00017489
HLE,OpenClaw,failure,write,python,14,5718,0.00244841
HLE,OpenClaw,failure,write,write,5,5718,0.00087443
HLE,OpenClaw,success,__START__,python,6,281,0.02135231
HLE,OpenClaw,success,__START__,read,2,281,0.00711744
HLE,OpenClaw,success,__START__,search,3,281,0.01067616
HLE,OpenClaw,success,__START__,web_fetch,17,281,0.06049822
HLE,OpenClaw,success,__START__,write,1,281,0.00355872
HLE,OpenClaw,success,python,__END__,6,281,0.02135231
HLE,OpenClaw,success,python,python,12,281,0.04270463
HLE,OpenClaw,success,python,search,3,281,0.01067616
HLE,OpenClaw,success,python,tool,1,281,0.00355872
HLE,OpenClaw,success,python,web_fetch,1,281,0.00355872
HLE,OpenClaw,success,python,write,3,281,0.01067616
HLE,OpenClaw,success,read,__END__,2,281,0.00711744
HLE,OpenClaw,success,search,__END__,2,281,0.00711744
HLE,OpenClaw,success,search,python,1,281,0.00355872
HLE,OpenClaw,success,search,search,18,281,0.06405694
HLE,OpenClaw,success,search,web_fetch,10,281,0.03558719
HLE,OpenClaw,success,tool,tool,3,281,0.01067616
HLE,OpenClaw,success,tool,write,1,281,0.00355872
HLE,OpenClaw,success,web_fetch,__END__,19,281,0.06761566
HLE,OpenClaw,success,web_fetch,python,2,281,0.00711744
HLE,OpenClaw,success,web_fetch,search,7,281,0.02491103
HLE,OpenClaw,success,web_fetch,web_fetch,155,281,0.55160142
HLE,OpenClaw,success,write,python,5,281,0.01779359
HLE,OpenClaw,success,write,write,1,281,0.00355872
HLE,OpenClaw,unknown,__START__,search,1,67,0.01492537
HLE,OpenClaw,unknown,__START__,web_fetch,1,67,0.01492537
HLE,OpenClaw,unknown,bash,tool,1,67,0.01492537
HLE,OpenClaw,unknown,read,__END__,1,67,0.01492537
HLE,OpenClaw,unknown,search,web_fetch,2,67,0.02985075
HLE,OpenClaw,unknown,tool,read,1,67,0.01492537
HLE,OpenClaw,unknown,tool,tool,1,67,0.01492537
HLE,OpenClaw,unknown,web_fetch,__END__,1,67,0.01492537
HLE,OpenClaw,unknown,web_fetch,bash,1,67,0.01492537
HLE,OpenClaw,unknown,web_fetch,search,1,67,0.01492537
HLE,OpenClaw,unknown,web_fetch,web_fetch,56,67,0.83582090
HLE,OpenCode,failure,__START__,bash,26,1990,0.01306533
HLE,OpenCode,failure,__START__,image,1,1990,0.00050251
HLE,OpenCode,failure,__START__,invalid,2,1990,0.00100503
HLE,OpenCode,failure,__START__,python,28,1990,0.01407035
HLE,OpenCode,failure,__START__,read,3,1990,0.00150754
HLE,OpenCode,failure,__START__,search,5,1990,0.00251256
HLE,OpenCode,failure,__START__,web_fetch,57,1990,0.02864322
HLE,OpenCode,failure,__START__,write,2,1990,0.00100503
HLE,OpenCode,failure,bash,__END__,33,1990,0.01658291
HLE,OpenCode,failure,bash,bash,584,1990,0.29346734
HLE,OpenCode,failure,bash,python,4,1990,0.00201005
HLE,OpenCode,failure,bash,read,2,1990,0.00100503
HLE,OpenCode,failure,bash,search,10,1990,0.00502513
HLE,OpenCode,failure,bash,web_fetch,62,1990,0.03115578
HLE,OpenCode,failure,bash,write,2,1990,0.00100503
HLE,OpenCode,failure,image,image,1,1990,0.00050251
HLE,OpenCode,failure,image,python,1,1990,0.00050251
HLE,OpenCode,failure,invalid,__END__,1,1990,0.00050251
HLE,OpenCode,failure,invalid,bash,1,1990,0.00050251
HLE,OpenCode,failure,invalid,search,1,1990,0.00050251
HLE,OpenCode,failure,invalid,web_fetch,3,1990,0.00150754
HLE,OpenCode,failure,invalid,write,1,1990,0.00050251
HLE,OpenCode,failure,python,__END__,38,1990,0.01909548
HLE,OpenCode,failure,python,bash,3,1990,0.00150754
HLE,OpenCode,failure,python,invalid,1,1990,0.00050251
HLE,OpenCode,failure,python,python,62,1990,0.03115578
HLE,OpenCode,failure,python,search,1,1990,0.00050251
HLE,OpenCode,failure,python,web_fetch,1,1990,0.00050251
HLE,OpenCode,failure,read,__END__,5,1990,0.00251256
HLE,OpenCode,failure,read,bash,1,1990,0.00050251
HLE,OpenCode,failure,read,read,1,1990,0.00050251
HLE,OpenCode,failure,search,__END__,7,1990,0.00351759
HLE,OpenCode,failure,search,bash,12,1990,0.00603015
HLE,OpenCode,failure,search,invalid,1,1990,0.00050251
HLE,OpenCode,failure,search,python,1,1990,0.00050251
HLE,OpenCode,failure,search,search,116,1990,0.05829146
HLE,OpenCode,failure,search,web_fetch,7,1990,0.00351759
HLE,OpenCode,failure,web_fetch,__END__,39,1990,0.01959799
HLE,OpenCode,failure,web_fetch,bash,69,1990,0.03467337
HLE,OpenCode,failure,web_fetch,invalid,3,1990,0.00150754
HLE,OpenCode,failure,web_fetch,python,7,1990,0.00351759
HLE,OpenCode,failure,web_fetch,read,1,1990,0.00050251
HLE,OpenCode,failure,web_fetch,search,11,1990,0.00552764
HLE,OpenCode,failure,web_fetch,web_fetch,768,1990,0.38592965
HLE,OpenCode,failure,write,__END__,1,1990,0.00050251
HLE,OpenCode,failure,write,bash,1,1990,0.00050251
HLE,OpenCode,failure,write,python,3,1990,0.00150754
HLE,OpenCode,success,__START__,bash,7,150,0.04666667
