benchmark,harness,outcome,metric,trajectory_records,missing,count,mean,median,std,min,p25,p75,max
AIMEPass4,DirectLLM,failure,mean_entropy,9,0,9,0.151431,0.153696,0.025057,0.112981,0.138216,0.158271,0.194623
AIMEPass4,DirectLLM,failure,max_entropy,9,0,9,2.440558,2.438686,0.095895,2.312919,2.366496,2.487604,2.633135
AIMEPass4,DirectLLM,failure,p50_entropy,9,0,9,0.000247,0.000158,0.000259,0.000022,0.000132,0.000168,0.000885
AIMEPass4,DirectLLM,failure,p90_entropy,9,0,9,0.629740,0.653288,0.084530,0.458409,0.590765,0.667782,0.749412
AIMEPass4,DirectLLM,failure,n_tokens,9,0,9,15108.777778,14980.000000,2068.065429,11215.000000,14265.000000,15224.000000,19347.000000
AIMEPass4,DirectLLM,failure,wall_time_sec,9,0,9,1363.301742,1272.932467,389.748756,622.541949,1113.728005,1759.799426,1831.676295
AIMEPass4,DirectLLM,failure,action_event_count,9,0,9,28.777778,12.000000,42.102462,5.000000,5.000000,23.000000,143.000000
AIMEPass4,DirectLLM,failure,tool_call_count,9,0,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AIMEPass4,DirectLLM,success,mean_entropy,111,0,111,0.130233,0.127144,0.023467,0.078811,0.111359,0.147095,0.198824
AIMEPass4,DirectLLM,success,max_entropy,111,0,111,2.385143,2.400029,0.152352,1.787305,2.312943,2.476384,2.757128
AIMEPass4,DirectLLM,success,p50_entropy,111,0,111,0.000083,0.000057,0.000109,0.000007,0.000027,0.000090,0.000764
AIMEPass4,DirectLLM,success,p90_entropy,111,0,111,0.548754,0.557036,0.103605,0.261878,0.478392,0.642654,0.747111
AIMEPass4,DirectLLM,success,n_tokens,111,0,111,8036.189189,7987.000000,3146.195445,1671.000000,5944.500000,10111.000000,18352.000000
AIMEPass4,DirectLLM,success,wall_time_sec,111,0,111,816.923863,743.020689,363.586687,148.223676,581.289404,1020.924783,2296.041003
AIMEPass4,DirectLLM,success,action_event_count,111,0,111,12.621622,8.000000,8.571957,3.000000,6.000000,20.000000,34.000000
AIMEPass4,DirectLLM,success,tool_call_count,111,0,111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AIMEPass4,OpenClaw,failure,mean_entropy,3,0,3,0.189118,0.201954,0.030120,0.147526,0.174740,0.209914,0.217875
AIMEPass4,OpenClaw,failure,max_entropy,3,0,3,2.446400,2.415872,0.080098,2.367194,2.391533,2.486003,2.556133
AIMEPass4,OpenClaw,failure,p50_entropy,3,0,3,0.000440,0.000625,0.000263,0.000069,0.000347,0.000626,0.000627
AIMEPass4,OpenClaw,failure,p90_entropy,3,0,3,0.737457,0.752124,0.081185,0.631507,0.691815,0.790432,0.828740
AIMEPass4,OpenClaw,failure,n_tokens,3,0,3,14197.333333,14223.000000,5226.017881,7784.000000,11003.500000,17404.000000,20585.000000
AIMEPass4,OpenClaw,failure,wall_time_sec,3,0,3,480.211691,477.136466,178.842322,262.729279,369.932873,588.952897,700.769329
AIMEPass4,OpenClaw,failure,action_event_count,3,0,3,10.333333,12.000000,3.858612,5.000000,8.500000,13.000000,14.000000
AIMEPass4,OpenClaw,failure,tool_call_count,3,0,3,6.333333,7.000000,1.699673,4.000000,5.500000,7.500000,8.000000
AIMEPass4,OpenClaw,success,mean_entropy,114,0,114,0.134465,0.133136,0.029863,0.083017,0.107334,0.160029,0.205285
AIMEPass4,OpenClaw,success,max_entropy,114,0,114,2.477808,2.490363,0.140647,2.056726,2.415864,2.580930,2.742353
AIMEPass4,OpenClaw,success,p50_entropy,114,0,114,0.000080,0.000046,0.000109,0.000004,0.000024,0.000073,0.000727
AIMEPass4,OpenClaw,success,p90_entropy,114,0,114,0.546079,0.562820,0.128274,0.233196,0.429151,0.652889,0.770961
AIMEPass4,OpenClaw,success,n_tokens,114,0,114,6826.412281,6086.000000,3234.009132,2450.000000,4408.000000,8678.750000,17242.000000
AIMEPass4,OpenClaw,success,wall_time_sec,114,0,114,556.728469,341.574996,496.478760,86.343203,198.679023,861.858824,2267.181468
AIMEPass4,OpenClaw,success,action_event_count,114,0,114,12.140351,9.000000,7.329198,4.000000,7.000000,17.750000,32.000000
AIMEPass4,OpenClaw,success,tool_call_count,114,0,114,1.157895,0.000000,2.617683,0.000000,0.000000,1.000000,16.000000
AIMEPass4,OpenClaw,unknown,mean_entropy,3,0,3,0.077200,0.018204,0.093747,0.003876,0.011040,0.113861,0.209519
AIMEPass4,OpenClaw,unknown,max_entropy,3,0,3,2.408710,2.467606,0.145715,2.208242,2.337924,2.508944,2.550282
AIMEPass4,OpenClaw,unknown,p50_entropy,3,0,3,0.000300,0.000004,0.000420,0.000002,0.000003,0.000449,0.000894
AIMEPass4,OpenClaw,unknown,p90_entropy,3,0,3,0.263512,0.000098,0.372577,0.000022,0.000060,0.395257,0.790416
AIMEPass4,OpenClaw,unknown,n_tokens,3,0,3,98752.333333,133574.000000,55370.387346,20601.000000,77087.500000,137828.000000,142082.000000
AIMEPass4,OpenClaw,unknown,wall_time_sec,3,0,3,3425.100020,4522.027920,1902.755111,748.661117,2635.344518,4763.319472,5004.611024
AIMEPass4,OpenClaw,unknown,action_event_count,3,0,3,11.333333,12.000000,4.109609,6.000000,9.000000,14.000000,16.000000
AIMEPass4,OpenClaw,unknown,tool_call_count,3,0,3,9.666667,11.000000,2.624669,6.000000,8.500000,11.500000,12.000000
AIMEPass4,OpenCode,failure,mean_entropy,3,0,3,0.064950,0.016729,0.079265,0.001422,0.009075,0.096714,0.176699
AIMEPass4,OpenCode,failure,max_entropy,3,0,3,2.367508,2.464812,0.189638,2.102425,2.283619,2.500050,2.535288
AIMEPass4,OpenCode,failure,p50_entropy,3,0,3,0.000094,0.000002,0.000131,0.000002,0.000002,0.000140,0.000279
AIMEPass4,OpenCode,failure,p90_entropy,3,0,3,0.233299,0.000135,0.329813,0.000037,0.000086,0.349930,0.699725
AIMEPass4,OpenCode,failure,n_tokens,3,0,3,102858.666667,131070.000000,47891.255098,35429.000000,83249.500000,136573.500000,142077.000000
AIMEPass4,OpenCode,failure,wall_time_sec,3,0,3,4082.297022,5169.616064,1894.563645,1417.939483,3293.777773,5414.475791,5659.335518
AIMEPass4,OpenCode,failure,action_event_count,3,0,3,11.000000,10.000000,8.602325,1.000000,5.500000,16.000000,22.000000
AIMEPass4,OpenCode,failure,tool_call_count,3,0,3,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000
AIMEPass4,OpenCode,success,mean_entropy,116,0,116,0.119503,0.118570,0.027392,0.071244,0.099388,0.139205,0.189248
AIMEPass4,OpenCode,success,max_entropy,116,0,116,2.326719,2.365211,0.226714,1.764525,2.178707,2.488593,2.742248
AIMEPass4,OpenCode,success,p50_entropy,116,0,116,0.000049,0.000030,0.000066,0.000007,0.000019,0.000054,0.000464
AIMEPass4,OpenCode,success,p90_entropy,116,0,116,0.491883,0.519280,0.137362,0.194936,0.375348,0.604662,0.732950
AIMEPass4,OpenCode,success,n_tokens,116,0,116,5961.655172,4791.500000,4581.094774,684.000000,2995.500000,7670.250000,26355.000000
AIMEPass4,OpenCode,success,wall_time_sec,116,0,116,338.819560,307.974036,230.897638,28.553552,183.986406,406.334840,1333.695718
AIMEPass4,OpenCode,success,action_event_count,116,0,116,18.577586,12.000000,15.891958,4.000000,9.750000,21.000000,82.000000
AIMEPass4,OpenCode,success,tool_call_count,116,0,116,1.043103,0.000000,1.652544,0.000000,0.000000,2.000000,12.000000
AIMEPass4,OpenCode,unknown,mean_entropy,1,0,1,0.069775,0.069775,0.000000,0.069775,0.069775,0.069775,0.069775
AIMEPass4,OpenCode,unknown,max_entropy,1,0,1,2.616860,2.616860,0.000000,2.616860,2.616860,2.616860,2.616860
AIMEPass4,OpenCode,unknown,p50_entropy,1,0,1,0.000003,0.000003,0.000000,0.000003,0.000003,0.000003,0.000003
AIMEPass4,OpenCode,unknown,p90_entropy,1,0,1,0.113204,0.113204,0.000000,0.113204,0.113204,0.113204,0.113204
AIMEPass4,OpenCode,unknown,n_tokens,1,0,1,66365.000000,66365.000000,0.000000,66365.000000,66365.000000,66365.000000,66365.000000
AIMEPass4,OpenCode,unknown,wall_time_sec,1,0,1,2195.439544,2195.439544,0.000000,2195.439544,2195.439544,2195.439544,2195.439544
AIMEPass4,OpenCode,unknown,action_event_count,1,0,1,834.000000,834.000000,0.000000,834.000000,834.000000,834.000000,834.000000
AIMEPass4,OpenCode,unknown,tool_call_count,1,0,1,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000
AIMEPass4,ZeroClaw,failure,mean_entropy,4,0,4,0.177618,0.187288,0.026447,0.134026,0.168103,0.196803,0.201869
AIMEPass4,ZeroClaw,failure,max_entropy,4,0,4,2.607655,2.650241,0.136815,2.390672,2.541648,2.716249,2.739466
AIMEPass4,ZeroClaw,failure,p50_entropy,4,0,4,0.000235,0.000258,0.000091,0.000096,0.000184,0.000308,0.000330
AIMEPass4,ZeroClaw,failure,p90_entropy,4,0,4,0.708253,0.729704,0.078235,0.582814,0.676084,0.761873,0.790793
AIMEPass4,ZeroClaw,failure,n_tokens,4,0,4,48584.750000,48389.000000,21076.897048,20883.000000,33642.000000,63331.750000,76678.000000
AIMEPass4,ZeroClaw,failure,wall_time_sec,4,0,4,3653.466375,2318.131017,3340.010141,670.281897,1674.418907,4297.178485,9307.321570
AIMEPass4,ZeroClaw,failure,action_event_count,4,0,4,94.000000,111.000000,45.902070,17.000000,83.000000,122.000000,137.000000
AIMEPass4,ZeroClaw,failure,tool_call_count,4,0,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AIMEPass4,ZeroClaw,success,mean_entropy,116,0,116,0.134205,0.133072,0.026601,0.072392,0.114837,0.157387,0.185517
AIMEPass4,ZeroClaw,success,max_entropy,116,0,116,2.464974,2.488987,0.140407,1.865829,2.412979,2.550996,2.810378
AIMEPass4,ZeroClaw,success,p50_entropy,116,0,116,0.000058,0.000038,0.000061,0.000007,0.000026,0.000064,0.000427
AIMEPass4,ZeroClaw,success,p90_entropy,116,0,116,0.556222,0.582343,0.116630,0.190872,0.475132,0.658956,0.733272
AIMEPass4,ZeroClaw,success,n_tokens,116,0,116,8376.896552,7255.500000,6800.199516,1823.000000,5359.750000,9558.250000,64352.000000
AIMEPass4,ZeroClaw,success,wall_time_sec,116,0,116,288.158629,244.452579,243.304880,72.722965,174.244594,318.573465,2150.624763
AIMEPass4,ZeroClaw,success,action_event_count,116,0,116,12.672414,9.500000,11.459656,3.000000,6.750000,15.250000,106.000000
AIMEPass4,ZeroClaw,success,tool_call_count,116,0,116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GPQA,DirectLLM,failure,mean_entropy,33,0,33,0.203862,0.217851,0.103251,0.006086,0.177110,0.259348,0.408546
GPQA,DirectLLM,failure,max_entropy,33,0,33,2.497236,2.506818,0.120769,2.198809,2.434125,2.573743,2.810159
GPQA,DirectLLM,failure,p50_entropy,33,0,33,0.005802,0.000557,0.018350,0.000003,0.000138,0.001643,0.100773
GPQA,DirectLLM,failure,p90_entropy,33,0,33,0.744878,0.857564,0.372668,0.000089,0.712246,0.976928,1.240216
GPQA,DirectLLM,failure,n_tokens,33,0,33,21797.606061,9816.000000,29562.235594,1645.000000,7479.000000,12523.000000,97098.000000
GPQA,DirectLLM,failure,wall_time_sec,33,0,33,2187.928479,1140.621912,2907.002203,92.948637,724.855457,1454.414024,9000.181581
GPQA,DirectLLM,failure,action_event_count,33,0,33,7.575758,7.000000,4.285496,0.000000,6.000000,9.000000,17.000000
GPQA,DirectLLM,failure,tool_call_count,33,0,33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GPQA,DirectLLM,success,mean_entropy,165,0,165,0.200356,0.187894,0.074566,0.064856,0.146634,0.249465,0.444472
GPQA,DirectLLM,success,max_entropy,165,0,165,2.541155,2.553097,0.122333,1.911634,2.487027,2.618211,2.803400
GPQA,DirectLLM,success,p50_entropy,165,0,165,0.003625,0.000190,0.012984,0.000006,0.000077,0.001019,0.133689
GPQA,DirectLLM,success,p90_entropy,165,0,165,0.758086,0.748398,0.237394,0.099365,0.630827,0.919521,1.321700
GPQA,DirectLLM,success,n_tokens,165,0,165,6042.672727,5375.000000,3115.033302,1148.000000,3556.000000,8227.000000,16772.000000
GPQA,DirectLLM,success,wall_time_sec,165,0,165,638.578107,528.230144,411.491380,96.062949,343.831834,824.819307,2056.335984
GPQA,DirectLLM,success,action_event_count,165,0,165,8.527273,8.000000,3.559986,4.000000,7.000000,9.000000,24.000000
GPQA,DirectLLM,success,tool_call_count,165,0,165,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GPQA,OpenClaw,failure,mean_entropy,27,0,27,0.263712,0.243411,0.077638,0.131394,0.231165,0.304444,0.467019
GPQA,OpenClaw,failure,max_entropy,27,0,27,2.522128,2.550448,0.142193,2.040370,2.451162,2.592513,2.855285
GPQA,OpenClaw,failure,p50_entropy,27,0,27,0.020560,0.001571,0.047791,0.000024,0.000315,0.012815,0.234787
GPQA,OpenClaw,failure,p90_entropy,27,0,27,0.940744,0.941420,0.173786,0.557992,0.890615,1.046255,1.299929
GPQA,OpenClaw,failure,n_tokens,27,0,27,10124.888889,8194.000000,5892.445699,1866.000000,5782.500000,13799.500000,24214.000000
GPQA,OpenClaw,failure,wall_time_sec,27,0,27,312.063748,281.293078,190.188587,49.378903,177.061248,395.791254,825.069069
GPQA,OpenClaw,failure,action_event_count,27,0,27,11.666667,10.000000,4.626814,5.000000,8.500000,14.000000,25.000000
