benchmark,harness,outcome,tool_type,count,tool_event_total,tool_event_fraction
AIMEPass4,OpenClaw,failure,bash,3,19,0.15789474
AIMEPass4,OpenClaw,failure,edit,2,19,0.10526316
AIMEPass4,OpenClaw,failure,python,6,19,0.31578947
AIMEPass4,OpenClaw,failure,search,1,19,0.05263158
AIMEPass4,OpenClaw,failure,write,7,19,0.36842105
AIMEPass4,OpenClaw,success,bash,14,132,0.10606061
AIMEPass4,OpenClaw,success,edit,9,132,0.06818182
AIMEPass4,OpenClaw,success,python,81,132,0.61363636
AIMEPass4,OpenClaw,success,tool,2,132,0.01515152
AIMEPass4,OpenClaw,success,write,26,132,0.19696970
AIMEPass4,OpenClaw,unknown,bash,5,29,0.17241379
AIMEPass4,OpenClaw,unknown,edit,2,29,0.06896552
AIMEPass4,OpenClaw,unknown,python,10,29,0.34482759
AIMEPass4,OpenClaw,unknown,search,1,29,0.03448276
AIMEPass4,OpenClaw,unknown,tool,2,29,0.06896552
AIMEPass4,OpenClaw,unknown,write,9,29,0.31034483
AIMEPass4,OpenCode,failure,bash,18,36,0.50000000
AIMEPass4,OpenCode,failure,python,18,36,0.50000000
AIMEPass4,OpenCode,success,bash,10,121,0.08264463
AIMEPass4,OpenCode,success,python,90,121,0.74380165
AIMEPass4,OpenCode,success,tool,17,121,0.14049587
AIMEPass4,OpenCode,success,write,4,121,0.03305785
AIMEPass4,OpenCode,unknown,python,4,4,1.00000000
GPQA,OpenClaw,failure,bash,37,90,0.41111111
GPQA,OpenClaw,failure,python,16,90,0.17777778
GPQA,OpenClaw,failure,search,14,90,0.15555556
GPQA,OpenClaw,failure,tool,19,90,0.21111111
GPQA,OpenClaw,failure,web_fetch,4,90,0.04444444
GPQA,OpenClaw,success,bash,38,131,0.29007634
GPQA,OpenClaw,success,python,78,131,0.59541985
GPQA,OpenClaw,success,search,6,131,0.04580153
GPQA,OpenClaw,success,tool,4,131,0.03053435
GPQA,OpenClaw,success,web_fetch,5,131,0.03816794
GPQA,OpenClaw,unknown,bash,3,9,0.33333333
GPQA,OpenClaw,unknown,python,2,9,0.22222222
GPQA,OpenClaw,unknown,read,1,9,0.11111111
GPQA,OpenClaw,unknown,tool,3,9,0.33333333
GPQA,OpenCode,failure,bash,3,49,0.06122449
GPQA,OpenCode,failure,python,17,49,0.34693878
GPQA,OpenCode,failure,search,4,49,0.08163265
GPQA,OpenCode,failure,task,1,49,0.02040816
GPQA,OpenCode,failure,web_fetch,24,49,0.48979592
GPQA,OpenCode,success,bash,15,145,0.10344828
GPQA,OpenCode,success,python,91,145,0.62758621
GPQA,OpenCode,success,read,1,145,0.00689655
GPQA,OpenCode,success,search,7,145,0.04827586
GPQA,OpenCode,success,task,3,145,0.02068966
GPQA,OpenCode,success,web_fetch,28,145,0.19310345
HLE,OpenClaw,failure,bash,718,1817,0.39515685
HLE,OpenClaw,failure,edit,17,1817,0.00935608
HLE,OpenClaw,failure,python,215,1817,0.11832691
HLE,OpenClaw,failure,read,7,1817,0.00385250
HLE,OpenClaw,failure,search,189,1817,0.10401761
HLE,OpenClaw,failure,tool,472,1817,0.25976885
HLE,OpenClaw,failure,web_fetch,161,1817,0.08860759
HLE,OpenClaw,failure,write,38,1817,0.02091359
HLE,OpenClaw,success,bash,125,332,0.37650602
HLE,OpenClaw,success,edit,3,332,0.00903614
HLE,OpenClaw,success,python,80,332,0.24096386
HLE,OpenClaw,success,search,31,332,0.09337349
HLE,OpenClaw,success,tool,57,332,0.17168675
HLE,OpenClaw,success,web_fetch,30,332,0.09036145
HLE,OpenClaw,success,write,6,332,0.01807229
HLE,OpenCode,failure,bash,359,5176,0.06935858
HLE,OpenCode,failure,edit,2,5176,0.00038640
HLE,OpenCode,failure,glob,1,5176,0.00019320
HLE,OpenCode,failure,invalid,1,5176,0.00019320
HLE,OpenCode,failure,python,411,5176,0.07940495
HLE,OpenCode,failure,read,9,5176,0.00173879
HLE,OpenCode,failure,search,73,5176,0.01410355
HLE,OpenCode,failure,task,27,5176,0.00521638
HLE,OpenCode,failure,web_fetch,4268,5176,0.82457496
HLE,OpenCode,failure,write,25,5176,0.00482998
HLE,OpenCode,success,bash,114,589,0.19354839
HLE,OpenCode,success,python,170,589,0.28862479
HLE,OpenCode,success,read,2,589,0.00339559
HLE,OpenCode,success,search,19,589,0.03225806
HLE,OpenCode,success,task,4,589,0.00679117
HLE,OpenCode,success,web_fetch,275,589,0.46689304
HLE,OpenCode,success,write,5,589,0.00848896
