benchmark,harness,outcome,from_tool_type,to_tool_type,transition_count,transition_total,transition_fraction
AIMEPass4,OpenClaw,failure,__START__,bash,1,22,0.04545455
AIMEPass4,OpenClaw,failure,__START__,write,2,22,0.09090909
AIMEPass4,OpenClaw,failure,bash,python,2,22,0.09090909
AIMEPass4,OpenClaw,failure,bash,write,1,22,0.04545455
AIMEPass4,OpenClaw,failure,edit,bash,1,22,0.04545455
AIMEPass4,OpenClaw,failure,edit,write,1,22,0.04545455
AIMEPass4,OpenClaw,failure,python,__END__,2,22,0.09090909
AIMEPass4,OpenClaw,failure,python,edit,2,22,0.09090909
AIMEPass4,OpenClaw,failure,python,write,2,22,0.09090909
AIMEPass4,OpenClaw,failure,search,bash,1,22,0.04545455
AIMEPass4,OpenClaw,failure,write,__END__,1,22,0.04545455
AIMEPass4,OpenClaw,failure,write,python,4,22,0.18181818
AIMEPass4,OpenClaw,failure,write,search,1,22,0.04545455
AIMEPass4,OpenClaw,failure,write,write,1,22,0.04545455
AIMEPass4,OpenClaw,success,__START__,bash,5,171,0.02923977
AIMEPass4,OpenClaw,success,__START__,python,25,171,0.14619883
AIMEPass4,OpenClaw,success,__START__,write,9,171,0.05263158
AIMEPass4,OpenClaw,success,bash,__END__,1,171,0.00584795
AIMEPass4,OpenClaw,success,bash,bash,5,171,0.02923977
AIMEPass4,OpenClaw,success,bash,python,4,171,0.02339181
AIMEPass4,OpenClaw,success,bash,tool,2,171,0.01169591
AIMEPass4,OpenClaw,success,bash,write,2,171,0.01169591
AIMEPass4,OpenClaw,success,edit,python,3,171,0.01754386
AIMEPass4,OpenClaw,success,edit,write,6,171,0.03508772
AIMEPass4,OpenClaw,success,python,__END__,37,171,0.21637427
AIMEPass4,OpenClaw,success,python,bash,4,171,0.02339181
AIMEPass4,OpenClaw,success,python,edit,9,171,0.05263158
AIMEPass4,OpenClaw,success,python,python,25,171,0.14619883
AIMEPass4,OpenClaw,success,python,write,6,171,0.03508772
AIMEPass4,OpenClaw,success,tool,__END__,1,171,0.00584795
AIMEPass4,OpenClaw,success,tool,write,1,171,0.00584795
AIMEPass4,OpenClaw,success,write,python,24,171,0.14035088
AIMEPass4,OpenClaw,success,write,write,2,171,0.01169591
AIMEPass4,OpenClaw,unknown,__START__,write,3,32,0.09375000
AIMEPass4,OpenClaw,unknown,bash,__END__,1,32,0.03125000
AIMEPass4,OpenClaw,unknown,bash,bash,2,32,0.06250000
AIMEPass4,OpenClaw,unknown,bash,search,1,32,0.03125000
AIMEPass4,OpenClaw,unknown,bash,write,1,32,0.03125000
AIMEPass4,OpenClaw,unknown,edit,python,2,32,0.06250000
AIMEPass4,OpenClaw,unknown,python,__END__,2,32,0.06250000
AIMEPass4,OpenClaw,unknown,python,bash,2,32,0.06250000
AIMEPass4,OpenClaw,unknown,python,edit,2,32,0.06250000
AIMEPass4,OpenClaw,unknown,python,tool,1,32,0.03125000
AIMEPass4,OpenClaw,unknown,python,write,3,32,0.09375000
AIMEPass4,OpenClaw,unknown,search,bash,1,32,0.03125000
AIMEPass4,OpenClaw,unknown,tool,tool,1,32,0.03125000
AIMEPass4,OpenClaw,unknown,tool,write,1,32,0.03125000
AIMEPass4,OpenClaw,unknown,write,python,8,32,0.25000000
AIMEPass4,OpenClaw,unknown,write,write,1,32,0.03125000
AIMEPass4,OpenCode,failure,__START__,bash,3,39,0.07692308
AIMEPass4,OpenCode,failure,bash,bash,9,39,0.23076923
AIMEPass4,OpenCode,failure,bash,python,9,39,0.23076923
AIMEPass4,OpenCode,failure,python,__END__,3,39,0.07692308
AIMEPass4,OpenCode,failure,python,bash,6,39,0.15384615
AIMEPass4,OpenCode,failure,python,python,9,39,0.23076923
AIMEPass4,OpenCode,success,__START__,bash,5,176,0.02840909
AIMEPass4,OpenCode,success,__START__,python,35,176,0.19886364
AIMEPass4,OpenCode,success,__START__,tool,11,176,0.06250000
AIMEPass4,OpenCode,success,__START__,write,4,176,0.02272727
AIMEPass4,OpenCode,success,bash,bash,3,176,0.01704545
AIMEPass4,OpenCode,success,bash,python,7,176,0.03977273
AIMEPass4,OpenCode,success,python,__END__,44,176,0.25000000
AIMEPass4,OpenCode,success,python,bash,2,176,0.01136364
AIMEPass4,OpenCode,success,python,python,44,176,0.25000000
AIMEPass4,OpenCode,success,tool,__END__,11,176,0.06250000
AIMEPass4,OpenCode,success,tool,tool,6,176,0.03409091
AIMEPass4,OpenCode,success,write,python,4,176,0.02272727
AIMEPass4,OpenCode,unknown,__START__,python,1,5,0.20000000
AIMEPass4,OpenCode,unknown,python,__END__,1,5,0.20000000
AIMEPass4,OpenCode,unknown,python,python,3,5,0.60000000
GPQA,OpenClaw,failure,__START__,bash,7,107,0.06542056
GPQA,OpenClaw,failure,__START__,python,7,107,0.06542056
GPQA,OpenClaw,failure,__START__,search,2,107,0.01869159
GPQA,OpenClaw,failure,__START__,web_fetch,1,107,0.00934579
GPQA,OpenClaw,failure,bash,__END__,5,107,0.04672897
GPQA,OpenClaw,failure,bash,bash,9,107,0.08411215
GPQA,OpenClaw,failure,bash,python,1,107,0.00934579
GPQA,OpenClaw,failure,bash,search,1,107,0.00934579
GPQA,OpenClaw,failure,bash,tool,19,107,0.17757009
GPQA,OpenClaw,failure,bash,web_fetch,2,107,0.01869159
GPQA,OpenClaw,failure,python,__END__,4,107,0.03738318
GPQA,OpenClaw,failure,python,bash,2,107,0.01869159
GPQA,OpenClaw,failure,python,python,4,107,0.03738318
GPQA,OpenClaw,failure,python,search,6,107,0.05607477
GPQA,OpenClaw,failure,search,__END__,5,107,0.04672897
GPQA,OpenClaw,failure,search,bash,2,107,0.01869159
GPQA,OpenClaw,failure,search,python,3,107,0.02803738
GPQA,OpenClaw,failure,search,search,4,107,0.03738318
GPQA,OpenClaw,failure,tool,__END__,2,107,0.01869159
GPQA,OpenClaw,failure,tool,bash,15,107,0.14018692
GPQA,OpenClaw,failure,tool,python,1,107,0.00934579
GPQA,OpenClaw,failure,tool,search,1,107,0.00934579
GPQA,OpenClaw,failure,web_fetch,__END__,1,107,0.00934579
GPQA,OpenClaw,failure,web_fetch,bash,2,107,0.01869159
GPQA,OpenClaw,failure,web_fetch,web_fetch,1,107,0.00934579
GPQA,OpenClaw,success,__START__,bash,24,212,0.11320755
GPQA,OpenClaw,success,__START__,python,54,212,0.25471698
GPQA,OpenClaw,success,__START__,search,2,212,0.00943396
GPQA,OpenClaw,success,__START__,web_fetch,1,212,0.00471698
GPQA,OpenClaw,success,bash,__END__,21,212,0.09905660
GPQA,OpenClaw,success,bash,bash,4,212,0.01886792
GPQA,OpenClaw,success,bash,python,4,212,0.01886792
GPQA,OpenClaw,success,bash,search,3,212,0.01415094
GPQA,OpenClaw,success,bash,tool,4,212,0.01886792
GPQA,OpenClaw,success,bash,web_fetch,2,212,0.00943396
GPQA,OpenClaw,success,python,__END__,51,212,0.24056604
GPQA,OpenClaw,success,python,bash,6,212,0.02830189
GPQA,OpenClaw,success,python,python,20,212,0.09433962
GPQA,OpenClaw,success,python,search,1,212,0.00471698
GPQA,OpenClaw,success,search,__END__,4,212,0.01886792
GPQA,OpenClaw,success,search,web_fetch,2,212,0.00943396
GPQA,OpenClaw,success,tool,__END__,1,212,0.00471698
GPQA,OpenClaw,success,tool,bash,3,212,0.01415094
GPQA,OpenClaw,success,web_fetch,__END__,4,212,0.01886792
GPQA,OpenClaw,success,web_fetch,bash,1,212,0.00471698
GPQA,OpenClaw,unknown,__START__,bash,1,11,0.09090909
GPQA,OpenClaw,unknown,__START__,python,1,11,0.09090909
GPQA,OpenClaw,unknown,bash,python,1,11,0.09090909
GPQA,OpenClaw,unknown,bash,tool,2,11,0.18181818
GPQA,OpenClaw,unknown,python,bash,1,11,0.09090909
GPQA,OpenClaw,unknown,python,tool,1,11,0.09090909
GPQA,OpenClaw,unknown,read,__END__,1,11,0.09090909
GPQA,OpenClaw,unknown,tool,__END__,1,11,0.09090909
GPQA,OpenClaw,unknown,tool,bash,1,11,0.09090909
GPQA,OpenClaw,unknown,tool,read,1,11,0.09090909
GPQA,OpenCode,failure,__START__,bash,2,66,0.03030303
GPQA,OpenCode,failure,__START__,python,12,66,0.18181818
GPQA,OpenCode,failure,__START__,search,3,66,0.04545455
GPQA,OpenCode,failure,bash,__END__,1,66,0.01515152
GPQA,OpenCode,failure,bash,web_fetch,2,66,0.03030303
GPQA,OpenCode,failure,python,__END__,9,66,0.13636364
GPQA,OpenCode,failure,python,bash,1,66,0.01515152
GPQA,OpenCode,failure,python,python,4,66,0.06060606
GPQA,OpenCode,failure,python,search,1,66,0.01515152
GPQA,OpenCode,failure,python,web_fetch,2,66,0.03030303
GPQA,OpenCode,failure,search,__END__,2,66,0.03030303
GPQA,OpenCode,failure,search,task,1,66,0.01515152
GPQA,OpenCode,failure,search,web_fetch,1,66,0.01515152
GPQA,OpenCode,failure,task,__END__,1,66,0.01515152
GPQA,OpenCode,failure,web_fetch,__END__,4,66,0.06060606
GPQA,OpenCode,failure,web_fetch,python,1,66,0.01515152
GPQA,OpenCode,failure,web_fetch,web_fetch,19,66,0.28787879
GPQA,OpenCode,success,__START__,bash,11,239,0.04602510
GPQA,OpenCode,success,__START__,python,72,239,0.30125523
GPQA,OpenCode,success,__START__,search,5,239,0.02092050
GPQA,OpenCode,success,__START__,task,2,239,0.00836820
GPQA,OpenCode,success,__START__,web_fetch,4,239,0.01673640
GPQA,OpenCode,success,bash,__END__,6,239,0.02510460
GPQA,OpenCode,success,bash,bash,2,239,0.00836820
GPQA,OpenCode,success,bash,python,1,239,0.00418410
GPQA,OpenCode,success,bash,search,1,239,0.00418410
GPQA,OpenCode,success,bash,web_fetch,5,239,0.02092050
GPQA,OpenCode,success,python,__END__,68,239,0.28451883
GPQA,OpenCode,success,python,bash,1,239,0.00418410
GPQA,OpenCode,success,python,python,16,239,0.06694561
GPQA,OpenCode,success,python,read,1,239,0.00418410
GPQA,OpenCode,success,python,task,1,239,0.00418410
GPQA,OpenCode,success,python,web_fetch,4,239,0.01673640
GPQA,OpenCode,success,read,python,1,239,0.00418410
GPQA,OpenCode,success,search,__END__,3,239,0.01255230
GPQA,OpenCode,success,search,bash,1,239,0.00418410
GPQA,OpenCode,success,search,web_fetch,3,239,0.01255230
GPQA,OpenCode,success,task,__END__,3,239,0.01255230
GPQA,OpenCode,success,web_fetch,__END__,14,239,0.05857741
GPQA,OpenCode,success,web_fetch,python,1,239,0.00418410
GPQA,OpenCode,success,web_fetch,search,1,239,0.00418410
GPQA,OpenCode,success,web_fetch,web_fetch,12,239,0.05020921
HLE,OpenClaw,failure,__START__,bash,138,2049,0.06734993
HLE,OpenClaw,failure,__START__,python,46,2049,0.02244998
HLE,OpenClaw,failure,__START__,read,1,2049,0.00048804
HLE,OpenClaw,failure,__START__,search,21,2049,0.01024890
HLE,OpenClaw,failure,__START__,web_fetch,15,2049,0.00732064
HLE,OpenClaw,failure,__START__,write,11,2049,0.00536847
HLE,OpenClaw,failure,bash,__END__,61,2049,0.02977062
HLE,OpenClaw,failure,bash,bash,146,2049,0.07125427
HLE,OpenClaw,failure,bash,edit,2,2049,0.00097609
HLE,OpenClaw,failure,bash,python,21,2049,0.01024890
HLE,OpenClaw,failure,bash,search,40,2049,0.01952172
HLE,OpenClaw,failure,bash,tool,416,2049,0.20302587
HLE,OpenClaw,failure,bash,web_fetch,26,2049,0.01268912
HLE,OpenClaw,failure,bash,write,6,2049,0.00292826
HLE,OpenClaw,failure,edit,python,12,2049,0.00585652
HLE,OpenClaw,failure,edit,write,5,2049,0.00244021
HLE,OpenClaw,failure,python,__END__,39,2049,0.01903367
HLE,OpenClaw,failure,python,bash,22,2049,0.01073694
HLE,OpenClaw,failure,python,edit,12,2049,0.00585652
HLE,OpenClaw,failure,python,python,79,2049,0.03855539
HLE,OpenClaw,failure,python,read,3,2049,0.00146413
HLE,OpenClaw,failure,python,search,5,2049,0.00244021
HLE,OpenClaw,failure,python,tool,39,2049,0.01903367
HLE,OpenClaw,failure,python,web_fetch,4,2049,0.00195217
HLE,OpenClaw,failure,python,write,12,2049,0.00585652
HLE,OpenClaw,failure,read,__END__,5,2049,0.00244021
HLE,OpenClaw,failure,read,python,1,2049,0.00048804
HLE,OpenClaw,failure,read,write,1,2049,0.00048804
HLE,OpenClaw,failure,search,__END__,38,2049,0.01854563
HLE,OpenClaw,failure,search,bash,35,2049,0.01708150
HLE,OpenClaw,failure,search,python,3,2049,0.00146413
HLE,OpenClaw,failure,search,search,68,2049,0.03318692
HLE,OpenClaw,failure,search,web_fetch,45,2049,0.02196193
HLE,OpenClaw,failure,tool,__END__,64,2049,0.03123475
HLE,OpenClaw,failure,tool,bash,303,2049,0.14787701
HLE,OpenClaw,failure,tool,edit,2,2049,0.00097609
HLE,OpenClaw,failure,tool,python,20,2049,0.00976086
HLE,OpenClaw,failure,tool,read,2,2049,0.00097609
HLE,OpenClaw,failure,tool,search,25,2049,0.01220107
HLE,OpenClaw,failure,tool,tool,17,2049,0.00829673
HLE,OpenClaw,failure,tool,web_fetch,37,2049,0.01805759
HLE,OpenClaw,failure,tool,write,2,2049,0.00097609
HLE,OpenClaw,failure,web_fetch,__END__,24,2049,0.01171303
HLE,OpenClaw,failure,web_fetch,bash,66,2049,0.03221083
HLE,OpenClaw,failure,web_fetch,python,6,2049,0.00292826
