model,harness,benchmark,task_id,sample,correct,mean_entropy,n_tokens
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_129,0,1,0.057681721769467176,1700.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_13,0,1,0.12547543667489838,981.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_131,0,1,0.2252745556280524,8211.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_138,0,1,0.21541097358434522,1755.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_160,0,1,0.11151231949436237,1312.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_170,0,1,0.1546374606294166,3931.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_201,0,1,0.06099824304658778,1849.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_208,0,1,0.10073755585454315,1012.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_227,0,1,0.11337111818716668,7851.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_241,0,1,0.06210123409770678,1153.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_248,0,1,0.033557283594809265,1031.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_252,0,1,0.2002872669008594,1798.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_256,0,1,0.06839477693476798,2328.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_279,0,1,0.039137504984216955,1302.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_292,0,1,0.16015942590460364,1751.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_30,0,1,0.08925814522985463,1312.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_307,0,1,0.15882690026558835,2909.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_312,0,1,0.09827518183967916,2122.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_315,0,1,0.16261603023423213,2096.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_328,0,1,0.0461563830718236,2038.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_34,0,1,0.08724121687877666,1881.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_345,0,1,0.06252548362236905,1504.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_360,0,1,0.07693666943098447,864.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_361,0,1,0.2156130609818461,10291.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_365,0,1,0.05796919743838153,1765.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_38,0,1,0.06642976967302956,3043.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_380,0,1,0.09604743093840072,1801.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_42,0,1,0.15202323314138083,10476.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_50,0,1,0.1852221887332088,3458.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_55,0,0,0.0724585387737542,1385.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_63,0,1,0.07869960333617311,1222.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_80,0,1,0.0626617518854584,996.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_99,0,0,0.072319129246296,1882.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Agriculture_102,0,1,0.27337132899233396,881.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Agriculture_105,0,1,0.41049808482832967,2492.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Agriculture_117,0,1,0.3183636277117493,616.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Agriculture_123,0,1,0.35300757291325635,1333.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Agriculture_139,0,1,0.27297382035840834,3346.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Agriculture_145,0,1,0.4358491291487401,2540.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Agriculture_146,0,1,0.4125911734886103,1027.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Agriculture_15,0,0,0.40010968135796154,895.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Agriculture_157,0,1,0.33595403865890666,1232.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Agriculture_165,0,1,0.32439479417048306,776.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Agriculture_169,0,0,0.40646362557050636,925.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Agriculture_174,0,0,0.3816197866040386,1879.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Agriculture_178,0,1,0.3372152526911086,947.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Agriculture_183,0,0,0.4031709053860682,690.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Agriculture_187,0,1,0.40286964417197024,1716.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Agriculture_19,0,0,0.3560913932223208,4300.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Agriculture_190,0,0,0.36050933851074907,1068.0
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Agriculture_192,0,0,0.4392755042248495,2704.0
