benchmark,harness,outcome,action,count,event_total,event_fraction
MMMUPro,DirectLLM,failure,Answer Delivery,441,3222,0.13687151
MMMUPro,DirectLLM,failure,Plan Formation,255,3222,0.07914339
MMMUPro,DirectLLM,failure,Problem Framing,241,3222,0.07479826
MMMUPro,DirectLLM,failure,Result Auditing,51,3222,0.01582868
MMMUPro,DirectLLM,failure,Solution Execution,2234,3222,0.69335816
MMMUPro,DirectLLM,success,Answer Delivery,1140,7929,0.14377601
MMMUPro,DirectLLM,success,Plan Formation,516,7929,0.06507756
MMMUPro,DirectLLM,success,Problem Framing,740,7929,0.09332829
MMMUPro,DirectLLM,success,Result Auditing,122,7929,0.01538656
MMMUPro,DirectLLM,success,Solution Execution,5411,7929,0.68243158
MMMUPro,OpenClaw,failure,Answer Delivery,387,4401,0.08793456
MMMUPro,OpenClaw,failure,Plan Formation,239,4401,0.05430584
MMMUPro,OpenClaw,failure,Problem Framing,148,4401,0.03362872
MMMUPro,OpenClaw,failure,Result Auditing,76,4401,0.01726880
MMMUPro,OpenClaw,failure,Solution Execution,1906,4401,0.43308339
MMMUPro,OpenClaw,failure,Tool Grounding,1645,4401,0.37377869
MMMUPro,OpenClaw,success,Answer Delivery,976,7867,0.12406254
MMMUPro,OpenClaw,success,Plan Formation,415,7867,0.05275200
MMMUPro,OpenClaw,success,Problem Framing,496,7867,0.06304818
MMMUPro,OpenClaw,success,Result Auditing,98,7867,0.01245710
MMMUPro,OpenClaw,success,Solution Execution,4283,7867,0.54442608
MMMUPro,OpenClaw,success,Tool Grounding,1599,7867,0.20325410
MMMUPro,OpenClaw,unknown,Problem Framing,1,13,0.07692308
MMMUPro,OpenClaw,unknown,Solution Execution,11,13,0.84615385
MMMUPro,OpenClaw,unknown,Tool Grounding,1,13,0.07692308
MMMUPro,OpenCode,failure,Answer Delivery,936,4948,0.18916734
MMMUPro,OpenCode,failure,Plan Formation,254,4948,0.05133387
MMMUPro,OpenCode,failure,Problem Framing,256,4948,0.05173808
MMMUPro,OpenCode,failure,Result Auditing,99,4948,0.02000808
MMMUPro,OpenCode,failure,Solution Execution,2920,4948,0.59013743
MMMUPro,OpenCode,failure,Tool Grounding,483,4948,0.09761520
MMMUPro,OpenCode,success,Answer Delivery,2332,11689,0.19950381
MMMUPro,OpenCode,success,Plan Formation,590,11689,0.05047481
MMMUPro,OpenCode,success,Problem Framing,730,11689,0.06245188
MMMUPro,OpenCode,success,Result Auditing,160,11689,0.01368808
MMMUPro,OpenCode,success,Solution Execution,7310,11689,0.62537428
MMMUPro,OpenCode,success,Tool Grounding,567,11689,0.04850714
MMMUPro,ZeroClaw,failure,Answer Delivery,478,2895,0.16511226
MMMUPro,ZeroClaw,failure,Plan Formation,217,2895,0.07495682
MMMUPro,ZeroClaw,failure,Problem Framing,188,2895,0.06493955
MMMUPro,ZeroClaw,failure,Result Auditing,75,2895,0.02590674
MMMUPro,ZeroClaw,failure,Solution Execution,1937,2895,0.66908463
MMMUPro,ZeroClaw,success,Answer Delivery,1148,6903,0.16630451
MMMUPro,ZeroClaw,success,Plan Formation,424,6903,0.06142257
MMMUPro,ZeroClaw,success,Problem Framing,543,6903,0.07866145
MMMUPro,ZeroClaw,success,Result Auditing,101,6903,0.01463132
MMMUPro,ZeroClaw,success,Solution Execution,4687,6903,0.67898015
