benchmark,harness,outcome,from_action,to_action,transition_count,transition_total,transition_fraction
MMMUPro,DirectLLM,failure,Answer Delivery,__END__,441,3666,0.12029460
MMMUPro,DirectLLM,failure,Plan Formation,Answer Delivery,60,3666,0.01636661
MMMUPro,DirectLLM,failure,Plan Formation,Plan Formation,33,3666,0.00900164
MMMUPro,DirectLLM,failure,Plan Formation,Problem Framing,4,3666,0.00109111
MMMUPro,DirectLLM,failure,Plan Formation,Result Auditing,2,3666,0.00054555
MMMUPro,DirectLLM,failure,Plan Formation,Solution Execution,156,3666,0.04255319
MMMUPro,DirectLLM,failure,Problem Framing,Answer Delivery,46,3666,0.01254774
MMMUPro,DirectLLM,failure,Problem Framing,Plan Formation,45,3666,0.01227496
MMMUPro,DirectLLM,failure,Problem Framing,Problem Framing,5,3666,0.00136388
MMMUPro,DirectLLM,failure,Problem Framing,Result Auditing,10,3666,0.00272777
MMMUPro,DirectLLM,failure,Problem Framing,Solution Execution,135,3666,0.03682488
MMMUPro,DirectLLM,failure,Result Auditing,Answer Delivery,9,3666,0.00245499
MMMUPro,DirectLLM,failure,Result Auditing,Plan Formation,3,3666,0.00081833
MMMUPro,DirectLLM,failure,Result Auditing,Problem Framing,3,3666,0.00081833
MMMUPro,DirectLLM,failure,Result Auditing,Result Auditing,3,3666,0.00081833
MMMUPro,DirectLLM,failure,Result Auditing,Solution Execution,33,3666,0.00900164
MMMUPro,DirectLLM,failure,Solution Execution,Answer Delivery,326,3666,0.08892526
MMMUPro,DirectLLM,failure,Solution Execution,Plan Formation,122,3666,0.03327878
MMMUPro,DirectLLM,failure,Solution Execution,Problem Framing,148,3666,0.04037098
MMMUPro,DirectLLM,failure,Solution Execution,Result Auditing,32,3666,0.00872886
MMMUPro,DirectLLM,failure,Solution Execution,Solution Execution,1603,3666,0.43726132
MMMUPro,DirectLLM,failure,Solution Execution,__END__,3,3666,0.00081833
MMMUPro,DirectLLM,failure,__START__,Plan Formation,52,3666,0.01418440
MMMUPro,DirectLLM,failure,__START__,Problem Framing,81,3666,0.02209493
MMMUPro,DirectLLM,failure,__START__,Result Auditing,4,3666,0.00109111
MMMUPro,DirectLLM,failure,__START__,Solution Execution,307,3666,0.08374250
MMMUPro,DirectLLM,success,Answer Delivery,Answer Delivery,1,9068,0.00011028
MMMUPro,DirectLLM,success,Answer Delivery,__END__,1139,9068,0.12560653
MMMUPro,DirectLLM,success,Plan Formation,Answer Delivery,259,9068,0.02856198
MMMUPro,DirectLLM,success,Plan Formation,Plan Formation,55,9068,0.00606528
MMMUPro,DirectLLM,success,Plan Formation,Problem Framing,9,9068,0.00099250
MMMUPro,DirectLLM,success,Plan Formation,Result Auditing,2,9068,0.00022056
MMMUPro,DirectLLM,success,Plan Formation,Solution Execution,191,9068,0.02106308
MMMUPro,DirectLLM,success,Problem Framing,Answer Delivery,105,9068,0.01157918
MMMUPro,DirectLLM,success,Problem Framing,Plan Formation,190,9068,0.02095280
MMMUPro,DirectLLM,success,Problem Framing,Problem Framing,21,9068,0.00231584
MMMUPro,DirectLLM,success,Problem Framing,Result Auditing,7,9068,0.00077195
MMMUPro,DirectLLM,success,Problem Framing,Solution Execution,417,9068,0.04598588
MMMUPro,DirectLLM,success,Result Auditing,Answer Delivery,8,9068,0.00088222
MMMUPro,DirectLLM,success,Result Auditing,Plan Formation,1,9068,0.00011028
MMMUPro,DirectLLM,success,Result Auditing,Problem Framing,2,9068,0.00022056
MMMUPro,DirectLLM,success,Result Auditing,Result Auditing,11,9068,0.00121306
MMMUPro,DirectLLM,success,Result Auditing,Solution Execution,100,9068,0.01102779
MMMUPro,DirectLLM,success,Solution Execution,Answer Delivery,767,9068,0.08458315
MMMUPro,DirectLLM,success,Solution Execution,Plan Formation,197,9068,0.02172475
MMMUPro,DirectLLM,success,Solution Execution,Problem Framing,475,9068,0.05238200
MMMUPro,DirectLLM,success,Solution Execution,Result Auditing,86,9068,0.00948390
MMMUPro,DirectLLM,success,Solution Execution,Solution Execution,3886,9068,0.42853992
MMMUPro,DirectLLM,success,__START__,Plan Formation,73,9068,0.00805029
MMMUPro,DirectLLM,success,__START__,Problem Framing,233,9068,0.02569475
MMMUPro,DirectLLM,success,__START__,Result Auditing,16,9068,0.00176445
MMMUPro,DirectLLM,success,__START__,Solution Execution,817,9068,0.09009704
MMMUPro,OpenClaw,failure,Answer Delivery,Solution Execution,1,4825,0.00020725
MMMUPro,OpenClaw,failure,Answer Delivery,__END__,386,4825,0.08000000
MMMUPro,OpenClaw,failure,Plan Formation,Answer Delivery,59,4825,0.01222798
MMMUPro,OpenClaw,failure,Plan Formation,Plan Formation,38,4825,0.00787565
MMMUPro,OpenClaw,failure,Plan Formation,Problem Framing,3,4825,0.00062176
MMMUPro,OpenClaw,failure,Plan Formation,Result Auditing,5,4825,0.00103627
MMMUPro,OpenClaw,failure,Plan Formation,Solution Execution,132,4825,0.02735751
MMMUPro,OpenClaw,failure,Plan Formation,__END__,2,4825,0.00041451
MMMUPro,OpenClaw,failure,Problem Framing,Answer Delivery,34,4825,0.00704663
MMMUPro,OpenClaw,failure,Problem Framing,Plan Formation,37,4825,0.00766839
MMMUPro,OpenClaw,failure,Problem Framing,Problem Framing,4,4825,0.00082902
MMMUPro,OpenClaw,failure,Problem Framing,Result Auditing,1,4825,0.00020725
MMMUPro,OpenClaw,failure,Problem Framing,Solution Execution,71,4825,0.01471503
MMMUPro,OpenClaw,failure,Problem Framing,__END__,1,4825,0.00020725
MMMUPro,OpenClaw,failure,Result Auditing,Answer Delivery,13,4825,0.00269430
MMMUPro,OpenClaw,failure,Result Auditing,Plan Formation,1,4825,0.00020725
MMMUPro,OpenClaw,failure,Result Auditing,Problem Framing,4,4825,0.00082902
MMMUPro,OpenClaw,failure,Result Auditing,Result Auditing,8,4825,0.00165803
MMMUPro,OpenClaw,failure,Result Auditing,Solution Execution,47,4825,0.00974093
MMMUPro,OpenClaw,failure,Result Auditing,__END__,3,4825,0.00062176
MMMUPro,OpenClaw,failure,Solution Execution,Answer Delivery,280,4825,0.05803109
MMMUPro,OpenClaw,failure,Solution Execution,Plan Formation,116,4825,0.02404145
MMMUPro,OpenClaw,failure,Solution Execution,Problem Framing,104,4825,0.02155440
MMMUPro,OpenClaw,failure,Solution Execution,Result Auditing,51,4825,0.01056995
MMMUPro,OpenClaw,failure,Solution Execution,Solution Execution,1332,4825,0.27606218
MMMUPro,OpenClaw,failure,Solution Execution,__END__,23,4825,0.00476684
MMMUPro,OpenClaw,failure,Tool Grounding,Answer Delivery,1,4825,0.00020725
MMMUPro,OpenClaw,failure,Tool Grounding,Plan Formation,16,4825,0.00331606
MMMUPro,OpenClaw,failure,Tool Grounding,Problem Framing,6,4825,0.00124352
MMMUPro,OpenClaw,failure,Tool Grounding,Result Auditing,3,4825,0.00062176
MMMUPro,OpenClaw,failure,Tool Grounding,Solution Execution,131,4825,0.02715026
MMMUPro,OpenClaw,failure,Tool Grounding,Tool Grounding,1479,4825,0.30652850
MMMUPro,OpenClaw,failure,Tool Grounding,__END__,9,4825,0.00186528
MMMUPro,OpenClaw,failure,__START__,Plan Formation,31,4825,0.00642487
MMMUPro,OpenClaw,failure,__START__,Problem Framing,27,4825,0.00559585
MMMUPro,OpenClaw,failure,__START__,Result Auditing,8,4825,0.00165803
MMMUPro,OpenClaw,failure,__START__,Solution Execution,192,4825,0.03979275
MMMUPro,OpenClaw,failure,__START__,Tool Grounding,166,4825,0.03440415
MMMUPro,OpenClaw,success,Answer Delivery,Answer Delivery,1,8847,0.00011303
MMMUPro,OpenClaw,success,Answer Delivery,__END__,975,8847,0.11020685
MMMUPro,OpenClaw,success,Plan Formation,Answer Delivery,239,8847,0.02701481
MMMUPro,OpenClaw,success,Plan Formation,Plan Formation,11,8847,0.00124336
MMMUPro,OpenClaw,success,Plan Formation,Problem Framing,4,8847,0.00045213
MMMUPro,OpenClaw,success,Plan Formation,Result Auditing,5,8847,0.00056516
MMMUPro,OpenClaw,success,Plan Formation,Solution Execution,156,8847,0.01763310
MMMUPro,OpenClaw,success,Problem Framing,Answer Delivery,85,8847,0.00960778
MMMUPro,OpenClaw,success,Problem Framing,Plan Formation,154,8847,0.01740703
MMMUPro,OpenClaw,success,Problem Framing,Problem Framing,8,8847,0.00090426
MMMUPro,OpenClaw,success,Problem Framing,Result Auditing,4,8847,0.00045213
MMMUPro,OpenClaw,success,Problem Framing,Solution Execution,245,8847,0.02769300
MMMUPro,OpenClaw,success,Result Auditing,Answer Delivery,18,8847,0.00203459
MMMUPro,OpenClaw,success,Result Auditing,Plan Formation,6,8847,0.00067820
MMMUPro,OpenClaw,success,Result Auditing,Problem Framing,8,8847,0.00090426
MMMUPro,OpenClaw,success,Result Auditing,Result Auditing,7,8847,0.00079123
MMMUPro,OpenClaw,success,Result Auditing,Solution Execution,59,8847,0.00666893
MMMUPro,OpenClaw,success,Solution Execution,Answer Delivery,612,8847,0.06917599
MMMUPro,OpenClaw,success,Solution Execution,Plan Formation,170,8847,0.01921555
MMMUPro,OpenClaw,success,Solution Execution,Problem Framing,358,8847,0.04046569
