benchmark,harness,outcome,metric,trajectory_records,missing,count,mean,median,std,min,p25,p75,max
MMMUPro,DirectLLM,failure,mean_entropy,591,0,591,0.224499,0.229895,0.121591,0.012566,0.124240,0.324095,0.515066
MMMUPro,DirectLLM,failure,max_entropy,591,0,591,2.446246,2.466706,0.176149,1.709380,2.359457,2.561999,2.888031
MMMUPro,DirectLLM,failure,p50_entropy,591,0,591,0.012016,0.000587,0.027226,0.000002,0.000036,0.009866,0.228037
MMMUPro,DirectLLM,failure,p90_entropy,591,0,591,0.773949,0.880944,0.427681,0.000172,0.508206,1.114613,1.508041
MMMUPro,DirectLLM,failure,n_tokens,591,0,591,7911.216582,4090.000000,7448.529405,427.000000,1432.500000,18745.500000,20675.000000
MMMUPro,DirectLLM,failure,wall_time_sec,591,0,591,248.036493,126.862760,234.335963,14.236873,44.609529,600.036316,600.615203
MMMUPro,DirectLLM,failure,action_event_count,591,0,591,5.451777,5.000000,4.435355,0.000000,3.000000,7.000000,26.000000
MMMUPro,DirectLLM,failure,tool_call_count,591,0,591,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MMMUPro,DirectLLM,success,mean_entropy,1139,0,1139,0.205850,0.189612,0.103034,0.029573,0.121522,0.284650,0.519496
MMMUPro,DirectLLM,success,max_entropy,1139,0,1139,2.327189,2.386050,0.262741,1.188088,2.189556,2.517995,2.800500
MMMUPro,DirectLLM,success,p50_entropy,1139,0,1139,0.007671,0.000189,0.021211,0.000001,0.000021,0.003908,0.220432
MMMUPro,DirectLLM,success,p90_entropy,1139,0,1139,0.744333,0.734998,0.343479,0.000214,0.530824,1.026825,1.513954
MMMUPro,DirectLLM,success,n_tokens,1139,0,1139,2974.158033,1553.000000,3312.851127,275.000000,981.500000,3292.500000,18106.000000
MMMUPro,DirectLLM,success,wall_time_sec,1139,0,1139,92.872153,48.613004,103.314381,9.087483,30.795220,102.792944,566.915525
MMMUPro,DirectLLM,success,action_event_count,1139,0,1139,6.961370,7.000000,3.205337,2.000000,5.000000,8.000000,52.000000
MMMUPro,DirectLLM,success,tool_call_count,1139,0,1139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MMMUPro,OpenClaw,failure,mean_entropy,424,0,424,0.206057,0.208721,0.063253,0.008798,0.167226,0.250470,0.456403
MMMUPro,OpenClaw,failure,max_entropy,424,0,424,2.305728,2.391379,0.323989,0.348811,2.213182,2.509997,2.905297
MMMUPro,OpenClaw,failure,p50_entropy,424,0,424,0.003183,0.000284,0.011135,0.000001,0.000077,0.001564,0.105724
MMMUPro,OpenClaw,failure,p90_entropy,424,0,424,0.786904,0.809460,0.208536,0.003787,0.693607,0.921330,1.454601
MMMUPro,OpenClaw,failure,n_tokens,424,0,424,13631.478774,2681.500000,205644.268379,20.000000,899.500000,4898.000000,4242370.000000
MMMUPro,OpenClaw,failure,wall_time_sec,424,0,424,217.408152,76.197618,441.098230,5.317639,43.459810,169.243593,4032.966939
MMMUPro,OpenClaw,failure,action_event_count,424,0,424,10.379717,6.000000,46.890073,1.000000,5.000000,8.000000,936.000000
MMMUPro,OpenClaw,failure,tool_call_count,424,0,424,3.837264,0.000000,47.142692,0.000000,0.000000,1.000000,936.000000
