benchmark,harness,outcome,tool_type,count,tool_event_total,tool_event_fraction
MMMUPro,OpenClaw,failure,bash,946,1627,0.58143823
MMMUPro,OpenClaw,failure,python,525,1627,0.32267978
MMMUPro,OpenClaw,failure,search,154,1627,0.09465274
MMMUPro,OpenClaw,failure,write,2,1627,0.00122926
MMMUPro,OpenClaw,success,bash,1007,1566,0.64303959
MMMUPro,OpenClaw,success,python,375,1566,0.23946360
MMMUPro,OpenClaw,success,search,181,1566,0.11558110
MMMUPro,OpenClaw,success,tool,1,1566,0.00063857
MMMUPro,OpenClaw,success,write,2,1566,0.00127714
MMMUPro,OpenClaw,unknown,search,1,1,1.00000000
MMMUPro,OpenCode,failure,bash,26,484,0.05371901
MMMUPro,OpenCode,failure,python,66,484,0.13636364
MMMUPro,OpenCode,failure,read,1,484,0.00206612
MMMUPro,OpenCode,failure,search,9,484,0.01859504
MMMUPro,OpenCode,failure,task,4,484,0.00826446
MMMUPro,OpenCode,failure,web_fetch,378,484,0.78099174
MMMUPro,OpenCode,success,bash,43,567,0.07583774
MMMUPro,OpenCode,success,python,271,567,0.47795414
MMMUPro,OpenCode,success,search,5,567,0.00881834
MMMUPro,OpenCode,success,task,1,567,0.00176367
MMMUPro,OpenCode,success,web_fetch,246,567,0.43386243
MMMUPro,OpenCode,success,write,1,567,0.00176367
