benchmark,harness,outcome,from_tool_type,to_tool_type,transition_count,transition_total,transition_fraction
MMMUPro,OpenClaw,failure,__START__,bash,4,1793,0.00223090
MMMUPro,OpenClaw,failure,__START__,python,23,1793,0.01282766
MMMUPro,OpenClaw,failure,__START__,search,138,1793,0.07696598
MMMUPro,OpenClaw,failure,__START__,write,1,1793,0.00055772
MMMUPro,OpenClaw,failure,bash,__END__,8,1793,0.00446180
MMMUPro,OpenClaw,failure,bash,bash,933,1793,0.52035694
MMMUPro,OpenClaw,failure,bash,python,4,1793,0.00223090
MMMUPro,OpenClaw,failure,bash,search,1,1793,0.00055772
MMMUPro,OpenClaw,failure,python,__END__,32,1793,0.01784718
MMMUPro,OpenClaw,failure,python,bash,2,1793,0.00111545
MMMUPro,OpenClaw,failure,python,python,483,1793,0.26938093
MMMUPro,OpenClaw,failure,python,search,7,1793,0.00390407
MMMUPro,OpenClaw,failure,python,write,1,1793,0.00055772
MMMUPro,OpenClaw,failure,search,__END__,126,1793,0.07027328
MMMUPro,OpenClaw,failure,search,bash,7,1793,0.00390407
MMMUPro,OpenClaw,failure,search,python,13,1793,0.00725042
MMMUPro,OpenClaw,failure,search,search,8,1793,0.00446180
MMMUPro,OpenClaw,failure,write,python,2,1793,0.00111545
MMMUPro,OpenClaw,success,__START__,bash,5,1884,0.00265393
MMMUPro,OpenClaw,success,__START__,python,134,1884,0.07112527
MMMUPro,OpenClaw,success,__START__,search,177,1884,0.09394904
MMMUPro,OpenClaw,success,__START__,write,2,1884,0.00106157
MMMUPro,OpenClaw,success,bash,__END__,8,1884,0.00424628
MMMUPro,OpenClaw,success,bash,bash,996,1884,0.52866242
MMMUPro,OpenClaw,success,bash,python,2,1884,0.00106157
MMMUPro,OpenClaw,success,bash,tool,1,1884,0.00053079
MMMUPro,OpenClaw,success,python,__END__,144,1884,0.07643312
MMMUPro,OpenClaw,success,python,bash,3,1884,0.00159236
MMMUPro,OpenClaw,success,python,python,227,1884,0.12048832
MMMUPro,OpenClaw,success,python,search,1,1884,0.00053079
MMMUPro,OpenClaw,success,search,__END__,165,1884,0.08757962
MMMUPro,OpenClaw,success,search,bash,3,1884,0.00159236
MMMUPro,OpenClaw,success,search,python,10,1884,0.00530786
MMMUPro,OpenClaw,success,search,search,3,1884,0.00159236
MMMUPro,OpenClaw,success,tool,__END__,1,1884,0.00053079
MMMUPro,OpenClaw,success,write,python,2,1884,0.00106157
MMMUPro,OpenClaw,unknown,__START__,search,1,2,0.50000000
MMMUPro,OpenClaw,unknown,search,__END__,1,2,0.50000000
MMMUPro,OpenCode,failure,__START__,bash,23,567,0.04056437
MMMUPro,OpenCode,failure,__START__,python,32,567,0.05643739
MMMUPro,OpenCode,failure,__START__,search,5,567,0.00881834
MMMUPro,OpenCode,failure,__START__,task,2,567,0.00352734
MMMUPro,OpenCode,failure,__START__,web_fetch,21,567,0.03703704
MMMUPro,OpenCode,failure,bash,__END__,9,567,0.01587302
MMMUPro,OpenCode,failure,bash,bash,1,567,0.00176367
MMMUPro,OpenCode,failure,bash,python,1,567,0.00176367
MMMUPro,OpenCode,failure,bash,search,1,567,0.00176367
MMMUPro,OpenCode,failure,bash,task,1,567,0.00176367
MMMUPro,OpenCode,failure,bash,web_fetch,13,567,0.02292769
MMMUPro,OpenCode,failure,python,__END__,34,567,0.05996473
MMMUPro,OpenCode,failure,python,python,30,567,0.05291005
MMMUPro,OpenCode,failure,python,read,1,567,0.00176367
MMMUPro,OpenCode,failure,python,web_fetch,1,567,0.00176367
MMMUPro,OpenCode,failure,read,python,1,567,0.00176367
MMMUPro,OpenCode,failure,search,__END__,2,567,0.00352734
MMMUPro,OpenCode,failure,search,search,1,567,0.00176367
MMMUPro,OpenCode,failure,search,web_fetch,6,567,0.01058201
MMMUPro,OpenCode,failure,task,__END__,4,567,0.00705467
MMMUPro,OpenCode,failure,web_fetch,__END__,34,567,0.05996473
MMMUPro,OpenCode,failure,web_fetch,bash,2,567,0.00352734
MMMUPro,OpenCode,failure,web_fetch,python,2,567,0.00352734
MMMUPro,OpenCode,failure,web_fetch,search,2,567,0.00352734
MMMUPro,OpenCode,failure,web_fetch,task,1,567,0.00176367
MMMUPro,OpenCode,failure,web_fetch,web_fetch,337,567,0.59435626
MMMUPro,OpenCode,success,__START__,bash,29,787,0.03684879
MMMUPro,OpenCode,success,__START__,python,165,787,0.20965693
MMMUPro,OpenCode,success,__START__,search,3,787,0.00381194
MMMUPro,OpenCode,success,__START__,task,1,787,0.00127065
MMMUPro,OpenCode,success,__START__,web_fetch,21,787,0.02668361
