benchmark,harness,source_id,task_id,sample_index,outcome,correct,score_status,mean_entropy,max_entropy,p50_entropy,p90_entropy,n_tokens,wall_time_sec,action_event_count,tool_call_count
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_129,0,success,True,valid_scored,0.057681721769467176,2.028971050793181,5.896309895444091e-06,0.09936678119005624,1700.0,54.93884778022766,8,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_13,0,success,True,valid_scored,0.12547543667489838,2.134416623828953,1.2069199349314704e-05,0.6029392554001975,981.0,29.97523260116577,5,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_131,0,success,True,valid_scored,0.2252745556280524,2.5056324665855785,0.0003737343823006416,0.8913550378135588,8211.0,260.55541610717773,9,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_138,0,success,True,valid_scored,0.21541097358434522,2.3150561307721356,0.00022866100802560987,0.8329612462559889,1755.0,52.08282423019409,7,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_160,0,success,True,valid_scored,0.11151231949436237,2.372671349350086,5.422114121399256e-06,0.5034303826929163,1312.0,40.70369577407837,8,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_170,0,success,True,valid_scored,0.1546374606294166,2.3194011120801625,4.112797593498396e-05,0.6669307599244452,3931.0,126.89420700073242,9,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_201,0,success,True,valid_scored,0.06099824304658778,2.0164762530341895,6.739544824614004e-06,0.09606020299987554,1849.0,56.83306860923767,9,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_208,0,success,True,valid_scored,0.10073755585454315,2.0410685871129393,1.5032224961471562e-06,0.4678712442084888,1012.0,32.075807332992554,6,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_227,0,success,True,valid_scored,0.11337111818716668,2.5667262475879333,1.595129431749964e-05,0.4575458488289861,7851.0,242.57809209823608,9,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_241,0,success,True,valid_scored,0.06210123409770678,2.279793676268056,1.3269370203410392e-06,0.09026757868058938,1153.0,35.43291234970093,9,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_248,0,success,True,valid_scored,0.033557283594809265,1.2213243015985258,5.710357504663653e-07,0.009003510348847185,1031.0,32.26920962333679,8,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_252,0,success,True,valid_scored,0.2002872669008594,2.3679663086678184,0.0001281868749431324,0.76422302093013,1798.0,58.26652479171753,7,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_256,0,success,True,valid_scored,0.06839477693476798,2.3632203471700843,1.0256891154508603e-05,0.20157564973543718,2328.0,74.97539806365967,9,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_279,0,success,True,valid_scored,0.039137504984216955,1.423476811907442,9.835862214938218e-07,0.02314196101454449,1302.0,40.544726610183716,8,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_292,0,success,True,valid_scored,0.16015942590460364,2.4335830043149387,0.00018162298454338504,0.6759776008513703,1751.0,54.64916467666626,10,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_30,0,success,True,valid_scored,0.08925814522985463,2.4256270804812705,7.754933223990925e-06,0.2990182832734758,1312.0,41.355576515197754,7,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_307,0,success,True,valid_scored,0.15882690026558835,2.4219268320039515,2.3604798481322558e-05,0.6534893644489737,2909.0,93.05344319343567,10,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_312,0,success,True,valid_scored,0.09827518183967916,2.360510467846085,5.002872081547065e-06,0.35478080511025817,2122.0,68.00570273399353,7,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_315,0,success,True,valid_scored,0.16261603023423213,2.5068161185334703,6.562784776776733e-06,0.6908954866560715,2096.0,68.60032510757446,11,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_328,0,success,True,valid_scored,0.0461563830718236,2.4378139306633795,1.563038224142822e-06,0.004729979260916995,2038.0,58.907119035720825,7,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_34,0,success,True,valid_scored,0.08724121687877666,2.3015736196709584,2.628300048307439e-06,0.2289478539029752,1881.0,60.95504879951477,12,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_345,0,success,True,valid_scored,0.06252548362236905,1.744282215236884,3.3314939599961815e-06,0.1351164837197284,1504.0,46.806720495224,9,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_360,0,success,True,valid_scored,0.07693666943098447,1.991199193219769,2.3233477950561745e-06,0.14551406730640562,864.0,28.942053079605103,8,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_361,0,success,True,valid_scored,0.2156130609818461,2.5119163658069,0.00032339525657463364,0.852108327130183,10291.0,327.14436650276184,9,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_365,0,success,True,valid_scored,0.05796919743838153,1.9576427986867448,4.939993940841329e-06,0.0674196041516768,1765.0,55.6657338142395,11,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_38,0,success,True,valid_scored,0.06642976967302956,2.402197606862989,9.98428252302063e-06,0.19090869687286458,3043.0,91.32463026046753,10,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_380,0,success,True,valid_scored,0.09604743093840072,2.5313336734553706,7.04174199580387e-06,0.36846392606028866,1801.0,51.92728662490845,9,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_42,0,success,True,valid_scored,0.15202323314138083,2.4403331352629083,6.88182730818831e-05,0.651177909272945,10476.0,302.6779246330261,7,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_50,0,success,True,valid_scored,0.1852221887332088,2.655422562696238,8.539298094370539e-05,0.7370743362785243,3458.0,105.99824237823486,7,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_55,0,failure,False,valid_scored,0.0724585387737542,2.1871686819165985,5.0403366720014805e-06,0.17517274290382384,1385.0,44.51728081703186,9,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_63,0,success,True,valid_scored,0.07869960333617311,2.535006857037479,2.979211278780771e-06,0.2084661069121702,1222.0,38.115612268447876,8,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_80,0,success,True,valid_scored,0.0626617518854584,1.986953048774146,1.712925545879188e-06,0.1198848875217685,996.0,31.24230146408081,8,0
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Accounting_99,0,failure,False,valid_scored,0.072319129246296,2.004294444075048,5.413594188761206e-06,0.1636404589145452,1882.0,58.62039923667908,9,0
