model,harness,benchmark,task_id,sample_id,correct,score,n_tokens,mean_entropy,wall_time_sec,traj_length,n_tool_calls,n_tool_errors
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_129,0,1,1,1700.0,0.057681721769467176,54.93884778022766,8,0,
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_13,0,1,1,981.0,0.12547543667489838,29.97523260116577,5,0,
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_131,0,1,1,8211.0,0.2252745556280524,260.55541610717773,9,0,
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_138,0,1,1,1755.0,0.21541097358434522,52.08282423019409,7,0,
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_160,0,1,1,1312.0,0.11151231949436237,40.70369577407837,8,0,
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_170,0,1,1,3931.0,0.1546374606294166,126.89420700073242,9,0,
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_201,0,1,1,1849.0,0.06099824304658778,56.83306860923767,9,0,
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_208,0,1,1,1012.0,0.10073755585454315,32.075807332992554,6,0,
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_227,0,1,1,7851.0,0.11337111818716668,242.57809209823608,9,0,
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_241,0,1,1,1153.0,0.06210123409770678,35.43291234970093,9,0,
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_248,0,1,1,1031.0,0.033557283594809265,32.26920962333679,8,0,
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_252,0,1,1,1798.0,0.2002872669008594,58.26652479171753,7,0,
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_256,0,1,1,2328.0,0.06839477693476798,74.97539806365967,9,0,
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_279,0,1,1,1302.0,0.039137504984216955,40.544726610183716,8,0,
Gemma-4-31B-IT,directllm,MMMU-Pro vision,mmmu_pro_test_Accounting_292,0,1,1,1751.0,0.16015942590460364,54.64916467666626,10,0,
