model,harness,benchmark,task_id,sample_id,correct,score,n_tokens,mean_entropy,wall_time_sec,traj_length,n_tool_calls,n_tool_errors
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_129,0,1,1,1540.0,0.165332444812869,47.414326906204224,8,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_13,0,1,1,687.0,0.1894537159329622,39.39111614227295,7,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_131,0,1,1,1832.0,0.21013719288964552,52.93620848655701,9,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_138,0,1,1,2844.0,0.23559369923248444,54.01592659950256,7,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_170,0,1,1,1305.0,0.13851698943125135,169.62861847877502,10,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_201,0,1,1,5057.0,0.14254207028065582,55.97860765457153,10,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_208,0,1,1,52.0,0.1144070390209335,27.488118410110474,6,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_227,0,1,1,3537.0,0.21330075674045482,58.41529369354248,9,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_241,0,1,1,3177.0,0.11081449840233835,44.84287905693054,9,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_248,0,,,,0.0,1379.1317026615143,0,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_252,0,1,1,3914.0,0.2153024882216333,96.75312066078186,9,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_256,0,1,1,1963.0,0.12083807061483663,127.75978136062622,2,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_279,0,1,1,1387.0,0.18633084074629575,59.898592710494995,8,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_292,0,1,1,5911.0,0.13760439671023703,52.4606716632843,8,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_30,0,1,1,4550.0,0.12057989485592435,33.4130744934082,7,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_307,0,1,1,1755.0,0.15912725510999542,47.76806902885437,8,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_312,0,1,1,4023.0,0.14924637865578097,55.211825132369995,6,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_315,0,1,1,4990.0,0.17580528012305133,78.23379397392273,8,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_328,0,1,1,4865.0,0.2040106229811849,42.81067943572998,6,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_34,0,,,,0.0,1399.4914186000824,0,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_345,0,1,1,2497.0,0.09789181674847398,25.025856494903564,2,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_360,0,1,1,4277.0,0.17309383186824348,31.059226274490356,7,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_361,0,0,0,11371.0,0.17539932849181614,931.1056377887726,7,2,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_365,0,1,1,4620.0,0.18569212681316105,43.6014084815979,11,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_38,0,1,1,7503.0,0.1916318663597264,54.063401222229004,9,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_380,0,1,1,5460.0,0.201191412885735,39.17466998100281,9,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_42,0,1,1,1863.0,0.20377587695556823,113.95176649093628,8,2,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_50,0,1,1,15.0,0.1579036004173057,63.76380276679993,10,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_55,0,0,0,1201.0,0.07838514230328385,31.87202739715576,9,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_63,0,1,1,1087.0,0.07313064436124317,29.733088731765747,8,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_80,0,1,1,2693.0,0.15138668419336668,96.44766783714294,7,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_102,0,1,1,2750.0,0.3043697890131389,38.09593343734741,5,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_105,0,1,1,287.0,0.23914175637803306,38.20983815193176,3,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_117,0,1,1,2004.0,0.29740493256373335,19.27136516571045,4,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_123,0,1,1,41.0,0.22612401214293376,62.43455934524536,6,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_139,0,1,1,309.0,0.20264262357794205,51.270355224609375,6,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_145,0,1,1,238.0,0.3719578192717184,36.51472353935242,4,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_146,0,1,1,3577.0,0.317506653539537,147.96003794670105,4,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_15,0,0,0,1425.0,0.25478396563449474,39.835357427597046,5,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_157,0,1,1,278.0,0.22659812893477957,33.10519242286682,3,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_165,0,,,,0.0,1408.129489183426,0,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_169,0,0,0,41.0,0.28790354351221237,54.94654726982117,5,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_174,0,0,0,2462.0,0.24332203176007258,59.416858196258545,4,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_183,0,0,0,2573.0,0.2282914766242502,20.21386480331421,4,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_187,0,0,0,1181.0,0.24092339393574103,79.83347296714783,15,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_19,0,0,0,6731.0,0.23201126415527534,56.35684037208557,17,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_190,0,0,0,3933.0,0.27329703135359357,45.70877981185913,6,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_192,0,0,0,4393.0,0.28124786140391006,73.36733770370483,16,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_195,0,1,1,880.0,0.18996120379224438,41.637696504592896,6,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_207,0,1,1,10790.0,0.19320839345367863,105.53045010566711,7,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_210,0,0,0,4871.0,0.23869982103757875,87.49860835075378,4,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_217,0,1,1,4223.0,0.1819517544344723,34.38765478134155,14,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_234,0,0,0,1821.0,0.35546114249098243,71.9545476436615,5,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_248,0,0,0,7617.0,0.2588618593918741,119.09181761741638,5,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_262,0,0,0,780.0,0.14379821224455927,117.1597318649292,7,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_269,0,1,1,3535.0,0.25511176909085803,45.02709460258484,5,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_270,0,0,0,6212.0,0.22334911061527155,45.661093950271606,5,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_271,0,1,1,2898.0,0.21769200740069156,41.627915382385254,8,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_282,0,0,0,2829.0,0.2589239747820828,47.06171131134033,4,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_37,0,0,0,2704.0,0.21916962149515304,20.282769203186035,4,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_39,0,1,1,4880.0,0.22417918382507793,35.371689796447754,4,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_4,0,0,0,180.0,0.18922771432535448,39.18582463264465,6,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_42,0,,,,0.0,1488.9682078361511,0,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_46,0,0,0,6983.0,0.2550524055187759,68.25551700592041,7,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_55,0,0,0,8369.0,0.20938135452188025,181.00617790222168,5,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_69,0,1,1,4695.0,0.07536247422014077,49.61994385719299,8,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_8,0,1,1,6503.0,0.1522902056857907,124.35458254814148,6,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_92,0,0,0,13047.0,0.1844764759890977,145.9997706413269,8,2,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_93,0,1,1,3311.0,0.2891896249258244,46.35510039329529,4,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_111,0,1,1,1023.0,0.20311360701712947,31.873822450637817,2,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_113,0,1,1,234.0,0.10150175317178178,127.65272426605225,9,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_146,0,1,1,14415.0,0.09587193486486786,1019.5225832462311,5,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_191,0,1,1,883.0,0.1712738584926262,136.45232439041138,8,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_206,0,1,1,1022.0,0.17351437378448656,461.49344205856323,12,4,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_207,0,0,0,1799.0,0.13045608022007696,1390.1411654949188,8,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_214,0,,,154.0,0.21645645901705793,1998.1717321872711,0,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_242,0,0,0,1605.0,0.15189885257377253,144.03427934646606,8,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_250,0,1,1,4079.0,0.14136722402871868,79.22646069526672,8,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_266,0,,,2972.0,0.1549136138034024,2978.053436756134,0,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_278,0,1,1,3501.0,0.25034758107742316,38.9360191822052,9,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_307,0,1,1,4277.0,0.16104852190009394,91.57119607925415,10,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_312,0,,,,0.0,1431.2312233448029,0,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_320,0,1,1,183.0,0.19501590254546794,189.4788854122162,9,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_336,0,1,1,3223.0,0.1300649526665845,43.915226221084595,8,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_359,0,,,3787.0,0.14473479031223976,1978.4268112182617,0,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_361,0,1,1,11224.0,0.1686229074866363,80.80374264717102,11,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_391,0,,,8872.0,0.2050409816307146,2020.87713098526,0,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_392,0,1,1,549.0,0.1265685514880661,183.23507499694824,11,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_395,0,,,,0.0,1397.0672221183777,0,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_403,0,1,1,8253.0,0.16054172309026962,573.3318288326263,11,5,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_41,0,1,1,20377.0,0.08974019065958339,2194.5842866897583,148,148,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_413,0,1,1,6945.0,0.16933742566685034,50.61787557601929,10,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_416,0,0,0,3922.0,0.21669526294249747,38.881789207458496,8,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_442,0,,,721.0,0.17481287929921435,3105.4640233516693,0,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_443,0,1,1,3812.0,0.16622598066128874,199.83571696281433,11,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_457,0,1,1,973.0,0.1033301779598949,114.16378879547119,11,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_47,0,1,1,6843.0,0.17552322230411,64.79927730560303,8,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_473,0,,,3351.0,0.14953540861377101,2798.5562386512756,0,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_492,0,0,0,837.0,0.14348818759572715,1273.2507286071777,10,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_493,0,1,1,533.0,0.14277221484362387,159.78684258460999,9,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_503,0,0,0,3876.0,0.13243312325713333,415.39980030059814,7,3,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_512,0,1,1,560.0,0.33579497083349896,224.01879334449768,9,2,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_518,0,,,5205.0,0.12363068296726944,2764.406891107559,0,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_533,0,1,1,16652.0,0.20022413924440943,242.92706298828125,8,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_77,0,1,1,1594.0,0.13362963459564303,66.29856467247009,6,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Architecture_and_Engineering_86,0,1,1,1502.0,0.08228990209573112,321.5184669494629,14,2,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Art_107,0,0,0,184.0,0.30481607129667604,29.38896417617798,3,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Art_111,0,1,1,2293.0,0.20119705912864697,23.579198122024536,4,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Art_113,0,0,0,204.0,0.19604934857675174,5.317974805831909,1,0,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Art_117,0,1,1,10549.0,0.254321656349763,137.5747573375702,12,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Art_12,0,0,0,3945.0,0.12432104530713174,74.44316744804382,8,1,
Gemma-4-31B-IT,openclaw,MMMU-Pro vision,mmmu_pro_test_Art_121,0,1,1,1288.0,0.2977873256751512,48.45536971092224,5,2,
