benchmark,harness,outcome,action,count,event_total,event_fraction
AIMEPass4,DirectLLM,failure,Answer Delivery,10,259,0.03861004
AIMEPass4,DirectLLM,failure,Plan Formation,10,259,0.03861004
AIMEPass4,DirectLLM,failure,Result Auditing,32,259,0.12355212
AIMEPass4,DirectLLM,failure,Solution Execution,207,259,0.79922780
AIMEPass4,DirectLLM,success,Answer Delivery,112,1401,0.07994290
AIMEPass4,DirectLLM,success,Plan Formation,49,1401,0.03497502
AIMEPass4,DirectLLM,success,Problem Framing,6,1401,0.00428266
AIMEPass4,DirectLLM,success,Result Auditing,8,1401,0.00571021
AIMEPass4,DirectLLM,success,Solution Execution,1226,1401,0.87508922
AIMEPass4,OpenClaw,failure,Answer Delivery,2,31,0.06451613
AIMEPass4,OpenClaw,failure,Plan Formation,3,31,0.09677419
AIMEPass4,OpenClaw,failure,Solution Execution,7,31,0.22580645
AIMEPass4,OpenClaw,failure,Tool Grounding,19,31,0.61290323
AIMEPass4,OpenClaw,success,Answer Delivery,114,1384,0.08236994
AIMEPass4,OpenClaw,success,Plan Formation,52,1384,0.03757225
AIMEPass4,OpenClaw,success,Problem Framing,5,1384,0.00361272
AIMEPass4,OpenClaw,success,Result Auditing,3,1384,0.00216763
AIMEPass4,OpenClaw,success,Solution Execution,1076,1384,0.77745665
AIMEPass4,OpenClaw,success,Tool Grounding,134,1384,0.09682081
AIMEPass4,OpenClaw,unknown,Answer Delivery,1,34,0.02941176
AIMEPass4,OpenClaw,unknown,Solution Execution,4,34,0.11764706
AIMEPass4,OpenClaw,unknown,Tool Grounding,29,34,0.85294118
AIMEPass4,OpenCode,failure,Answer Delivery,2,33,0.06060606
AIMEPass4,OpenCode,failure,Plan Formation,7,33,0.21212121
AIMEPass4,OpenCode,failure,Solution Execution,10,33,0.30303030
AIMEPass4,OpenCode,failure,Tool Grounding,14,33,0.42424242
AIMEPass4,OpenCode,success,Answer Delivery,232,2155,0.10765661
AIMEPass4,OpenCode,success,Plan Formation,142,2155,0.06589327
AIMEPass4,OpenCode,success,Problem Framing,14,2155,0.00649652
AIMEPass4,OpenCode,success,Result Auditing,12,2155,0.00556845
AIMEPass4,OpenCode,success,Solution Execution,1622,2155,0.75266821
AIMEPass4,OpenCode,success,Tool Grounding,133,2155,0.06171694
AIMEPass4,OpenCode,unknown,Answer Delivery,3,834,0.00359712
AIMEPass4,OpenCode,unknown,Plan Formation,48,834,0.05755396
AIMEPass4,OpenCode,unknown,Problem Framing,7,834,0.00839329
AIMEPass4,OpenCode,unknown,Result Auditing,68,834,0.08153477
AIMEPass4,OpenCode,unknown,Solution Execution,630,834,0.75539568
AIMEPass4,OpenCode,unknown,Tool Grounding,78,834,0.09352518
AIMEPass4,ZeroClaw,failure,Answer Delivery,3,376,0.00797872
AIMEPass4,ZeroClaw,failure,Plan Formation,31,376,0.08244681
