benchmark,harness,outcome,from_action,to_action,transition_count,transition_total,transition_fraction
AIMEPass4,DirectLLM,failure,Answer Delivery,Result Auditing,1,268,0.00373134
AIMEPass4,DirectLLM,failure,Answer Delivery,__END__,9,268,0.03358209
AIMEPass4,DirectLLM,failure,Plan Formation,Answer Delivery,1,268,0.00373134
AIMEPass4,DirectLLM,failure,Plan Formation,Result Auditing,2,268,0.00746269
AIMEPass4,DirectLLM,failure,Plan Formation,Solution Execution,7,268,0.02611940
AIMEPass4,DirectLLM,failure,Result Auditing,Answer Delivery,3,268,0.01119403
AIMEPass4,DirectLLM,failure,Result Auditing,Plan Formation,3,268,0.01119403
AIMEPass4,DirectLLM,failure,Result Auditing,Result Auditing,3,268,0.01119403
AIMEPass4,DirectLLM,failure,Result Auditing,Solution Execution,23,268,0.08582090
AIMEPass4,DirectLLM,failure,Solution Execution,Answer Delivery,6,268,0.02238806
AIMEPass4,DirectLLM,failure,Solution Execution,Plan Formation,6,268,0.02238806
AIMEPass4,DirectLLM,failure,Solution Execution,Result Auditing,26,268,0.09701493
AIMEPass4,DirectLLM,failure,Solution Execution,Solution Execution,169,268,0.63059701
AIMEPass4,DirectLLM,failure,__START__,Plan Formation,1,268,0.00373134
AIMEPass4,DirectLLM,failure,__START__,Solution Execution,8,268,0.02985075
AIMEPass4,DirectLLM,success,Answer Delivery,Answer Delivery,1,1512,0.00066138
AIMEPass4,DirectLLM,success,Answer Delivery,__END__,111,1512,0.07341270
AIMEPass4,DirectLLM,success,Plan Formation,Plan Formation,6,1512,0.00396825
AIMEPass4,DirectLLM,success,Plan Formation,Solution Execution,43,1512,0.02843915
AIMEPass4,DirectLLM,success,Problem Framing,Solution Execution,6,1512,0.00396825
AIMEPass4,DirectLLM,success,Result Auditing,Solution Execution,8,1512,0.00529101
AIMEPass4,DirectLLM,success,Solution Execution,Answer Delivery,111,1512,0.07341270
AIMEPass4,DirectLLM,success,Solution Execution,Plan Formation,42,1512,0.02777778
