benchmark,harness,outcome,from_action,to_action,transition_count,transition_total,transition_fraction
AIMEPass4,DirectLLM,failure,Answer Delivery,Result Auditing,5,19852,0.00025186
AIMEPass4,DirectLLM,failure,Answer Delivery,Solution Execution,4,19852,0.00020149
AIMEPass4,DirectLLM,failure,Answer Delivery,__END__,11,19852,0.00055410
AIMEPass4,DirectLLM,failure,Plan Formation,Answer Delivery,1,19852,0.00005037
AIMEPass4,DirectLLM,failure,Plan Formation,Plan Formation,1395,19852,0.07027000
AIMEPass4,DirectLLM,failure,Plan Formation,Problem Framing,29,19852,0.00146081
AIMEPass4,DirectLLM,failure,Plan Formation,Result Auditing,251,19852,0.01264356
AIMEPass4,DirectLLM,failure,Plan Formation,Solution Execution,2066,19852,0.10407012
AIMEPass4,DirectLLM,failure,Problem Framing,Plan Formation,22,19852,0.00110820
AIMEPass4,DirectLLM,failure,Problem Framing,Problem Framing,1,19852,0.00005037
AIMEPass4,DirectLLM,failure,Problem Framing,Result Auditing,10,19852,0.00050373
AIMEPass4,DirectLLM,failure,Problem Framing,Solution Execution,122,19852,0.00614548
AIMEPass4,DirectLLM,failure,Result Auditing,Answer Delivery,3,19852,0.00015112
AIMEPass4,DirectLLM,failure,Result Auditing,Plan Formation,325,19852,0.01637115
AIMEPass4,DirectLLM,failure,Result Auditing,Problem Framing,14,19852,0.00070522
AIMEPass4,DirectLLM,failure,Result Auditing,Result Auditing,225,19852,0.01133387
AIMEPass4,DirectLLM,failure,Result Auditing,Solution Execution,1324,19852,0.06669353
AIMEPass4,DirectLLM,failure,Solution Execution,Answer Delivery,16,19852,0.00080596
AIMEPass4,DirectLLM,failure,Solution Execution,Plan Formation,2000,19852,0.10074552
AIMEPass4,DirectLLM,failure,Solution Execution,Problem Framing,111,19852,0.00559138
AIMEPass4,DirectLLM,failure,Solution Execution,Result Auditing,1397,19852,0.07037074
AIMEPass4,DirectLLM,failure,Solution Execution,Solution Execution,10509,19852,0.52936732
AIMEPass4,DirectLLM,failure,__START__,Result Auditing,3,19852,0.00015112
AIMEPass4,DirectLLM,failure,__START__,Solution Execution,8,19852,0.00040298
AIMEPass4,DirectLLM,success,Answer Delivery,Answer Delivery,1,56207,0.00001779
AIMEPass4,DirectLLM,success,Answer Delivery,Plan Formation,2,56207,0.00003558
AIMEPass4,DirectLLM,success,Answer Delivery,Result Auditing,26,56207,0.00046258
AIMEPass4,DirectLLM,success,Answer Delivery,Solution Execution,67,56207,0.00119202
AIMEPass4,DirectLLM,success,Answer Delivery,__END__,109,56207,0.00193926
AIMEPass4,DirectLLM,success,Plan Formation,Answer Delivery,16,56207,0.00028466
AIMEPass4,DirectLLM,success,Plan Formation,Plan Formation,2015,56207,0.03584963
AIMEPass4,DirectLLM,success,Plan Formation,Problem Framing,57,56207,0.00101411
AIMEPass4,DirectLLM,success,Plan Formation,Result Auditing,378,56207,0.00672514
AIMEPass4,DirectLLM,success,Plan Formation,Solution Execution,4729,56207,0.08413543
AIMEPass4,DirectLLM,success,Problem Framing,Answer Delivery,2,56207,0.00003558
AIMEPass4,DirectLLM,success,Problem Framing,Plan Formation,47,56207,0.00083619
AIMEPass4,DirectLLM,success,Problem Framing,Problem Framing,6,56207,0.00010675
AIMEPass4,DirectLLM,success,Problem Framing,Result Auditing,47,56207,0.00083619
AIMEPass4,DirectLLM,success,Problem Framing,Solution Execution,267,56207,0.00475030
AIMEPass4,DirectLLM,success,Result Auditing,Answer Delivery,19,56207,0.00033804
AIMEPass4,DirectLLM,success,Result Auditing,Plan Formation,566,56207,0.01006992
AIMEPass4,DirectLLM,success,Result Auditing,Problem Framing,33,56207,0.00058712
AIMEPass4,DirectLLM,success,Result Auditing,Result Auditing,695,56207,0.01236501
AIMEPass4,DirectLLM,success,Result Auditing,Solution Execution,4185,56207,0.07445692
AIMEPass4,DirectLLM,success,Solution Execution,Answer Delivery,167,56207,0.00297116
AIMEPass4,DirectLLM,success,Solution Execution,Plan Formation,4563,56207,0.08118206
AIMEPass4,DirectLLM,success,Solution Execution,Problem Framing,269,56207,0.00478588
AIMEPass4,DirectLLM,success,Solution Execution,Result Auditing,4340,56207,0.07721458
AIMEPass4,DirectLLM,success,Solution Execution,Solution Execution,33492,56207,0.59586884
AIMEPass4,DirectLLM,success,__START__,Plan Formation,2,56207,0.00003558
AIMEPass4,DirectLLM,success,__START__,Problem Framing,4,56207,0.00007117
AIMEPass4,DirectLLM,success,__START__,Result Auditing,12,56207,0.00021350
AIMEPass4,DirectLLM,success,__START__,Solution Execution,91,56207,0.00161902
AIMEPass4,OpenClaw,failure,Answer Delivery,__END__,8,13446,0.00059497
AIMEPass4,OpenClaw,failure,Plan Formation,Plan Formation,27,13446,0.00200803
